Обсудили проект плана мероприятий к 100-летию автономии№%:№%:2019-02-01 21:07:02№%:№%:42594637
Вопросы подготовки спортивного резерва№%:№%:2019-01-23 13:04:10№%:№%:42594637
Алексей Орлов провел совещание по вопросу внедрения новой системы обращения с ТКО на территории Калмыкии№%:№%:2019-01-22 18:03:58№%:№%:42594637
В республике будет создан Центр поддержки экспорта№%:№%:2019-01-22 16:02:08№%:№%:42594637
В Калмыкии задержан подозреваемый в убийстве житель поселка Аршань-Зельмень№%:№%:2019-01-21 14:12:12№%:№%:42594637
Полицейскими задержан житель Азербайджана, находившийся в федеральном розыске№%:№%:2019-01-21 13:09:25№%:№%:42594637
Врач-стоматолог подозревается в оказании услуг, не отвечающих требованиям безопасности№%:№%:2019-01-21 12:13:36№%:№%:42594637
Доверчивую жительницу Лаганского района в Интернете обманул мошенник№%:№%:2019-01-20 18:01:13№%:№%:42594637
Ранее судимый элистинец пытался похитить продукты в супермаркете№%:№%:2019-01-19 15:02:28№%:№%:42594637
Пожинаем плоды успешного сотрудничества№%:№%:2019-01-19 00:01:54№%:№%:42594637
Глава Администрации города Элисты Окон Нохашкиев принял участие в совещании по вопросам реализации национальных проектов в Республике Калмыкия№%:№%:2019-01-18 21:01:45№%:№%:42594637
В Элисте полицейские пресекли кражу с промышленного предприятия№%:№%:2019-01-18 17:05:11№%:№%:42594637
В Яшалтинском районе осужден водитель, по вине которого погибли два человека№%:№%:2019-01-18 14:04:53№%:№%:42594637
Его Святейшество Далай-лама проведет Учения для буддистов России в Дели c 10 по 12 мая№%:№%:2019-01-18 00:01:23№%:№%:42594637
В городской поликлинике откроется кабинет компьютерной томографии№%:№%:2019-01-17 17:09:06№%:№%:42594637
57-летний мужчина подозревается в покушении на дачу взятки должностному лицу№%:№%:2019-01-17 16:06:27№%:№%:42594637
В Калмыкии направлено в суд уголовное дело в отношении организованной преступной группы№%:№%:2019-01-17 13:07:24№%:№%:42594637
Двое элистинцев подозреваются в нанесении телесных повреждений мужчине№%:№%:2019-01-16 21:01:27№%:№%:42594637
В Калмыкии назначен новый министр внутренних дел№%:№%:2019-01-16 13:04:48№%:№%:42594637
Стажеры и слушатели ФДПОИГ приняли участие в Рождественских молодежных встречах№%:№%:2019-01-16 12:07:29№%:№%:42594637
Жительница Городовиковского района подозревается в умышленном причинении легкого вреда здоровью№%:№%:2019-01-15 16:06:09№%:№%:42594637
В Калмыкии на осужденного заведено новое уголовное дело за дебош в тюрьме №%:№%:2019-01-15 14:05:21№%:№%:42594637
15 января – День образования Следственного комитета Российской Федерации№%:№%:2019-01-15 13:03:25№%:№%:42594637
Алексей Орлов провел совещание по вопросам реализации национальных проектов в Республике Калмыкия№%:№%:2019-01-15 12:04:57№%:№%:42594637
Житель города Лагань, четырнадцать лет скрывавшийся от следствия, предстанет перед судом за изнасилование и убийство№%:№%:2019-01-14 11:06:39№%:№%:42594637
Житель Астраханской области похитил овец у фермера из Кетченеровского района№%:№%:2019-01-12 13:02:28№%:№%:42594637
Калмыцкие врачи выучат китайский язык№%:№%:2019-01-11 22:01:21№%:№%:42594637
Сотрудниками полиции задержан элистинец, находившийся в розыске за угрозу убийством№%:№%:2019-01-11 18:04:14№%:№%:42594637
В Элисте полицейскими раскрыта кража из магазина одежды№%:№%:2019-01-11 11:02:38№%:№%:42594637
Пропавшая в Калмыкии школьница приехала на такси в Москву рожать№%:№%:2019-01-10 23:01:25№%:№%:42594637
Начальник отдела УУП и ПДН Управления МВД России по г. Элиста подозревается в хулиганстве и умышленном причинении легкого вреда здоровью№%:№%:2019-01-10 19:02:39№%:№%:42594637
Патрушев К.Э. назначен Министром цифрового развития Республики Калмыкия№%:№%:2019-01-10 11:08:01№%:№%:42594637
В Национальном музее состоится открытие выставки «Рождественское чудо»№%:№%:2019-01-09 19:01:59№%:№%:42594637
Калмыцкие врачи в составе сборной ЮФО стали чемпионами страны по мини-футболу№%:№%:2019-01-09 18:03:06№%:№%:42594637
Центральный хурул Калмыкии издал лунный календарь на 2019 год (год Свиньи)№%:№%:2019-01-09 12:05:11№%:№%:42594637
В праздник Рождества Христова архиепископ Юстиниан совершил Литургию в Казанском соборе Элисты№%:№%:2019-01-07 13:02:15№%:№%:42594637
Архиепископ Юстиниан совершил Рождественскую утреню в Казанском соборе Элисты№%:№%:2019-01-07 04:00:51№%:№%:42594637
Расписание богослужений в Элисте№%:№%:2019-01-06 20:01:41№%:№%:42594637
Алексей Орлов исполнит мечты участников новогодней добровольческой акции «Ёлка желаний»№%:№%:2019-01-05 20:01:10№%:№%:42594637
Главная республиканская Новогодняя ёлка№%:№%:2019-01-05 19:02:19№%:№%:42594637
Полицейские разыскали заблудившегося пастуха№%:№%:2019-01-05 16:02:38№%:№%:42594637
Внимание! Временное ограничение движения автотранспортных средств и общественного транспорта в городе Элисте№%:№%:2019-01-04 10:04:13№%:№%:42594637
В результате ДТП пострадал житель Лаганского района№%:№%:2019-01-04 09:03:05№%:№%:42594637
Глава Калмыкии Алексей Орлов обратился со специальным обращением к жителям республики в связи с трагедией в Магнитогорске№%:№%:2019-01-01 09:01:31№%:№%:42594637
День памяти и скорби о жертвах насильственной депортации калмыцкого народа№%:№%:2018-12-31 18:01:16№%:№%:42594637
В Ики-Бурульском районе фермер выстрелил в чужую корову№%:№%:2018-12-30 12:01:36№%:№%:42594637
«13 лет 13 дней (к 75-летию депортации калмыцкого народа)»№%:№%:2018-12-29 13:06:49№%:№%:42594637
В память о предках, погибших в годы репрессий№%:№%:2018-12-28 17:07:13№%:№%:42594637
28 декабря — День памяти и скорби№%:№%:2018-12-28 14:04:04№%:№%:42594637
День памяти и скорби!№%:№%:2018-12-28 12:06:57№%:№%:42594637
По всей республики проходят памятные мероприятия№%:№%:2018-12-27 20:03:32№%:№%:42594637
В Элисте пройдет акция «День памяти и скорби»№%:№%:2018-12-27 16:05:31№%:№%:42594637
В Элисте проходит фестиваль «От сердца к сердцу»!№%:№%:2018-12-27 13:07:38№%:№%:42594637
В Общественной палате республики подвели итоги работы№%:№%:2018-12-27 11:04:50№%:№%:42594637
Стали обладателями земельных участков№%:№%:2018-12-26 19:05:14№%:№%:42594637
В Калмыкии разыскивается водитель, сбивший пешехода№%:№%:2018-12-26 14:06:12№%:№%:42594637
О чём говорят данные гона-2018№%:№%:2018-12-26 13:03:20№%:№%:42594637
Об итоговом совещании Избирательной комиссии республики с председателями и системными администраторами территориальных избирательных комиссий№%:№%:2018-12-25 19:03:14№%:№%:42594637
По факту обнаружения поддельной денежной купюры полицией проводится проверка№%:№%:2018-12-25 14:03:37№%:№%:42594637
Около 2400 человек сдали кровь в Калмыкии№%:№%:2018-12-25 11:07:21№%:№%:42594637
Встреча Алексея Орлова с Муфтиями Юга России№%:№%:2018-12-24 15:03:45№%:№%:42594637
В РИА «Калмыкия» прошла пресс-конференция архиепископа Элистинского и Калмыцкого Юстиниана по итогам епархиальной деятельности в 2018 году№%:№%:2018-12-22 19:01:45№%:№%:42594637
Готовят лидеров развития территорий№%:№%:2018-12-21 17:08:16№%:№%:42594637
Алексей Орлов проверил ход работ по благоустройству города№%:№%:2018-12-21 14:06:32№%:№%:42594637
Анатолий Козачко поздравил с Днем работника органов безопасности№%:№%:2018-12-21 10:07:34№%:№%:42594637
Ресбюджет утвержден в окончательном чтении№%:№%:2018-12-21 08:02:31№%:№%:42594637
ОНФ в Калмыкии взял на контроль ситуацию с закрытием Республиканского Русского театра драмы и комедии№%:№%:2018-12-20 13:05:10№%:№%:42594637
В Элисте осудили домушников№%:№%:2018-12-20 11:05:32№%:№%:42594637
Долгострои – на стадии завершения№%:№%:2018-12-19 20:02:26№%:№%:42594637
В Яшкульском районе вынесен приговор члену организованной преступной группы за совершение краж сельскохозяйственных животных№%:№%:2018-12-19 13:04:44№%:№%:42594637
Сегодня состоялась четвертая сессия Народного Хурала (Парламента) Республики Калмыкия шестого созыва, которая стала завершающей в 2018 году№%:№%:2018-12-18 19:05:47№%:№%:42594637
В Центральном хуруле церемония Пуджи долгой жизни Шаджин ламы Калмыкии№%:№%:2018-12-18 16:07:44№%:№%:42594637
Анатолий Козачко поздравляет с днем работников органов ЗАГС!№%:№%:2018-12-18 12:08:12№%:№%:42594637
Фельдшера скорой и неотложной помощи осваивают реанимобиль№%:№%:2018-12-17 18:03:19№%:№%:42594637
Житель поселка Яшкуль подозревается в убийстве дочери и покушении на убийство супруги№%:№%:2018-12-17 12:08:05№%:№%:42594637
Жители Калмыкии перечислили более 84,5 млн рублей в счет будущей пенсии№%:№%:2018-12-17 10:06:20№%:№%:42594637
Субботники в хурулах монастыря «Геден Шеддуп Чойкорлинг»№%:№%:2018-12-15 13:01:49№%:№%:42594637
Житель села Яшалта подозревается в нарушении неприкосновенности жилища и изнасиловании№%:№%:2018-12-14 19:05:51№%:№%:42594637
Калмыцких детей приглашают в санаторий в Анапу№%:№%:2018-12-14 18:07:26№%:№%:42594637
В Калмыкии дорожные полицейские проводят профилактическую операцию "Автобус"№%:№%:2018-12-14 17:08:51№%:№%:42594637
Полицейские разыскали пропавшую школьницу№%:№%:2018-12-14 10:06:31№%:№%:42594637
Алексей Орлов провел видеоконференцию с жителями республики в режиме онлайн-трансляции№%:№%:2018-12-13 18:06:32№%:№%:42594637
Внимание!Розыск!№%:№%:2018-12-13 11:05:42№%:№%:42594637
Команда калмыцких артистов вышла в финал Межрегионального футбольно-музыкального фестиваля «Арт-футбол-Россия» №%:№%:2018-12-12 23:00:55№%:№%:42594637
Бывший замминистра по строительству, транспорту и дорожному хозяйству Калмыкии признан виновным  в получении взятки№%:№%:2018-12-12 14:08:07№%:№%:42594637
Поздравление депутата ГосДумы РФ Марины Мукабеновой с Днем Конституции№%:№%:2018-12-12 11:03:40№%:№%:42594637
Заседание Правительства Республики Калмыкия под председательством Главы Калмыкии Алексея Орлова№%:№%:2018-12-11 19:05:43№%:№%:42594637
В  Правительства Калмыкии заслушали ход реализации национальных проектов и региональных программ№%:№%:2018-12-11 18:02:31№%:№%:42594637
В Лаганском районе водитель совершил наезд на школьницу№%:№%:2018-12-11 13:09:19№%:№%:42594637
Рабочая встреча Алексея Орлова с Министром сельского хозяйства РК Виктором Санджиевым№%:№%:2018-12-11 10:03:22№%:№%:42594637
За прошедшую неделю на территории республики зарегистрировано 2 пожара, подлежащих официальному статистическому  учету.№%:№%:2018-12-10 16:05:30№%:№%:42594637
В отношении 33-летнего жителя села Соленое возбуждено уголовное дело№%:№%:2018-12-10 15:02:55№%:№%:42594637
«Мобильную помощь» ПФР получили более 300 жителей Калмыкии№%:№%:2018-12-10 11:06:28№%:№%:42594637
О состоянии дорожной обстановки за прошедшие сутки№%:№%:2018-12-09 04:00:52№%:№%:42594637
Алексей Орлов принял участие в пленарном заседании XVIII Съезда партии «Единая Россия»№%:№%:2018-12-08 18:03:05№%:№%:42594637
В Калмыкии будет создан региональный центр компетенции по вопросам городской среды№%:№%:2018-12-08 17:01:13№%:№%:42594637
Работа дискуссионных площадок стартовала№%:№%:2018-12-07 16:06:08№%:№%:42594637
Объем пенсионных выплат за ноябрь в Калмыкии составил более миллиарда рублей№%:№%:2018-12-07 14:06:56№%:№%:42594637
О ходе зимовки скота в хозяйствах республики№%:№%:2018-12-07 10:03:07№%:№%:42594637
Миллион есть, а желающих на него нет. Или почему в Калмыкии дала сбой программа «Земский доктор»?№%:№%:2018-12-07 02:01:06№%:№%:42594637
Элистинскими полицейскими задержан подозреваемый в грабеже№%:№%:2018-12-06 15:03:57№%:№%:42594637
Представитель гастролирующего в Калмыкии цирка-шапито прокомментировал новость о сбежавшем тигре№%:№%:2018-12-06 14:05:51№%:№%:42594637
Элистинка перечислила на счет мошенника 20 тысяч рублей№%:№%:2018-12-06 01:00:42№%:№%:42594637
В Яшкульском районе  произошло возгорание пассажирского автобуса№%:№%:2018-12-05 13:07:08№%:№%:42594637
Министром сельского хозяйства назначен Виктор Санджиев№%:№%:2018-12-05 11:05:57№%:№%:42594637
Санджиев Виктор Николаевич назначен Министром сельского хозяйства Республики Калмыкия№%:№%:2018-12-04 20:02:24№%:№%:42594637
16-летний житель Элисты ответит за разбойное нападение№%:№%:2018-12-04 14:04:02№%:№%:42594637
В Черноземельском районе на посту ДПС задержан  автомобиль, находившийся в розыске№%:№%:2018-12-04 12:05:40№%:№%:42594637
В Элисте почтили память неизвестного солдата№%:№%:2018-12-04 10:04:42№%:№%:42594637
«Диалог  культур» в КалмГУ№%:№%:2018-12-03 19:05:56№%:№%:42594637
В исправительных учреждениях Калмыкии отметили национальный праздник ЗУЛ№%:№%:2018-12-03 10:09:15№%:№%:42594637
Шаджин-лама Калмыкии Тэло Тулку Ринпоче поздравил жителей республики с национальным праздником Зул№%:№%:2018-12-02 14:02:16№%:№%:42594637
2 декабря – Калмыцкий национальный праздник «Зул»№%:№%:2018-12-02 10:02:47№%:№%:42594637
В преддверии калмыцкого национального праздника ЗУЛ№%:№%:2018-11-30 21:02:48№%:№%:42594637
Живи без сомнений: Знай свой статус!№%:№%:2018-11-30 17:06:19№%:№%:42594637
По факту ДТП на территории Яшкульского района проводится проверка№%:№%:2018-11-30 12:08:02№%:№%:42594637
Житель Калмыкии, находившийся в федеральном розыске, задержан в Ростовской области№%:№%:2018-11-30 10:04:53№%:№%:42594637
Школьница обокрала 60-летнего элистинца№%:№%:2018-11-29 21:01:14№%:№%:42594637
За злоупотребление должностными полномочиями осужден  бывший младший инспектор№%:№%:2018-11-29 16:08:12№%:№%:42594637
В Калмыкии за сутки зарегистрировано 165 нарушений ПДД№%:№%:2018-11-29 12:06:31№%:№%:42594637
2 декабря в Центральном хуруле Калмыкии состоится большой молебен, посвященный национальному празднику Зул№%:№%:2018-11-29 05:00:55№%:№%:42594637
Внимание:розыск!№%:№%:2018-11-28 18:04:14№%:№%:42594637
Полицейскими задержан житель Калмыкии, находившийся в федеральном розыске№%:№%:2018-11-28 13:07:23№%:№%:42594637
В Малых Дербетах открыли обновленный Дом культуры№%:№%:2018-11-28 01:01:28№%:№%:42594637
В Калмыкии ожидаются сложные погодные условия№%:№%:2018-11-27 18:05:20№%:№%:42594637
В Малых Дербетах после капремонта распахнул свои двери Дом культуры «Юбилейный» (ФОТОРЕПОРТАЖ)№%:№%:2018-11-27 14:07:45№%:№%:42594637
Прорыв в эндоскопической хирургии Калмыкии№%:№%:2018-11-27 10:02:18№%:№%:42594637
Активисты ОНФ провели круглый стол по вопросам безопасности дорог вблизи учебных заведений Элисты№%:№%:2018-11-26 18:02:46№%:№%:42594637
В Элисте полицейские изъяли у местного жителя поддельную икру№%:№%:2018-11-26 15:02:51№%:№%:42594637
Житель Октябрьского района предстанет перед судом за избиение женщины из-за этнической музыки№%:№%:2018-11-26 14:05:55№%:№%:42594637
Обсудили вопросы защиты прав дольщиков№%:№%:2018-11-23 19:02:45№%:№%:42594637
Полицией Калмыкии за прошедшие сутки задержаны двое лиц, объявленных в розыск№%:№%:2018-11-23 17:02:54№%:№%:42594637
Второе декабря 2018 года объявлен Днем национального праздника «Зул»№%:№%:2018-11-23 14:05:25№%:№%:42594637
В Элисте стартовал межрегиональный форум «Инновационная Калмыкия»№%:№%:2018-11-23 12:04:18№%:№%:42594637
Активисты ОНФ в Калмыкии провели акцию по раздаче школьникам светоотражающих элементов№%:№%:2018-11-22 17:04:42№%:№%:42594637
В Калмыкии уголовное дело о покушении на дачу взятки передано в суд№%:№%:2018-11-22 13:06:12№%:№%:42594637
Элистинка подозревается в хищении товара из магазина№%:№%:2018-11-21 16:06:58№%:№%:42594637
21 ноября – День работника налоговых органов Российской Федерации№%:№%:2018-11-21 15:05:17№%:№%:42594637
ОНФ проводит конкурс на лучшую программу образовательного волонтерства№%:№%:2018-11-21 14:06:21№%:№%:42594637
Ресбюджет на 2019 г. прошёл первое чтение№%:№%:2018-11-20 18:03:44№%:№%:42594637
Прокуратура направила в суд уголовное дело о хищении бюджетных субсидий№%:№%:2018-11-20 13:07:08№%:№%:42594637
Завтра в Элисте пройдет акция «Спасибо, донор!»№%:№%:2018-11-20 09:05:24№%:№%:42594637
Архиепископ Юстиниан встретился с Главой Калмыкии Алексеем Орловым№%:№%:2018-11-19 19:05:36№%:№%:42594637
В Калмыкии совершено хищение бюджетных средств в размере свыше 7 млн. рублей№%:№%:2018-11-19 17:04:41№%:№%:42594637
Пенсионное дело теперь можно запросить и по интернету№%:№%:2018-11-19 13:05:31№%:№%:42594637
День правовой помощи детям№%:№%:2018-11-16 14:08:30№%:№%:42594637
В Калмыкии в семейных конфликтах пострадали три женщины№%:№%:2018-11-16 13:04:49№%:№%:42594637
ФСИН заплатит 300 тысяч рублей жительнице Калмыкии за смерть ее брата в исправительной колонии№%:№%:2018-11-16 11:07:08№%:№%:42594637
Поощрил лучших работников№%:№%:2018-11-16 00:01:14№%:№%:42594637
С Днем калмыцкой печати!№%:№%:2018-11-15 13:09:47№%:№%:42594637
15 ноября 2018 года - День калмыцкой печати!№%:№%:2018-11-15 12:07:27№%:№%:42594637
Активисты ОНФ в Калмыкии провели для школьников акцию «Неделя в профессии»№%:№%:2018-11-15 10:05:08№%:№%:42594637
Житель Элисты задержан по подозрению в совершении тяжкого преступления№%:№%:2018-11-14 11:07:52№%:№%:42594637
Встреча Министра спорта РФ Павла Колобкова и Главы Калмыкии Алексея Орлова№%:№%:2018-11-13 23:00:34№%:№%:42594637
Житель поселка Цаган Нур подозревается в умышленном причинении тяжкого вреда здоровью, повлекшем по неосторожности смерть двоюродного брата№%:№%:2018-11-13 13:05:45№%:№%:42594637
По факту ДТП со смертельным исходом проводится проверка№%:№%:2018-11-13 10:07:42№%:№%:42594637
Калмыкия присоединилась к акции «Молодежки ОНФ» «Уличный красава»№%:№%:2018-11-12 16:04:19№%:№%:42594637
Жители Калмыкии смогут быстрее получить материнский капитал№%:№%:2018-11-12 13:04:35№%:№%:42594637
По подозрению в угрозе убийством и умышленном причинении вреда здоровью задержан житель Юстинского района№%:№%:2018-11-12 09:04:40№%:№%:42594637
10 ноября - День сотрудника органов внутренних дел№%:№%:2018-11-10 14:02:18№%:№%:42594637
В Элисте откроется новый муниципальный маршрут№%:№%:2018-11-10 06:06:39№%:№%:42594637
В Элисте ожидается понижение температуры№%:№%:2018-11-09 16:08:11№%:№%:42594637
Сотрудничество с Казахстаном№%:№%:2018-11-09 13:06:02№%:№%:42594637
В Элисте завершаются работы по благоустройству парка Победы№%:№%:2018-11-09 10:05:06№%:№%:42594637
Прокурор Республики Калмыкия Роман Тютюник посетил колонию - поселения №3 УИС республики№%:№%:2018-11-08 19:04:53№%:№%:42594637
По факту ДТП со смертельным исходом проводится проверка№%:№%:2018-11-08 12:08:33№%:№%:42594637
Полицейские задержали элистинца, находившегося в розыске№%:№%:2018-11-07 22:01:20№%:№%:42594637
Алексей Орлов принимает участие в пленарном заседании Конгресса местных и региональных властей Совета Европы№%:№%:2018-11-07 19:03:26№%:№%:42594637
Калмыцкими полицейскими задержан мошенник, находившийся в федеральном розыске№%:№%:2018-11-07 14:08:11№%:№%:42594637
В результате ДТП в Кетченеровском районе пострадал житель Волгоградской области№%:№%:2018-11-07 11:10:00№%:№%:42594637
Активисты ОНФ в Калмыкии приняли участие в мероприятиях в честь Дня народного единства№%:№%:2018-11-06 14:04:33№%:№%:42594637
Республика отпраздновала День народного единства№%:№%:2018-11-06 12:08:06№%:№%:42594637
Слушатели ФДПОИГ из Туркменистана на Гастрономическом фестивале№%:№%:2018-11-06 11:07:31№%:№%:42594637
В День народного единства полиция усилит меры безопасности№%:№%:2018-11-05 23:01:08№%:№%:42594637
День работника сельского хозяйства!№%:№%:2018-11-05 06:00:48№%:№%:42594637
Республика отпраздновала День народного единства№%:№%:2018-11-04 22:01:52№%:№%:42594637
День народного единства в Элисте№%:№%:2018-11-04 19:01:09№%:№%:42594637
4 ноября – День народного единства№%:№%:2018-11-04 11:04:01№%:№%:42594637
Алексей Орлов провел совещание по вопросам реализации региональных составляющих национальных проектов№%:№%:2018-11-02 20:03:22№%:№%:42594637
Очередной «балконный фермер» признан виновным в совершении хищения бюджетных средств путем мошенничества№%:№%:2018-11-02 18:05:06№%:№%:42594637
Прокуратурой города Элиста утверждено обвинительное заключение по уголовному делу в отношении главного инженера ООО «Прогресс», обвиняемого в дачи взятки№%:№%:2018-11-02 16:05:43№%:№%:42594637
По факту ДТП со смертельным исходом проводится проверка№%:№%:2018-11-02 10:06:08№%:№%:42594637
Граждане выберут «Народного участкового»№%:№%:2018-11-01 17:04:49№%:№%:42594637
Вручение дипломов победителям ежегодного конкурса 50 лучших детских школ искусств России 2018 г.№%:№%:2018-11-01 15:07:21№%:№%:42594637
С начала года в Калмыкии выявлено 336 фактов повторной нетрезвой езды№%:№%:2018-11-01 12:03:12№%:№%:42594637
Четвертого ноября в Элисте состоится торжественное празднование Дня народного единства№%:№%:2018-10-31 20:04:46№%:№%:42594637
В Черноземельском районе на посту ДПС задержан  угнанный автомобиль№%:№%:2018-10-31 15:03:10№%:№%:42594637
Полицейскими задержан житель Сарпинского района, подозреваемый в хранении и сбыте наркотиков (фото)№%:№%:2018-10-30 19:05:57№%:№%:42594637
Завтра в центральном хуруле Калмыкии состоится праздничный молебен №%:№%:2018-10-30 18:05:28№%:№%:42594637
Пропал 46-летний житель Малодербетовского района Калмыкии№%:№%:2018-10-30 11:11:41№%:№%:42594637
В Элисте будут принудительно эвакуировать автомобили№%:№%:2018-10-30 10:12:48№%:№%:42594637
В Сибири  государственному театру танца «Ойраты» аплодировали стоя№%:№%:2018-10-29 19:04:22№%:№%:42594637
В Черноземельском районе  полицейскими изъята спиртосодержащая продукция№%:№%:2018-10-29 12:06:43№%:№%:42594637
В Центральном хуруле Калмыкии состоялись мероприятия, посвященные Дню рождения Шаджин-ламы республики Тэло Тулку Ринпоче№%:№%:2018-10-29 10:07:07№%:№%:42594637
Элистинец разбил лобовое стекло чужого автомобиля№%:№%:2018-10-26 19:14:06№%:№%:42594637
В рамках Всероссийского турнира памяти Церена Санджиевича Балзанова продолжаются предварительные боксерские бои№%:№%:2018-10-26 15:08:59№%:№%:42594637
Алексей Орлов посетил сельхозпредприятия уезда Лунхуа округа Чэндэ провинции Хэбэй№%:№%:2018-10-26 10:06:58№%:№%:42594637
В Элисте стартует 13-й Всероссийский турнир по боксу среди юношей№%:№%:2018-10-25 16:06:28№%:№%:42594637
Визит официальной делегации Республики Калмыкия в Китайскую народную Республику№%:№%:2018-10-25 12:10:27№%:№%:42594637
Информатизация здравоохранения продолжается№%:№%:2018-10-25 09:03:02№%:№%:42594637
Алексей Орлов посетил исторические достопримечательности в г. Чэндэ провинции Хэбэй КНР№%:№%:2018-10-25 07:01:54№%:№%:42594637
25-летняя элистинка подозревается в умышленном причинении тяжкого вреда здоровью№%:№%:2018-10-24 16:03:57№%:№%:42594637
Эксперты установили причину смерти пятерых человек в Сарпинском районе Калмыкии№%:№%:2018-10-24 12:07:07№%:№%:42594637
Встреча делегации Республики Калмыкия с руководством провинции Хэбэй Китайской Народной Республики Калмыкия№%:№%:2018-10-23 19:06:18№%:№%:42594637
В республике наблюдается стабильное увеличение количества многодетных семей№%:№%:2018-10-23 17:10:54№%:№%:42594637
Житель Малодербетовского района подозревается в причинении тяжкого вреда здоровью№%:№%:2018-10-23 12:06:33№%:№%:42594637
Почти 2,5 миллиона рублей получили мамочки Калмыкии в виде ежемесячной выплаты№%:№%:2018-10-22 17:03:01№%:№%:42594637
Прокуратура Приютненского района выявила многочисленные нарушения в сфере соблюдения установленных антикоррупционным законодательством обязанностей, запретов и ограничений для муниципальных служащих и лиц, замещающих муниципальные должности№%:№%:2018-10-22 13:13:37№%:№%:42594637
Два жителя республики предстанут перед судом за совершенные преступления№%:№%:2018-10-22 12:09:43№%:№%:42594637
Нетрезвая элистинка стала жертвой ДТП№%:№%:2018-10-22 11:07:43№%:№%:42594637
Звучит над степью голос дружбы№%:№%:2018-10-20 23:02:52№%:№%:42594637
Полицейскими задержан подозреваемый в хулиганстве№%:№%:2018-10-19 19:05:45№%:№%:42594637
Службе криминалистики России исполняется 64 года№%:№%:2018-10-19 15:13:43№%:№%:42594637
Звезды футбола – в Элисте№%:№%:2018-10-19 11:11:31№%:№%:42594637
Калмыцкие полицейские за сутки разыскали трех преступников, находившихся в федеральном розыске№%:№%:2018-10-19 10:10:21№%:№%:42594637
В ГТРК «Калмыкия» – новый руководитель№%:№%:2018-10-18 18:11:07№%:№%:42594637
С начала года более 7 тысяч жителей Калмыкии выбрали доставщика пенсии без визита в ПФР№%:№%:2018-10-18 13:08:42№%:№%:42594637
Студент, устроивший стрельбу в керченском колледже, покончил с собой№%:№%:2018-10-17 18:06:21№%:№%:42594637
Полицейские Калмыкии и Автономного района Внутренней Монголии обмениваются опытом№%:№%:2018-10-17 13:08:02№%:№%:42594637
Республику Калмыкия с рабочим визитом посетила делегация китайских полицейских№%:№%:2018-10-17 10:06:40№%:№%:42594637
Народный фронт в Калмыкии взял на контроль строительство домов для детей-сирот в Яшалте№%:№%:2018-10-16 19:02:45№%:№%:42594637
Терапевты прошли обучение по выявлению ВИЧ-инфекции№%:№%:2018-10-16 17:09:54№%:№%:42594637
В Элисте пьяный пенсионер разбил чужой автомобиль№%:№%:2018-10-16 12:14:40№%:№%:42594637
Успехи калмыцких животноводов на главной выставке страны№%:№%:2018-10-15 17:05:29№%:№%:42594637
ФМФиИТ поздравляет Эрдниева Пюрвю Мучкаевича с Днем рождения!№%:№%:2018-10-15 13:05:20№%:№%:42594637
Мобильный офис ОПФР отправится в Яшкульский район№%:№%:2018-10-15 12:07:41№%:№%:42594637
