Задержан глава полиции по Ишимбайскому району Башкирии.№%:№%:2019-02-01 17:10:05№%:№%:23967044
Жители уфимской многоэтажки не могут выходить во двор №%:№%:2019-01-30 16:30:03№%:№%:23967044
🔥 Отличные новости! 🔥 №%:№%:2019-01-30 16:10:02№%:№%:23967044
До конца апреля молочных кухонь в Башкирии должно стать больше №%:№%:2019-01-30 15:50:00№%:№%:23967044
☀ Погода в Башкирии в последний день января №%:№%:2019-01-30 15:30:04№%:№%:23967044
Житель Башкирии жестоко расправился с другом, расчленил тело и закопал в лесу №%:№%:2019-01-30 15:10:03№%:№%:23967044
«Cвою жизнь он воспринимает как увлекательное приключение»№%:№%:2019-01-30 14:50:00№%:№%:23967044
В Башкирии на 38 человек увеличилось число получателей льготы на капремонт №%:№%:2019-01-30 14:30:04№%:№%:23967044
Уфимцев ожидает резкое понижение температуры№%:№%:2019-01-30 14:10:00№%:№%:23967044
Хоккеисты хельсинкского «Йокерита» обыграли «Салават Юлаев».№%:№%:2019-01-30 13:50:00№%:№%:23967044
"Зеленого дерби" не будет: расклад плей-офф №%:№%:2019-01-30 13:30:03№%:№%:23967044
В Башкирии при пожаре погиб мужчина №%:№%:2019-01-30 13:10:00№%:№%:23967044
Центробанк выпускает особые монеты к 100-летию Башкирии№%:№%:2019-01-30 12:50:00№%:№%:23967044
«Приходилось со слезами выбивать у врачей направления»№%:№%:2019-01-30 12:30:04№%:№%:23967044
Ростелеком проводит подключение к услугам высокоскоростного интернета и интерактивного телевидения! №%:№%:2019-01-30 11:30:01№%:№%:23967044
"Увидев, что я плююсь кровью, он тут же убежал" №%:№%:2019-01-30 11:10:00№%:№%:23967044
В Башкирии школьники просят изменить правила поступления в вуз №%:№%:2019-01-30 10:50:00№%:№%:23967044
В Уфе щенка завернули в пакет и выбросили на помойку 😭№%:№%:2019-01-30 10:30:03№%:№%:23967044
Запрет на употребление некоторых слов, недовольство некрасивыми киосками и разнос по ситуации с маршрутками №%:№%:2019-01-30 10:10:00№%:№%:23967044
Рост пенсий и арест за оскорбление власти в интернете: депутат Госдумы Зариф Байгускаров рассказал о новых законопроектах №%:№%:2019-01-30 09:50:00№%:№%:23967044
В Башкирии появился полный список подъездов, которые отремонтируют уже в этом году№%:№%:2019-01-30 09:30:04№%:№%:23967044
«Сначала мы потеряли дом, а теперь боимся за свою жизнь»№%:№%:2019-01-30 09:10:00№%:№%:23967044
"Ты хочешь выступать в Уфе, но для тебя здесь харам" — FACE выпустил новый клип №%:№%:2019-01-30 08:50:00№%:№%:23967044
«У меня душа болит»№%:№%:2019-01-30 08:30:02№%:№%:23967044
Имущество Марселя Юсупова начинают распродавать.№%:№%:2019-01-30 08:10:00№%:№%:23967044
Эксперты отмечают тревожную ситуацию с микрозаймами №%:№%:2019-01-30 07:50:00№%:№%:23967044
«Представители УГОКа пожертвовали здоровьем жителей Сибая ради собственной прибыли».№%:№%:2019-01-30 07:30:01№%:№%:23967044
Башкультнаследие проверило информацию о разрушении Симоновской мельницы№%:№%:2019-01-30 07:10:00№%:№%:23967044
🔥 Жителей Башкирии не пускают на работу! 🔥 №%:№%:2019-01-30 06:50:00№%:№%:23967044
Сколько стоит в Уфе одна из популярных операционных услуг №%:№%:2019-01-30 06:30:00№%:№%:23967044
Житель Уфы стал миллионером, потратив всего 120 рублей №%:№%:2019-01-30 06:10:00№%:№%:23967044
«Веселые песни на башкирском в траурный день»: уфимец пожаловался на празднование Дня жертв холокоста№%:№%:2019-01-30 05:50:00№%:№%:23967044
Радий Хабиров рассказал, кем хотел стать в детстве №%:№%:2019-01-30 05:30:00№%:№%:23967044
Доброе утро!№%:№%:2019-01-30 05:10:00№%:№%:23967044
🔥 В Башкирии воздушный шар, летящий через Уральские горы, чуть не остался без газа 🔥 №%:№%:2019-01-29 21:30:03№%:№%:23967044
Против башкирского блогера возбудили уголовное дело.№%:№%:2019-01-29 21:10:01№%:№%:23967044
Роспотребнадзор рассказал о результате экспертизы в квартирах ЖК «Сосны» в Уфе№%:№%:2019-01-29 20:50:00№%:№%:23967044
И тут со дна постучали: "Салават Юлаев" начал домашнюю серию№%:№%:2019-01-29 20:30:03№%:№%:23967044
Единственный в Уфе отель класса «пять звезд» уйдет с рынка.№%:№%:2019-01-29 20:10:11№%:№%:23967044
Уфимские коммунальщики очистили улицу только после массовых жалоб жителей.№%:№%:2019-01-29 19:50:00№%:№%:23967044
Радий Хабиров принял решение по ликвидации экологической проблемы в Сибае №%:№%:2019-01-29 19:30:02№%:№%:23967044
Стало известно о состоянии девушки, которую нашли в салоне автомобиля с трупом молодого мужчины№%:№%:2019-01-29 19:10:06№%:№%:23967044
Уфимцам рассказали, как скорректируют плату за отопление в первом квартале 2019 года№%:№%:2019-01-29 18:50:00№%:№%:23967044
Башкирия попала в топ-15 популярных туристических направлений России№%:№%:2019-01-29 18:30:03№%:№%:23967044
Улицу Батырскую перекрывать не стали №%:№%:2019-01-29 18:10:03№%:№%:23967044
Чиновник узнал, что из пятерых детей родной ему – только один №%:№%:2019-01-29 17:50:00№%:№%:23967044
Из Уфы в Санкт-Петербург будет летать новая авиакомпания №%:№%:2019-01-29 17:30:04№%:№%:23967044
После увольнения из полиции экс-дознавательница, которая обвиняет начальников в групповом изнасиловании, выдвинула новые требования№%:№%:2019-01-29 17:10:02№%:№%:23967044
«Готовьте встречу в апреле, чтобы нам не стыдно перед ними было»№%:№%:2019-01-29 16:50:00№%:№%:23967044
Прибавку к пособиям получат 318 тысяч федеральных льготников в Башкирии№%:№%:2019-01-29 16:30:04№%:№%:23967044
😨 Ну это уже не смешно! 😨№%:№%:2019-01-29 16:10:01№%:№%:23967044
Самолет Уфа - Москва встретила бригада скорой помощи №%:№%:2019-01-29 15:50:00№%:№%:23967044
Думали морозы уже всё? 😤№%:№%:2019-01-29 15:30:03№%:№%:23967044
Сначала он душил тросом главу сельсовета и снимал это на камеру 😨№%:№%:2019-01-29 15:10:03№%:№%:23967044
Новость удалена из-за нарушения правил группы№%:№%:2019-01-29 14:50:00№%:№%:23967044
Солист группы Lumen написал выпустил книгу «Гори, чтобы светить!»№%:№%:2019-01-29 14:30:02№%:№%:23967044
«Несмотря на свой юный возраст, знает, что такое боль и одиночество»№%:№%:2019-01-29 14:10:01№%:№%:23967044
Общественники и депутат Госсобрания обсудили туристическое будущее Торатау №%:№%:2019-01-29 13:50:00№%:№%:23967044
Сугробы на юге Башкирии настолько огромны, что в них застревает даже снегоуборочная техника №%:№%:2019-01-29 13:30:02№%:№%:23967044
«Без эвакуаций будут жертвы. Мы вас предупредили». №%:№%:2019-01-29 13:10:01№%:№%:23967044
Уфимцам объяснили, почему кто-то получил сразу две квитанции для оплаты услуг ЖКХ №%:№%:2019-01-29 12:50:00№%:№%:23967044
Башкирия в том году не успела освоить 14,2 млрд рублей№%:№%:2019-01-29 12:30:02№%:№%:23967044
Смог в Сибае.№%:№%:2019-01-29 12:10:00№%:№%:23967044
У минземимущества Башкирии не состоялся кадровый конкурс. №%:№%:2019-01-29 11:50:00№%:№%:23967044
Бой Федора Емельяненко оказался популярнее Татьяниного дня №%:№%:2019-01-29 11:30:03№%:№%:23967044
Жуткий пожар в Башкирии №%:№%:2019-01-29 11:10:01№%:№%:23967044
Играл в машинки, смотрел мультики, и вдруг оказался на волоске от смерти№%:№%:2019-01-29 10:50:00№%:№%:23967044
В Уфе выбрали лучшего учителя года №%:№%:2019-01-29 10:30:04№%:№%:23967044
«Лучше закончить торговлю смертью прямо сейчас» №%:№%:2019-01-29 10:10:01№%:№%:23967044
«Все лучшее – впереди, и главное знать, что для тебя действительно важно»№%:№%:2019-01-29 09:50:00№%:№%:23967044
В Уфе сотни владельцев гаражей попросили Радия Хабирова спасти их от сноса №%:№%:2019-01-29 09:30:04№%:№%:23967044
В Башкирии бабушка избила и выгнала внучку на улицу в мороз без зимней обуви и верхней одежды.№%:№%:2019-01-29 09:10:00№%:№%:23967044
В России вступил в силу новый закон№%:№%:2019-01-29 08:50:00№%:№%:23967044
Коллекторы и кредиторы в Башкирии заплатили полтора млн рублей штрафов№%:№%:2019-01-29 08:10:00№%:№%:23967044
В Уфе продолжаются отключения воды №%:№%:2019-01-29 07:50:00№%:№%:23967044
«Сегодня-завтра эти вопросы надо снять»№%:№%:2019-01-29 07:30:02№%:№%:23967044
Стало известно, когда в Уфе уберут все ледовые городки №%:№%:2019-01-29 07:10:00№%:№%:23967044
В Башкирии три города получили особый статус№%:№%:2019-01-29 06:50:00№%:№%:23967044
Погода в Уфе до конца недели№%:№%:2019-01-29 06:30:00№%:№%:23967044
🔥 В Уфе животные мучаются в зверинце от удушья 🔥 №%:№%:2019-01-29 06:10:00№%:№%:23967044
В Уфе медики начали поквартирный обход пациентов из-за инфекции№%:№%:2019-01-29 05:50:00№%:№%:23967044
Сотрудники скандального роддома в Башкирии обратились к женщинам №%:№%:2019-01-29 05:30:00№%:№%:23967044
Согласован кандидат на пост главы башкирского исполкома «Единой России».№%:№%:2019-01-29 05:10:00№%:№%:23967044
Первый трейлер фильма о Рудольфе Нурееве №%:№%:2019-01-28 22:50:00№%:№%:23967044
Власти отчитались о ситуации в городе, где жители задыхаются от едкого запаха и смога.№%:№%:2019-01-28 22:30:02№%:№%:23967044
Было как в кино 🎲💰 №%:№%:2019-01-28 22:10:04№%:№%:23967044
🔥 Почему коммунальщики не могут почистить в Уфе снег? 🔥№%:№%:2019-01-28 21:30:04№%:№%:23967044
"Приходят даже пожилые, закладывают свою пенсию на месяц-два вперед..."№%:№%:2019-01-28 20:50:00№%:№%:23967044
Парламент Башкирии Курултай предложил переизбрать на должность уполномоченного по правам человека республики.№%:№%:2019-01-28 20:30:03№%:№%:23967044
Выживший в бойне в Учалах Зариф Хилажев вышел из комы№%:№%:2019-01-28 20:10:07№%:№%:23967044
Состоялся второй «Digital Курултай» №%:№%:2019-01-28 19:50:00№%:№%:23967044
Из Уфы в Санкт-Петербург будет летать еще одна авиакомпания.№%:№%:2019-01-28 19:30:04№%:№%:23967044
Стало известно, сколько заработает уфимский пилот за сезон в "Формуле 1" №%:№%:2019-01-28 19:10:04№%:№%:23967044
Радий Хабиров объявил хорошую новость для жителей Башкирии №%:№%:2019-01-28 18:50:00№%:№%:23967044
Башкирские ученые выиграли грант Евросоюза в размере 80 тысяч евро№%:№%:2019-01-28 18:30:03№%:№%:23967044
Неожиданный поворот в деле нигерийца, которого обвиняют в изнасиловании в новогоднюю ночь№%:№%:2019-01-28 18:10:03№%:№%:23967044
Постоянные боли и кровотечения №%:№%:2019-01-28 17:50:00№%:№%:23967044
Самый крупный торговый центр Нефтекамска закрыли по решению суда, но владельцы с этим несогласны №%:№%:2019-01-28 17:30:03№%:№%:23967044
В Уфе опубликовали график уборки дворов на вторник №%:№%:2019-01-28 17:10:03№%:№%:23967044
🔥 Восстание пенсионеров 🔥№%:№%:2019-01-28 16:50:00№%:№%:23967044
«Мы никогда не кричим на детей»: Ляйсан Утяшева рассказала, как воспитывает сына и дочь№%:№%:2019-01-28 16:30:01№%:№%:23967044
В смертельной аварии в Башкирии погибли 4 человека№%:№%:2019-01-28 16:10:06№%:№%:23967044
Радий Хабиров прокомментировал уход с поста главы «Единой России» №%:№%:2019-01-28 15:50:00№%:№%:23967044
В Уфе провели уникальную операцию на сердце №%:№%:2019-01-28 15:30:05№%:№%:23967044
Синоптики рассказали, когда отступят морозы№%:№%:2019-01-28 15:10:05№%:№%:23967044
Радию Хабирову доложили, на что потратят несколько миллиардов№%:№%:2019-01-28 14:50:00№%:№%:23967044
Власти Чечни готовы ввести на региональном телевидении специальные рубрики для извинений. Так они, якобы, будут бороться с хулиганами, которые сеют панику в соцсетях. №%:№%:2019-01-28 14:30:01№%:№%:23967044
«Бросилась в огонь за малышами и не выбралась»№%:№%:2019-01-28 14:10:05№%:№%:23967044
Эксперты назвали самые популярные смартфоны в Уфе №%:№%:2019-01-28 13:50:00№%:№%:23967044
Премьера клипа на песню «Колхозный панк» группы «Сектор Газа».№%:№%:2019-01-28 13:30:03№%:№%:23967044
Радий Хабиров заявил, что не понимает, как некоторые районы и города Башкирии оказались в такой ситуации№%:№%:2019-01-28 13:10:06№%:№%:23967044
Башкирский банк судится с бывшим владельцем из-за 160 млн рублей.№%:№%:2019-01-28 12:50:00№%:№%:23967044
В Башкирии объем Дорожного фонда за три года сократится на миллиард №%:№%:2019-01-28 12:30:02№%:№%:23967044
В Башкирии конфликт на дороге закончился стрельбой№%:№%:2019-01-28 12:10:09№%:№%:23967044
Набор - 18 основных танцевальных направлений! №%:№%:2019-01-28 11:10:00№%:№%:23967044
🔥 В Башкирии исчезнет самый известный детский лагерь 🔥 №%:№%:2019-01-28 10:50:00№%:№%:23967044
Жительница Башкирии устроила полноценное эротическое шоу в ночном клубе №%:№%:2019-01-28 10:30:03№%:№%:23967044
В Башкирии бизнесмен выложил дорогу из кирпичей церкви, признанной памятником архитектуры😔😔😔 №%:№%:2019-01-28 10:10:05№%:№%:23967044
"Не должно быть так, что вы к концу всё свалите"№%:№%:2019-01-28 09:50:00№%:№%:23967044
В правительстве назвали настоящую причину отравления людей №%:№%:2019-01-28 09:30:04№%:№%:23967044
В Уфе концертный продюсер осужден за педофилию.№%:№%:2019-01-28 09:10:01№%:№%:23967044
В Башкирии помогают Потякиным, у которых 16 детей №%:№%:2019-01-28 08:50:00№%:№%:23967044
"Спасибо большое - все показатели пошли вверх"№%:№%:2019-01-28 08:30:03№%:№%:23967044
🔥 Жительница Уфы просит Ольгу Бузову помочь ее сыну 🔥 №%:№%:2019-01-28 08:10:00№%:№%:23967044
В Уфе застопорилось движение №%:№%:2019-01-28 07:50:00№%:№%:23967044
Полный автобус пассажиров и на красный свет😨😨😨№%:№%:2019-01-28 07:30:02№%:№%:23967044
Экспорт зерна в Башкирии вырос в 5 раз №%:№%:2019-01-28 07:10:00№%:№%:23967044
Челлендж «10 лет назад»№%:№%:2019-01-28 06:50:00№%:№%:23967044
«Смотри, это ты»: уфимка, поборовшая рак, создала уникальный психологический фотопроект №%:№%:2019-01-28 06:30:01№%:№%:23967044
"Продам девственность. Дорого" №%:№%:2019-01-28 06:10:00№%:№%:23967044
«В улье ЖКХ самые жирные трутни сидят, ворошите его»№%:№%:2019-01-28 05:50:00№%:№%:23967044
Сколько уфимские студенты тратят на аренду жалья? №%:№%:2019-01-28 05:30:00№%:№%:23967044
Аномальные морозы, оттепели и снегопады №%:№%:2019-01-28 05:10:00№%:№%:23967044
Миллион за ночь с девственницей, продолжение истории с изнасилованной дознавательницей из Уфы и нанесённый по репутации Радия Хабирова «удар» №%:№%:2019-01-27 21:10:03№%:№%:23967044
«Отношения между людьми – это очень важно» №%:№%:2019-01-27 20:50:00№%:№%:23967044
Игры на улице в Сибае теперь выглядят вот так№%:№%:2019-01-27 19:30:05№%:№%:23967044
В Башкирии односельчане погибшей матери с двумя дочерьми обратились ко всем неравнодушным №%:№%:2019-01-27 19:10:02№%:№%:23967044
Что вам известно о выживании?№%:№%:2019-01-27 18:10:09№%:№%:23967044
30-летняя уфимка с опухолью мозга объявила, что закрывает сбор средств на лечение №%:№%:2019-01-27 17:50:00№%:№%:23967044
«Бранилась и отказывалась от помощи»: глава села — о жизни блокадницы из Башкирии в бараке№%:№%:2019-01-27 17:30:04№%:№%:23967044
В Уфе 13 детей экстренно госпитализировали с сильнейшим отравлением№%:№%:2019-01-27 17:10:07№%:№%:23967044
Во вторник в Уфе перекроют одну из улиц №%:№%:2019-01-27 16:10:03№%:№%:23967044
«Сплю в куртке и в сапогах»: в Башкирии блокадница Ленинграда живет в промерзающем насквозь бараке №%:№%:2019-01-27 15:50:00№%:№%:23967044
Сохранится ли в Уфе морозная погода? №%:№%:2019-01-27 15:30:04№%:№%:23967044
«Маленькой девочке все еще боятся сказать, что папа умер»№%:№%:2019-01-27 15:10:14№%:№%:23967044
В суде не нашли задолженности. №%:№%:2019-01-27 14:50:00№%:№%:23967044
Дотянуть до осени: жительница Башкирии мечтает дожить до пересадки органов №%:№%:2019-01-27 14:30:03№%:№%:23967044
Для жителей Башкирии появилось много рабочих мест№%:№%:2019-01-27 14:10:00№%:№%:23967044
Опубликованы данные о миграции населения №%:№%:2019-01-27 13:50:00№%:№%:23967044
«Победа» - память наших предков: уфимцы создали петицию в защиту старейшего кинотеатра Уфы №%:№%:2019-01-27 13:30:04№%:№%:23967044
«У нее остался маленький сын дома» №%:№%:2019-01-27 13:10:01№%:№%:23967044
Красочные «Жигули» и прекрасные автоледи: в фоторепортаже Proural с чемпионата по зимнему дрифту №%:№%:2019-01-27 12:50:00№%:№%:23967044
