В Пречистом завершено строительство здания бассейна№%:№%:2019-01-17 09:45:20№%:№%:95388014
10 представителей Ярославской области вышли в полуфинал конкурса управленцев «Лидеры России»№%:№%:2019-01-17 01:15:17№%:№%:95388014
В Главном управлении прошли практические занятия№%:№%:2019-01-17 00:51:02№%:№%:95388014
В Главном управлении прошли практические занятия№%:№%:2019-01-17 00:30:40№%:№%:95388014
Инспекторы ГИМС Ярославской области рассказали школьникам о безопасном поведении на воде№%:№%:2019-01-17 00:15:39№%:№%:95388014
16 января состоится пресс-конференция по обеспечению безопасности при проведении Крещения Господня№%:№%:2019-01-17 00:05:40№%:№%:95388014
Поздравление и.о. руководителя следственного управления с восьмой годовщиной образования Следственного комитета Российской Федерации№%:№%:2019-01-16 23:30:26№%:№%:95388014
В Ярославле по факту обнаружения тела женщины проводится доследственная проверка№%:№%:2019-01-16 23:15:33№%:№%:95388014
О принятии Присяги№%:№%:2019-01-16 17:18:29№%:№%:95388014
О принятии Присяги№%:№%:2019-01-16 17:03:33№%:№%:95388014
Интервью ветерана следствия В.М. Румянцева для ГТРК «Ярославия» (радио)№%:№%:2019-01-16 16:17:23№%:№%:95388014
Профилактическая работа сотрудников ОНДиПР с населением№%:№%:2019-01-16 15:45:08№%:№%:95388014
Интервью ветерана следствия В.М. Румянцева для ГТРК «Ярославия» (радио)№%:№%:2019-01-16 14:45:12№%:№%:95388014
В Ярославской области на Крещение оборудуют 43 купели№%:№%:2019-01-16 14:00:08№%:№%:95388014
В Рыбинске возбуждено уголовное дело в отношении местного жителя, подозреваемого в уклонении от призыва на военную службу№%:№%:2019-01-16 11:15:11№%:№%:95388014
Руководство швейной фабрики  подозревается в совершении налогового преступления№%:№%:2019-01-16 08:31:32№%:№%:95388014
Руководство швейной фабрики  подозревается в совершении налогового преступления№%:№%:2019-01-16 08:15:08№%:№%:95388014
32-летний житель области обвиняется в убийстве своего соседа№%:№%:2019-01-16 05:15:09№%:№%:95388014
Поздравление и.о. руководителя следственного управления с восьмой годовщиной образования Следственного комитета Российской Федерации№%:№%:2019-01-16 02:01:44№%:№%:95388014
Поздравление и.о. руководителя следственного управления с восьмой годовщиной образования Следственного комитета Российской Федерации№%:№%:2019-01-16 01:45:24№%:№%:95388014
В Ярославле по факту обнаружения тела женщины проводится доследственная проверка№%:№%:2019-01-15 22:15:20№%:№%:95388014
В Главном управлении прошли практические занятия№%:№%:2019-01-15 20:45:39№%:№%:95388014
Инспекторы ГИМС Ярославской области рассказали школьникам о безопасном поведении на воде№%:№%:2019-01-15 20:32:12№%:№%:95388014
Жительница области задержана по подозрению в убийстве своего мужа№%:№%:2019-01-15 19:15:18№%:№%:95388014
Жительница области задержана по подозрению в убийстве своего мужа№%:№%:2019-01-15 19:00:36№%:№%:95388014
В текущем году планируется решить проблемы более тысячи обманутых дольщиков№%:№%:2019-01-15 18:45:23№%:№%:95388014
Жители региона выбирают объекты для благоустройства в рамках программы «Решаем вместе!»№%:№%:2019-01-15 18:31:27№%:№%:95388014
Первый в регионе кролиководческий кооператив планирует к концу года увеличить производство продукции в 7 раз№%:№%:2019-01-15 18:16:14№%:№%:95388014
39-летний житель города Ярославля обвиняется в убийстве своего брата№%:№%:2019-01-15 16:00:36№%:№%:95388014
39-летний житель города Ярославля обвиняется в убийстве своего брата№%:№%:2019-01-15 15:45:08№%:№%:95388014
С конца января откроется региональная горячая линия по вопросам перехода на цифровое телевещание№%:№%:2019-01-15 15:31:13№%:№%:95388014
В регионе сформирован сводный том предельно допустимых выбросов загрязняющих веществ№%:№%:2019-01-15 15:16:37№%:№%:95388014
10 представителей Ярославской области вышли в полуфинал конкурса управленцев «Лидеры России»№%:№%:2019-01-15 15:03:32№%:№%:95388014
16 января состоится пресс-конференция по обеспечению безопасности при проведении Крещения Господня№%:№%:2019-01-15 14:32:35№%:№%:95388014
16 января состоится пресс-конференция по обеспечению безопасности при проведении Крещения Господня№%:№%:2019-01-15 14:16:47№%:№%:95388014
Обеспечение безопасности во время проведения праздника «Крещение Господне»№%:№%:2019-01-15 14:03:01№%:№%:95388014
Обеспечение безопасности во время проведения праздника «Крещение Господне»№%:№%:2019-01-15 13:46:06№%:№%:95388014
В III международном музыкальном конкурсе «Вятское» примут участие около 300 молодых исполнителей№%:№%:2019-01-15 12:17:04№%:№%:95388014
«Русская механика» по итогам 2018 года включена Минэкономразвития в число «Национальных чемпионов»№%:№%:2019-01-14 19:16:25№%:№%:95388014
Предварительный список мест проведения купаний в период празднования «Крещенских купаний»№%:№%:2019-01-14 19:03:24№%:№%:95388014
Предварительный список мест проведения купаний в период празднования «Крещенских купаний»№%:№%:2019-01-14 18:46:37№%:№%:95388014
В минувшую пятницу пожарные спасли 13 человек из горящего здания№%:№%:2019-01-14 18:31:37№%:№%:95388014
В минувшую пятницу пожарные спасли 13 человек из горящего здания№%:№%:2019-01-14 18:18:53№%:№%:95388014
ГИМС патрулирует Ярославский район№%:№%:2019-01-14 18:13:38№%:№%:95388014
ГИМС патрулирует Ярославский район№%:№%:2019-01-14 17:45:07№%:№%:95388014
Завершен второй этап модернизации очистных сооружений в Рыбинске№%:№%:2019-01-14 16:31:05№%:№%:95388014
За прошлый год органы службы занятости региона трудоустроили более 19 тысяч человек№%:№%:2019-01-14 16:15:43№%:№%:95388014
За прошлый год органы службы занятости региона трудоустроили более 19 тысяч человек№%:№%:2019-01-14 16:07:22№%:№%:95388014
В Ярославле прошел инклюзивный благотворительный спектакль «Мы все из одной глины»№%:№%:2019-01-14 13:30:15№%:№%:95388014
За год в Ярославской области ликвидировано 1170 несанкционированных свалок№%:№%:2019-01-14 13:15:36№%:№%:95388014
Правила пожарной безопасности при использовании печей и электронагревательных приборов№%:№%:2019-01-13 22:00:41№%:№%:95388014
Правила пожарной безопасности при использовании печей и электронагревательных приборов№%:№%:2019-01-13 21:45:25№%:№%:95388014
Правила безопасности при катании с горок№%:№%:2019-01-13 16:45:36№%:№%:95388014
Правила безопасности при катании с горок№%:№%:2019-01-13 16:15:28№%:№%:95388014
Профилактика гибели несовершеннолетних детей при пожарах№%:№%:2019-01-12 21:15:08№%:№%:95388014
ГИМС напомнили рыбакам об осторожности№%:№%:2019-01-12 15:01:35№%:№%:95388014
ГИМС напомнили рыбакам об осторожности№%:№%:2019-01-12 14:45:41№%:№%:95388014
При содействии Центра развития поставщиков компании региона выиграли тендеры на сумму 36 миллионов рублей№%:№%:2019-01-11 20:15:16№%:№%:95388014
Департамент региональной политики и взаимодействия с органами местного самоуправления возглавил Артем Иванов№%:№%:2019-01-11 20:02:21№%:№%:95388014
На 99-м году жизни ушел из жизни легенда МЧС России Михайлик Дмитрий Иванович№%:№%:2019-01-11 19:15:17№%:№%:95388014
Обеспечение безопасности во время проведения праздника «Крещение Господне»№%:№%:2019-01-11 19:02:28№%:№%:95388014
Инспекторы ГИМС предупреждают№%:№%:2019-01-11 18:45:12№%:№%:95388014
В этом году квота на привлечение иностранных работников в Ярославской области – 358 человек№%:№%:2019-01-11 17:00:18№%:№%:95388014
В прошлом году на поддержку семей с детьми из бюджета было выделено 1,5 миллиарда рублей№%:№%:2019-01-11 16:45:22№%:№%:95388014
Дмитрий Миронов: «За два года совместно с органами прокуратуры мы восстановили права около 2300 дольщиков»№%:№%:2019-01-11 16:31:36№%:№%:95388014
За 10 дней января на портал «Делаем вместе» поступило 320 сообщений№%:№%:2019-01-11 14:00:42№%:№%:95388014
В период новогодних праздников в регионе не допущено незаконной вырубки елей№%:№%:2019-01-11 13:45:21№%:№%:95388014
Семьи с детьми могут взять ипотеку по сниженной процентной ставке№%:№%:2019-01-11 10:45:48№%:№%:95388014
В ярославской школе №14 установлена цифровая система распознавания лиц№%:№%:2019-01-10 21:30:45№%:№%:95388014
В Главном управлении МЧС России по Ярославской области продолжаются занятия в рамках зимнего периода обучения№%:№%:2019-01-10 19:45:12№%:№%:95388014
На полигоне «Скоково» построен мусородробильный комплекс№%:№%:2019-01-10 19:02:07№%:№%:95388014
В трех районах области откроются заготовительные пункты сельхозпродукции и дикорастущего сырья№%:№%:2019-01-10 18:15:06№%:№%:95388014
Для детской поликлиники больницы имени Семашко закуплено оборудование для рентгена и УЗИ№%:№%:2019-01-10 18:00:43№%:№%:95388014
Строевой смотр№%:№%:2019-01-10 16:46:19№%:№%:95388014
С 1 января граждане могут собирать валежник в лесу и использовать его для личных нужд№%:№%:2019-01-10 15:46:25№%:№%:95388014
Завершается процесс консолидации предприятий водохозяйственного комплекса региона№%:№%:2019-01-10 15:31:48№%:№%:95388014
Будьте внимательны за рулем автомобиля№%:№%:2019-01-10 13:45:38№%:№%:95388014
Олег Липатов назначен советником губернатора Ярославской области№%:№%:2019-01-10 00:15:53№%:№%:95388014
В новогодние праздники Ярославскую область посетили более 130 тысяч туристов№%:№%:2019-01-09 21:15:08№%:№%:95388014
Чтобы печь не стала источником пожара№%:№%:2019-01-09 19:45:35№%:№%:95388014
Собственника здания бывшей детской городской больницы оштрафовали на 110 тысяч рублей№%:№%:2019-01-09 18:17:50№%:№%:95388014
В ярославском региональном МЧС начался зимний период обучения№%:№%:2019-01-09 16:32:11№%:№%:95388014
За январские каникулы в Ярославском перинатальном центре родились 104 ребенка№%:№%:2019-01-09 15:15:17№%:№%:95388014
Профилактические рейды инспекторов ГИМС г. Ярославля№%:№%:2019-01-09 11:16:34№%:№%:95388014
Профилактические мероприятия№%:№%:2019-01-08 20:16:37№%:№%:95388014
С бытовым газом следует быть осторожным№%:№%:2019-01-08 17:16:37№%:№%:95388014
Обеспечение безопасности во время Рождественских праздников№%:№%:2019-01-07 19:46:38№%:№%:95388014
Профилактическая работа в жилом секторе№%:№%:2019-01-07 16:45:23№%:№%:95388014
Детям о пожарной безопасности№%:№%:2019-01-07 16:31:08№%:№%:95388014
С бытовым газом следует быть осторожным№%:№%:2019-01-06 16:47:33№%:№%:95388014
О правилах безопасности на водных объектах№%:№%:2019-01-06 16:32:16№%:№%:95388014
Даже во время морозов лед тати в себе опасность!№%:№%:2019-01-05 19:04:34№%:№%:95388014
Профилактика гибели несовершеннолетних детей при пожарах.№%:№%:2019-01-05 12:03:17№%:№%:95388014
Патрулирования по местам массового выхода людей на лед№%:№%:2019-01-05 00:31:01№%:№%:95388014
Патрулирование водных объектов№%:№%:2019-01-05 00:15:21№%:№%:95388014
Профилактический рейд ГИМС МЧС России№%:№%:2019-01-03 16:45:20№%:№%:95388014
Как избежать опасности!№%:№%:2019-01-03 16:31:33№%:№%:95388014
Профилактическая работа с населением№%:№%:2019-01-03 16:16:23№%:№%:95388014
Главное управление МЧС России по Ярославской области сообщает о необходимости соблюдения правил безопасности при эксплуатации бытовых пиротехнических изделий№%:№%:2019-01-02 12:46:50№%:№%:95388014
Обеспечение безопасности людей на водных объектах№%:№%:2019-01-02 12:32:28№%:№%:95388014
Профилактическая работа в социально-значимых объектах№%:№%:2019-01-02 12:16:39№%:№%:95388014
Звонки на единый «телефон доверия» принимаются круглосуточно.№%:№%:2019-01-01 18:32:01№%:№%:95388014
Детям о пожарной безопасности№%:№%:2019-01-01 18:16:06№%:№%:95388014
Дмитрий Миронов вместе с тысячами ярославцев встретил новогоднюю ночь на Советской площади№%:№%:2019-01-01 13:45:30№%:№%:95388014
Поздравление Начальника Главного управления Олега Бочарова с Новым годом№%:№%:2019-01-01 02:31:58№%:№%:95388014
Операция «Новый год»№%:№%:2018-12-31 17:03:10№%:№%:95388014
Об эксплуатации пиротехнической продукции№%:№%:2018-12-31 16:46:12№%:№%:95388014
С бытовым газом следует быть осторожным№%:№%:2018-12-31 11:04:28№%:№%:95388014
Что делать, если загорелась новогодняя елка?№%:№%:2018-12-30 18:02:55№%:№%:95388014
Праздничные выходные в «повышенной готовности»№%:№%:2018-12-30 11:31:46№%:№%:95388014
МЧС дарит музыку!№%:№%:2018-12-29 17:32:05№%:№%:95388014
Сотрудники МЧС приняли участие в предновогодней акции№%:№%:2018-12-29 17:15:09№%:№%:95388014
Дмитрий Миронов и сенаторы рассмотрели перспективы господдержки программ социально-экономического развития Ярославской области№%:№%:2018-12-29 03:45:20№%:№%:95388014
Дубковская общеобразовательная школа Переславского района получила новый автобус№%:№%:2018-12-29 03:30:15№%:№%:95388014
Дмитрий Миронов и Петр Фрадков обсудили участие Промсвязьбанка в реализации региональных инвестпроектов№%:№%:2018-12-29 03:15:22№%:№%:95388014
В рамках проекта «Ярфермер» в регионе открылся новый магазин№%:№%:2018-12-29 00:15:50№%:№%:95388014
В Ярославской области рост коммунальных тарифов в 2019 году произойдет в два этапа№%:№%:2018-12-29 00:01:27№%:№%:95388014
Пять туристических событий Ярославской области вошли в национальный топ-200№%:№%:2018-12-28 23:45:54№%:№%:95388014
В этом году в регионе полностью внедрены 4 целевые модели по улучшению инвестклимата№%:№%:2018-12-28 20:16:10№%:№%:95388014
В Ярославле впервые проходит Кубок Золотого кольца по боксу№%:№%:2018-12-28 20:01:31№%:№%:95388014
Каникулы – радость для детей, тревога для родителей№%:№%:2018-12-28 18:45:38№%:№%:95388014
Начальник Главного управления по Ярославской области в  студии ГТРК «Ярославия»№%:№%:2018-12-28 18:30:29№%:№%:95388014
Юные ярославские хористы выступили на новогоднем концерте в Кремле№%:№%:2018-12-28 17:32:40№%:№%:95388014
Более полутора тысяч ребят приняли участие в губернаторской елке в Ярославском цирке№%:№%:2018-12-28 17:16:48№%:№%:95388014
В эфире Радио России№%:№%:2018-12-28 15:15:04№%:№%:95388014
За год количество преступлений, совершенных подростками, в регионе сократилось практически на четверть№%:№%:2018-12-28 14:00:34№%:№%:95388014
Подведение итогов в ФГКУ «4 ОФПС по Ярославской области»№%:№%:2018-12-28 12:30:48№%:№%:95388014
Житель  области признан виновным в убийстве своего 15-летнего брата№%:№%:2018-12-28 11:30:31№%:№%:95388014
Воскресенской общеобразовательной школе Любимского района передан новый автобус№%:№%:2018-12-27 23:00:36№%:№%:95388014
День спасателя Российской Федерации№%:№%:2018-12-27 21:16:40№%:№%:95388014
По факту гибели двух человек при пожаре  в Гаврилов-Ямском районе  проводится доследственная проверка№%:№%:2018-12-27 20:15:24№%:№%:95388014
Утвержден новый состав руководства общественного совета при департаменте дорожного хозяйства Ярославской области№%:№%:2018-12-27 19:46:24№%:№%:95388014
На поддержку малого и среднего предпринимательства в этом году направлено около 2,2 миллиарда рублей№%:№%:2018-12-27 19:31:21№%:№%:95388014
Начал работу новый состав общественного совета при региональном департаменте имущественных и земельных отношений№%:№%:2018-12-27 17:15:09№%:№%:95388014
Завершается сезон охоты на лосей№%:№%:2018-12-27 17:03:33№%:№%:95388014
Дмитрий Миронов принял участие в заседании Госсовета РФ№%:№%:2018-12-27 16:45:59№%:№%:95388014
27 декабря в России отмечается профессиональный праздник День спасателя№%:№%:2018-12-27 15:20:09№%:№%:95388014
Поздравление Начальника Главного управления Олега Бочарова с Днем спасателя№%:№%:2018-12-27 12:16:04№%:№%:95388014
На предновогодней встрече губернатора с общественностью состоялось вручение областных наград№%:№%:2018-12-27 04:45:29№%:№%:95388014
В регионе назвали лучших экспортеров среди предприятий малого и среднего бизнеса№%:№%:2018-12-27 02:15:52№%:№%:95388014
Угличский район стал лидером «Рейтинга-76» второй раз подряд№%:№%:2018-12-27 02:00:52№%:№%:95388014
В базовую программу ОМС на 2019 год вошли новые виды высокотехнологичной медпомощи№%:№%:2018-12-27 01:45:42№%:№%:95388014
По инициативе Дмитрия Миронова создан попечительский совет областной детской клинической больницы№%:№%:2018-12-26 22:31:11№%:№%:95388014
Следственные органы СКР по Республике Мордовия просят оказать содействие в розыске пропавшего без вести Шаева Валерия Павловича№%:№%:2018-12-26 19:45:47№%:№%:95388014
В Дзержинском районе Ярославля завершено строительство еще одного проблемного дома№%:№%:2018-12-26 19:32:27№%:№%:95388014
Строения, незаконно возведенные в границах памятника «Урочище Алтыново», будут снесены№%:№%:2018-12-26 19:15:42№%:№%:95388014
В ФГКУ «СПСЧ ФПС по Ярославской области» подвели итоги уходящего года№%:№%:2018-12-26 18:15:43№%:№%:95388014
Профилактическая работа с населением№%:№%:2018-12-26 18:01:42№%:№%:95388014
Дня Спасателя МЧС России№%:№%:2018-12-26 17:46:06№%:№%:95388014
Следственное управление СКР по Новгородской области обращается с просьбой в оказании содействия в розыске пропавшего без вести Виктора Газизова (ФОТО)№%:№%:2018-12-26 16:48:46№%:№%:95388014
Открылся новосельский Дом культуры, отремонтированный по программе «Решаем вместе!»№%:№%:2018-12-26 16:30:56№%:№%:95388014
1 января будет увеличен размер пособий по безработице№%:№%:2018-12-26 16:15:27№%:№%:95388014
За два года в АПК региона благодаря реализации инвестпроектов создано более двух тысяч рабочих мест№%:№%:2018-12-26 16:03:20№%:№%:95388014
С начала года в регионе демонтировано 480 незаконно установленных рекламных конструкций№%:№%:2018-12-26 13:45:58№%:№%:95388014
Ярославские учреждения культуры подготовили на новогодние праздники более 300 мероприятий№%:№%:2018-12-26 13:31:38№%:№%:95388014
Около полутора тысяч детей стали участниками губернаторской елки№%:№%:2018-12-26 10:15:35№%:№%:95388014
В этом году за счет федерального бюджета для региона закуплено 11 школьных автобусов№%:№%:2018-12-25 22:31:26№%:№%:95388014
ОАО «Славнефть-ЯНОС» планирует направить 150 миллионов рублей на реализацию социальных проектов№%:№%:2018-12-25 22:15:53№%:№%:95388014
Более 30 ярославских ребят отправились на кремлевскую елку№%:№%:2018-12-25 22:00:57№%:№%:95388014
Торжественная передача мобильного пожарного поста пожарным-добровольцам Ярославской области№%:№%:2018-12-25 20:31:22№%:№%:95388014
В конкурсе «Здесь нам жить!» приняли участие более 600 школьников№%:№%:2018-12-25 19:16:02№%:№%:95388014
Проблемы обманутых дольщиков «СУ-155» в Ярославской области полностью решены№%:№%:2018-12-25 19:00:29№%:№%:95388014
В Ярославской области проходит предновогодняя акция «Елочка, живи!»№%:№%:2018-12-25 18:45:25№%:№%:95388014
В этом году на территории Ярославской области подготовлено 9 площадок для запуска фейерверков№%:№%:2018-12-25 17:31:27№%:№%:95388014
Что необходимо знать о пиротехнической продукции?№%:№%:2018-12-25 17:16:20№%:№%:95388014
Торжественная Церемония приведения к клятве кадетов№%:№%:2018-12-25 13:31:22№%:№%:95388014
Кадетские классы г. Рыбинска№%:№%:2018-12-25 13:15:26№%:№%:95388014
Патрулирования ГИМС г. Пошехонье№%:№%:2018-12-25 13:01:54№%:№%:95388014
Житель Рыбинска признан виновным в совершении особо тяжкого преступления в отношении своей матери№%:№%:2018-12-25 12:46:14№%:№%:95388014
На основании данных инвентаризации парниковых газов будет скорректирована работа предприятий№%:№%:2018-12-24 22:00:11№%:№%:95388014
Завершен второй этап реставрации храма Петра и Павла в Ярославле№%:№%:2018-12-24 21:46:01№%:№%:95388014
В 2019 году на благоустройство парков и дворов по программе «Решаем вместе!» предусмотрено 539 миллионов рублей№%:№%:2018-12-24 19:15:39№%:№%:95388014
Составлен топ-5 популярных запросов через портал госуслуг в 2018 году№%:№%:2018-12-24 19:00:58№%:№%:95388014
У городов региона появятся цифровые двойники№%:№%:2018-12-24 16:00:43№%:№%:95388014
Валерий Астраханцев официально вступил в должность главы Переславля-Залесского№%:№%:2018-12-24 15:45:57№%:№%:95388014
В Ярославле введен в эксплуатацию проблемный дом в 6-м Парковом проезде№%:№%:2018-12-24 13:15:28№%:№%:95388014
За год высокотехнологичную медицинскую помощь получили около 9 тысяч жителей региона№%:№%:2018-12-24 13:01:45№%:№%:95388014
Ярославская область стала лидером среди регионов по доступности услуг в сфере строительства№%:№%:2018-12-24 12:45:45№%:№%:95388014
Профилактический рейд ярославского ГИМС МЧС России№%:№%:2018-12-24 02:45:09№%:№%:95388014
Совместный рейд ГИМС МЧС России№%:№%:2018-12-24 02:30:42№%:№%:95388014
Патрулирования по местам массового выхода людей на лед№%:№%:2018-12-24 02:15:25№%:№%:95388014
В Ярославль прибыла семья беженцев, которой при содействии СК России, профильных ведомств и представителей бизнеса была оказана помощь в получении гражданства и жилья№%:№%:2018-12-23 15:01:31№%:№%:95388014
Занятие со школьниками№%:№%:2018-12-23 12:45:08№%:№%:95388014
В 2018 году до 84%  увеличилась доля электрической энергии, вырабатываемой на территории Ярославской области№%:№%:2018-12-22 02:15:41№%:№%:95388014
Волонтеры Ярославского колледжа культуры покажут спектакли в рамках  благотворительной акции «Новогодний калейдоскоп»№%:№%:2018-12-21 23:30:43№%:№%:95388014
В Ярославле открылся фестиваль «РобоФест»№%:№%:2018-12-21 23:15:13№%:№%:95388014
Ярославская область представляет изделия народных художественных промыслов на крупнейшей выставке России и Европы№%:№%:2018-12-21 20:30:06№%:№%:95388014
На одну из колоколен Кирилло-Афанасиевского монастыря установили купол№%:№%:2018-12-21 20:15:58№%:№%:95388014
Завершен второй этап реконструкции регионального центра по лыжным гонкам и биатлону№%:№%:2018-12-21 20:02:13№%:№%:95388014
Месячник детской безопасности: школьники в гостях у огнеборцев№%:№%:2018-12-21 19:00:29№%:№%:95388014
Патрулирования ГИМС г. Ярославля№%:№%:2018-12-21 18:45:20№%:№%:95388014
Правительство области и Агентство стратегических инициатив заключили соглашения о сотрудничестве№%:№%:2018-12-21 17:33:56№%:№%:95388014
В 2019 году в Ярославской области откроется 7 новых детских садов№%:№%:2018-12-21 17:15:07№%:№%:95388014
Спортсмены из 13 стран примут участие в XII Международном Деминском лыжном марафоне№%:№%:2018-12-21 14:45:22№%:№%:95388014
В 2019 году в Ярославской области будет создано шесть мусоросортировочных комплексов№%:№%:2018-12-21 14:31:23№%:№%:95388014
ПАО «ОДК-Сатурн» получило премию Правительства РФ в области качества№%:№%:2018-12-21 11:31:12№%:№%:95388014
Специалисты Национального медицинского исследовательского центра здоровья детей провели операции ярославским детям№%:№%:2018-12-20 23:45:28№%:№%:95388014
Дмитрий Степаненко поздравил ярославских спортсменов с победой в первенстве и чемпионате мира по кудо№%:№%:2018-12-20 23:30:37№%:№%:95388014
Участие муниципальных образований в процедуре оценки регулирующего воздействия возросло в 5 раз№%:№%:2018-12-20 23:15:06№%:№%:95388014
В добровольческом (волонтерском) центре «Научись спасать жизнь» проведено занятие на тему «Безопасность людей на водных объектах и метах массового отдыха у воды»№%:№%:2018-12-20 21:46:12№%:№%:95388014
В Ярославской области запущен первый рельсовый автобус№%:№%:2018-12-20 20:46:05№%:№%:95388014
Представителей избиркомов из разных регионов страны объединил ярославский форум№%:№%:2018-12-20 20:32:16№%:№%:95388014
Более 5 миллиардов будет направлено на строительство жилья, создание комфортной городской среды и расселение аварийного фонда№%:№%:2018-12-20 20:15:31№%:№%:95388014
Профилактическая работа в преддверии проведения новогодних мероприятий№%:№%:2018-12-20 19:15:08№%:№%:95388014
Месячник безопасности людей на водных объектах: патрулирование ГИМС г. Пошехонье№%:№%:2018-12-20 19:00:41№%:№%:95388014
Школьникам рассказали про службу в МЧС России№%:№%:2018-12-20 18:45:08№%:№%:95388014
Перед судом предстанет житель города Ярославля, обвиняемый в убийстве№%:№%:2018-12-20 18:15:44№%:№%:95388014
Около полутора тысяч действующих и потенциальных предпринимателей региона прошли бесплатное обучение в 2018 году№%:№%:2018-12-20 18:00:26№%:№%:95388014
Дмитрий Миронов поздравил с официальным вступлением в должность мэра Ярославля Владимира Волкова№%:№%:2018-12-20 17:45:24№%:№%:95388014
В регионе в рамках нацпроекта «Цифровая экономика» планируется обеспечить широкополосным Интернетом 100 процентов соцучреждений№%:№%:2018-12-20 17:34:24№%:№%:95388014
Детям о пожарной безопасности№%:№%:2018-12-20 15:31:59№%:№%:95388014
В Ярославской области к Новому году разработано более 50 новых программ№%:№%:2018-12-20 14:45:24№%:№%:95388014
Фабрика «Ростовская финифть» отмечает свое 100-летие№%:№%:2018-12-20 14:30:18№%:№%:95388014
Региональным  проектом «Спорт – норма жизни» запланировано строительство спортплощадок в 16 районах области№%:№%:2018-12-20 14:15:34№%:№%:95388014
Житель Ярославля признан виновным в уклонении от призыва на военную службу№%:№%:2018-12-20 11:45:43№%:№%:95388014
За незаконную рубку елей нарушители будут привлечены к административной и уголовной ответственности№%:№%:2018-12-20 11:30:18№%:№%:95388014
На национальные проекты «Демография» и «Здравоохранение» в Ярославской области будет направлено более 3 миллиардов рублей№%:№%:2018-12-20 00:01:46№%:№%:95388014
В Ярославской области в реализации нацпроектов будут участвовать представители гражданского общества№%:№%:2018-12-19 20:45:52№%:№%:95388014
Ярославские таможенники подвели итоги деятельности в 2018 году№%:№%:2018-12-19 20:32:02№%:№%:95388014
В Гаврилов-Яме создается производство одноразовых медицинских изделий из нетканых материалов№%:№%:2018-12-19 20:16:27№%:№%:95388014
Лучшие подразделения ярославского МЧС№%:№%:2018-12-19 19:00:09№%:№%:95388014
Сотрудники МЧС подвели итоги работы за 2018 год№%:№%:2018-12-19 18:46:23№%:№%:95388014
В 2019 году областные власти планируют решить вопрос обманутых дольщиков более чем в 10 домах№%:№%:2018-12-19 17:45:55№%:№%:95388014
Количество чрезвычайных ситуаций в регионе уменьшилось в 4 раза№%:№%:2018-12-19 17:31:07№%:№%:95388014
Эффективность муниципального земельного контроля в регионе выросла более чем в 5 раз№%:№%:2018-12-19 17:15:44№%:№%:95388014
