Эпидемия ОРВИ официально объявлена в Алтайском крае.№%:№%:2019-02-01 15:15:52№%:№%:67100441
Ты! Да-да, ты❗№%:№%:2019-01-30 16:06:44№%:№%:67100441
10 главных угроз жизни и здоровью человека опубликовала Всемирная организация здравоохранения в этом году 📊 №%:№%:2019-01-30 15:51:49№%:№%:67100441
1 февраля 2019 года может стать знаковой датой для всего интернета, начнут работать новые стандарты протокола DNS.№%:№%:2019-01-30 15:10:24№%:№%:67100441
🇬🇧 Команда британских путешественников Just Escape уже три месяца любуется красотами Сибири.№%:№%:2019-01-30 14:50:53№%:№%:67100441
Рассказываем про самый высокогорный лыжный комплекс в Алтайском крае.№%:№%:2019-01-30 13:10:11№%:№%:67100441
Взрыв произошёл в жилом доме в Алтайском крае. По предварительным данным, причиной взрыва стала утечка бытового газа.№%:№%:2019-01-30 12:46:55№%:№%:67100441
Браконьера задержали в Алтайском крае.№%:№%:2019-01-30 12:45:03№%:№%:67100441
Самолет «Москва – Барнаул» экстренно вернулся в аэропорт из-за разгерметизации.№%:№%:2019-01-30 12:30:43№%:№%:67100441
Дорожные службы устраняют последствия прорыва на улице Малахова в Барнауле.№%:№%:2019-01-30 12:20:02№%:№%:67100441
Стало известно, когда откроется новый деревообрабатывающий комбинат в Алтайском крае.№%:№%:2019-01-30 12:10:47№%:№%:67100441
Коммунальную аварию в посёлке Южный устранили.№%:№%:2019-01-30 11:32:24№%:№%:67100441
Рассказываем, чем сбор валежника отличается от рубки сухостоя в России.№%:№%:2019-01-30 11:03:23№%:№%:67100441
Пешехода сбили на Павловском тракте в Барнауле.№%:№%:2019-01-30 10:30:41№%:№%:67100441
Маршруты транспорта изменены в Барнауле из-за коммунальных аварий.№%:№%:2019-01-30 10:19:40№%:№%:67100441
Землетрясение произошло на границе Алтайского края.№%:№%:2019-01-30 09:50:03№%:№%:67100441
Сварочные работы завершили на месте коммунальной аварии в Барнауле.№%:№%:2019-01-30 09:24:12№%:№%:67100441
Возбуждено уголовное дело из-за угроз взрывов в Барнауле.№%:№%:2019-01-30 09:04:47№%:№%:67100441
Компенсацию на капремонт смогут получить новые категории граждан в Алтайском крае.№%:№%:2019-01-30 08:40:03№%:№%:67100441
Так министр спорта Алтайского края Алексей Перфильев отозвался о работе команды «Катунь 24» 😌№%:№%:2019-01-30 08:32:30№%:№%:67100441
Движение в Барнауле полностью перекрыто в местах коммунальных аварий.№%:№%:2019-01-30 08:07:47№%:№%:67100441
ДТП стало меньше на трассах Алтайского края.№%:№%:2019-01-30 08:01:00№%:№%:67100441
Россияне смогут брать ипотечные каникулы.№%:№%:2019-01-30 07:32:26№%:№%:67100441
Несколько светофоров отключат в Барнауле.№%:№%:2019-01-30 06:40:09№%:№%:67100441
Коммунальные аварии в Индустриальном районе и в посёлке Южный устраняют в Барнауле.№%:№%:2019-01-30 05:10:02№%:№%:67100441
Изморозь и гололедица: о погоде в Алтайском крае 30 января.№%:№%:2019-01-30 04:55:02№%:№%:67100441
Овну сегодня по-настоящему повезет, а Скорпиону не стоит браться за большие дела.№%:№%:2019-01-30 04:35:54№%:№%:67100441
☺️Доброе утро!№%:№%:2019-01-30 03:00:16№%:№%:67100441
❗История разведки и контрразведки – огромный черный ящик с тысячами тайн, секретных сюжетов, имен и фактов.№%:№%:2019-01-29 17:01:55№%:№%:67100441
☺️Сибиряк Роман Страхов может за 24 секунды с закрытыми глазами собрать кубик Рубика.№%:№%:2019-01-29 15:45:21№%:№%:67100441
ХОЧЕШЬ?! ХОЧЕШЬ?! ХОЧЕШЬ?! 😍😍😍 №%:№%:2019-01-29 15:00:15№%:№%:67100441
Фото: ДТП с участием двух иномарок произошло в центре Барнаула.№%:№%:2019-01-29 14:43:17№%:№%:67100441
🐶 Хаски – звезды фотосессий и лучшие друзья. Катя Варкентин отправилась в питомник, где живут больше 20 «снежных псов», чтобы проверить, верно ли это утверждение.№%:№%:2019-01-29 14:04:57№%:№%:67100441
Волонтеры разыскивают без вести пропавшую девочку из Алтайского края.№%:№%:2019-01-29 13:50:08№%:№%:67100441
Шестеро пассажиров троллейбуса пострадали в ДТП в Барнауле.№%:№%:2019-01-29 13:20:15№%:№%:67100441
Более 20 тысяч звонков в 2018 году поступило в службу детского телефона доверия Алтайского края.№%:№%:2019-01-29 13:12:21№%:№%:67100441
Резкое похолодание ожидается в Алтайском крае.№%:№%:2019-01-29 12:06:00№%:№%:67100441
Массовый снос деревьев в парке «Изумрудный» оказался незаконным 🌳№%:№%:2019-01-29 11:45:00№%:№%:67100441
Автобус столкнулся с тепловозом в Барнауле.№%:№%:2019-01-29 11:35:04№%:№%:67100441
Фото: новый обитатель появился в барнаульском зоопарке.№%:№%:2019-01-29 11:01:28№%:№%:67100441
№%:№%:2019-01-29 10:28:03№%:№%:67100441
Житель Алтайского края умер из-за неправильно поставленного диагноза.№%:№%:2019-01-29 10:20:17№%:№%:67100441
Карантин по гриппу ввели в Алтайском крае.№%:№%:2019-01-29 09:40:05№%:№%:67100441
Волонтеры ищут пропавшую 16-летнюю девушку в Алтайском крае.№%:№%:2019-01-29 09:06:09№%:№%:67100441
Проект «Семейный психолог», направленный на поддержку семьи в кризисных ситуациях, запустили в Алтайском крае.№%:№%:2019-01-29 08:20:02№%:№%:67100441
Новые термостойкие полимерные материалы, устойчивые к ультрафиолету, изобрели бийские ученые.№%:№%:2019-01-29 07:45:07№%:№%:67100441
Комитет по образованию Барнаула прокомментировал сообщения о минировании школ.№%:№%:2019-01-29 06:57:38№%:№%:67100441
Алтайский писатель номинирован на литературную премию «Нацбест-2019».№%:№%:2019-01-29 06:05:02№%:№%:67100441
СМИ: натуральное молоко может подорожать в России.№%:№%:2019-01-29 05:45:07№%:№%:67100441
Изморозь и гололедица.№%:№%:2019-01-29 05:25:02№%:№%:67100441
Лучшей музыкой для ушей Тельца станет иностранная речь, а в Весах проснется талант организатора.№%:№%:2019-01-29 05:15:02№%:№%:67100441
❄Доброе утро, Алтайский край!❄№%:№%:2019-01-29 03:00:05№%:№%:67100441
✏Какие вопросы должен задавать работодатель на собеседовании? Как найти в свою компанию идеального сотрудника? Ответы на эти и другие вопросы – в новом выпуске программы «Тукано пипл». №%:№%:2019-01-28 17:00:15№%:№%:67100441
Землетрясение произошло на границе Алтайского края.№%:№%:2019-01-28 16:15:08№%:№%:67100441
Внимание, мы ищем таланты❗ №%:№%:2019-01-28 15:02:03№%:№%:67100441
Кто такие студенты и чего им пожелали наши маленькие друзья в Татьянин день? Смотри прямо сейчас в новом выпуске «Правила жизни. Дети» 😃№%:№%:2019-01-28 14:50:00№%:№%:67100441
📜Признавайтесь, кто из вас хотел бы подтянуть свои знания в истории? Да еще в той, которая до недавнего времени была почти никому неизвестна!№%:№%:2019-01-28 14:15:20№%:№%:67100441
Все учреждения, получившие сообщения о минировании, проверили в Барнауле.№%:№%:2019-01-28 14:02:09№%:№%:67100441
Яровое вошло в топ-5 популярных городов для отдыха на озерах России.№%:№%:2019-01-28 13:50:04№%:№%:67100441
Мероприятия, посвящённые 30-летию вывода советских войск из Афганистана, пройдут в Алтайском крае.№%:№%:2019-01-28 12:34:02№%:№%:67100441
Новый и невероятно познавательный проект «Огород в подарок» стартует на телеканале «Катунь 24» 🎁№%:№%:2019-01-28 11:53:01№%:№%:67100441
Движение автомобилей ограничат на трассах Алтайского края из-за военных колонн.№%:№%:2019-01-28 11:25:03№%:№%:67100441
Алтайский край занимает лидирующие позиции в Сибири по уровню трудоустройства инвалидов.№%:№%:2019-01-28 10:55:04№%:№%:67100441
Фото: ДТП с участием автомобиля медпомощи произошло в Барнауле.№%:№%:2019-01-28 10:15:10№%:№%:67100441
Предприниматель незаконно спилил в парке «Изумрудный» 560 деревьев 🌳№%:№%:2019-01-28 10:05:49№%:№%:67100441
Завершается строительство жилого дома для работников культуры в Барнауле.№%:№%:2019-01-28 09:35:13№%:№%:67100441
Энергетики устраняют причины снижения качества электроэнергии в Алтайском крае.№%:№%:2019-01-28 09:03:45№%:№%:67100441
Сгорело все дотла: погорельцам из Барнаула требуется ваша помощь. Семья Хилько – новые герои программы «Могу помочь» ☎ №%:№%:2019-01-28 08:10:01№%:№%:67100441
Опубликован прогноз ЧС в Алтайском крае на 28 января.№%:№%:2019-01-28 07:50:03№%:№%:67100441
Детей эвакуировали из барнаульских школ из-за сообщений о минировании.№%:№%:2019-01-28 07:23:20№%:№%:67100441
Дорогой друг!№%:№%:2019-01-28 07:15:05№%:№%:67100441
Алтайским рыбакам расскажут об изменениях в законодательстве о рыболовстве.№%:№%:2019-01-28 07:05:02№%:№%:67100441
Ограничения сумм и процентов по займам ввели в Алтайском крае.№%:№%:2019-01-28 06:30:11№%:№%:67100441
Двухуровневую квартиру с видом на реку Обь продают за 16,5 млн в Барнауле.№%:№%:2019-01-28 06:03:05№%:№%:67100441
Похолодание и изморозь: о погоде в Алтайском крае 28 января.№%:№%:2019-01-28 05:09:07№%:№%:67100441
Позитив Овна способен творить чудеса, а для Льва даже попытка сварить кофе превратится в проблему.№%:№%:2019-01-28 05:05:44№%:№%:67100441
С 1 января 2019 года люди предпенсионного возраста не будут платить налог на дом, квартиру, гараж.№%:№%:2019-01-27 16:50:02№%:№%:67100441
Единовременную денежную выплату получат жители блокадного Ленинграда. Для получения необходимо обратиться в управление социальной защиты населения по месту жительства.№%:№%:2019-01-27 16:20:04№%:№%:67100441
26 января произошел взрыв газа и пожар в кафе в поселке Лысые горы в Саратове. В результате чего пострадали 22 человека, один из них скончался.№%:№%:2019-01-27 15:55:03№%:№%:67100441
Куриное мясо резко подорожало в России.№%:№%:2019-01-27 15:35:03№%:№%:67100441
Женская сборная Алтайского края по боксу завоевала 8 первых мест на  чемпионате и первенстве Сибирского федерального округа.№%:№%:2019-01-27 15:05:04№%:№%:67100441
Нестандартную купюру 200 рублей продают за 1,5 млн в Барнауле№%:№%:2019-01-27 14:35:04№%:№%:67100441
На Старом мосту на выезде из Барнаула очередная фура снова сбила ограничитель высоты.№%:№%:2019-01-27 14:02:31№%:№%:67100441
🖥 Историческую драму «Царь» про Ивана Грозного смотрите сегодня в 23:00 на телеканале «Катунь 24» !№%:№%:2019-01-27 13:34:30№%:№%:67100441
Сбербанк отменит комиссии за переводы в России.№%:№%:2019-01-27 12:46:58№%:№%:67100441
Житель Барнаула на одном из сайтов в Интернете оставил заявку на покупку двигателя для своего автомобиля.№%:№%:2019-01-27 11:38:09№%:№%:67100441
75 лет со дня снятия блокады Ленинграда отмечают в селе Боровлянка Троицкого района🎖№%:№%:2019-01-27 10:11:27№%:№%:67100441
С 2019 года в России начала действовать обновленная пенсионная реформа. Рассказываем, какие изменения пенсионной реформы и льготы начали действовать в 2019 году: https://katun24.ru/news/514785/№%:№%:2019-01-27 08:10:02№%:№%:67100441
Цены на бензин в стране постепенно растут, увеличение стоимости объясняется увеличением ставки НДС до 20%.№%:№%:2019-01-27 07:45:36№%:№%:67100441
Прогноз ЧС: усиление ветра с метелью ожидается в Алтайском крае№%:№%:2019-01-27 06:44:43№%:№%:67100441
🎬 «Дым Отечества» смотрите в эфире телеканала «Катунь 24» в воскресенье в 13:10.№%:№%:2019-01-27 06:00:49№%:№%:67100441
На территории Алтайского края с 28 января вводится карантин по гриппу и ОРВИ. Лабораторные исследования подтверждают активную циркуляцию вирусов гриппа А/H1N1 (свиной грипп) и A/H3N2 (гонконгский грипп).№%:№%:2019-01-27 05:48:59№%:№%:67100441
Снег и метель: о погоде в Алтайском крае 27 января№%:№%:2019-01-27 04:49:36№%:№%:67100441
Близнецы будут аккуратны как никогда, а Козерогу противопоказано браться за любые важные проекты.№%:№%:2019-01-27 04:47:52№%:№%:67100441
😀Доброе утро, Алтайский край!№%:№%:2019-01-27 03:30:02№%:№%:67100441
Рекордное количество лебедей-кликунов остались на зимовку в Алтайском крае.№%:№%:2019-01-26 17:00:42№%:№%:67100441
План по предотвращению появления африканской чумы свиней в связи с ситуацией в Монголии разработали в Алтайском крае.№%:№%:2019-01-26 16:20:05№%:№%:67100441
Массовая проверка ГИБДД пройдёт в Барнауле.№%:№%:2019-01-26 15:45:03№%:№%:67100441
💉На 35% выросло в январе количество смертей от сердечно-сосудистых заболеваний по всей России. Алтайский край не исключение. По данным кардиологов, каждую зиму от инфарктов, инсультов и других болезней сердца и сосудов умирают больше 40 тысяч россиян. №%:№%:2019-01-26 15:37:00№%:№%:67100441
Горнолыжный комплекс «Мишина гора» открылся в Алтайском крае.№%:№%:2019-01-26 14:33:26№%:№%:67100441
Фото: житель Барнаула купил шпроты с неприятным сюрпризом.№%:№%:2019-01-26 13:30:33№%:№%:67100441
Арендатора парка «Изумрудный» осудят за спил 560 деревьев в Барнауле.№%:№%:2019-01-26 12:30:17№%:№%:67100441
🎭 Знаменитости в музее «Город» и «Самоубийца» в [club3171972|Алтайский краевой театр драмы имени В.М. Шукшина]. №%:№%:2019-01-26 11:36:43№%:№%:67100441
Акция по раздельному сбору вторсырья пройдёт в Барнауле.№%:№%:2019-01-26 10:35:06№%:№%:67100441
Волна холода накроет Алтайский край.№%:№%:2019-01-26 09:20:07№%:№%:67100441
Рассказываем, где жители Барнаула могут бесплатно научиться играть в хоккей.№%:№%:2019-01-26 08:39:16№%:№%:67100441
Прогноз ЧС в Алтайском крае с 25 по 31 января.№%:№%:2019-01-26 07:38:43№%:№%:67100441
Памятные мероприятия в день 75-летия освобождения блокадного Ленинграда пройдут в Барнауле.№%:№%:2019-01-26 06:35:02№%:№%:67100441
Следком: дети вынуждены добираться до школы по опасной дороге в Алтайском крае.№%:№%:2019-01-26 05:29:15№%:№%:67100441
Снег и изморозь: о погоде в Алтайском крае 26 января.№%:№%:2019-01-26 04:50:02№%:№%:67100441
Социальная энергия Водолея достигнет пика, а Рыбы будут безжалостны и способны завоевать мир. Гороскоп на 26 января.№%:№%:2019-01-26 04:30:03№%:№%:67100441
☺️Доброе утро, Алтайский край!№%:№%:2019-01-26 03:30:02№%:№%:67100441
Губернатор Алтайского края Виктор Томенко в ходе рабочего визита в Троицкий район встретился с семьёй девушки, обратившейся к нему в инстаграме.№%:№%:2019-01-25 19:41:56№%:№%:67100441
Осуждён пытавшийся ограбить пенсионеров житель Алтайского края.№%:№%:2019-01-25 17:20:12№%:№%:67100441
Новая спецтехника появится в автопарке барнаульской дорожной службы.№%:№%:2019-01-25 16:10:03№%:№%:67100441
Виктор Томенко посетил производственные площадки компаний «Макфа» и «Киприно» во время рабочей поездки в Троицкий район.№%:№%:2019-01-25 15:30:19№%:№%:67100441
😉 Euromaxx. Окно в Европу.№%:№%:2019-01-25 14:56:12№%:№%:67100441
Массовые эвакуации из-за ложных сообщений о минировании соцобъектов прошли по всей России.№%:№%:2019-01-25 14:09:07№%:№%:67100441
Иногда нашим маленьким друзьям хочется рассказать чуть больше, чем ответить на один вопрос 😊 №%:№%:2019-01-25 13:15:51№%:№%:67100441
Рассказываем, кто отвечает за безопасность ледяных горок.№%:№%:2019-01-25 12:55:03№%:№%:67100441
Очевидцы: ДТП на алтайской трассе в сторону Кемерова перекрыло движение в обе стороны.№%:№%:2019-01-25 12:25:03№%:№%:67100441
Депутат предложил приравнять аборты к убийству в России.№%:№%:2019-01-25 12:15:16№%:№%:67100441
Дорожная служба усилит работы по вывозу снега с тротуаров Барнаула.№%:№%:2019-01-25 11:20:03№%:№%:67100441
Тестируем новый аппарат Sharp Light в Центре европейской косметологии! Он может все: от удаления татуировок и сосудистых звездочек до коррекции фигуры и избавления от целлюлита 💃 №%:№%:2019-01-25 11:10:46№%:№%:67100441
Бытовой газ ароматизируют в России.№%:№%:2019-01-25 10:30:44№%:№%:67100441
Пенсии и пособия защитят от судебных приставов в России.№%:№%:2019-01-25 09:40:04№%:№%:67100441
Новый и невероятно познавательный проект «Огород в подарок» стартует в эфире телеканала «Катунь 24» 🎁№%:№%:2019-01-25 08:48:40№%:№%:67100441
Рассказываем, где барнаульцы могут проголосовать за общественные территории, которые благоустроят в 2019 году.№%:№%:2019-01-25 08:40:08№%:№%:67100441
Жилье на Алтае станет самым дешевым в Сибири.№%:№%:2019-01-25 08:02:23№%:№%:67100441
Прогноз ЧС в Алтайском крае на 25 января.№%:№%:2019-01-25 07:10:03№%:№%:67100441
Приют «Ласка» планирует купить для животных «ласкомобиль».№%:№%:2019-01-25 06:35:07№%:№%:67100441
25 января — день рождения Владимира Высоцкого 🎸№%:№%:2019-01-25 06:29:59№%:№%:67100441
Очевидцы: дети три дня просидели одни в запертом доме в Алтайском крае.№%:№%:2019-01-25 05:49:49№%:№%:67100441
Снег и ветер: о погоде в Алтайском крае 25 января.№%:№%:2019-01-25 05:17:17№%:№%:67100441
Деву будут занимать вопросы домашнего быта и семейного бюджета, а Весы будут полны энергии и сил. №%:№%:2019-01-25 05:12:45№%:№%:67100441
❄ 🌊Бодрое утро, Алтайский край!№%:№%:2019-01-25 03:00:32№%:№%:67100441
У нас в гостях сегодня побывал Роман Страхов, он быстрее всех в мире собирает с закрытыми глазами кубик Рубика 😍№%:№%:2019-01-24 16:00:37№%:№%:67100441
Так называемые псевдобары – организации, продающие алкоголь под видом мест общественного питания, – проблема, которая будоражит общественность уже несколько лет.№%:№%:2019-01-24 15:15:01№%:№%:67100441
🎭 В новом спектакле по повести Василия Шукшина «Энергичные люди» сыграет народный артист России Сергей Безруков. Актёр уже приступил к репетициям.№%:№%:2019-01-24 14:06:53№%:№%:67100441
🏙 Гостиница «Алтай» в Барнауле, памятник архитектуры, начала работу после масштабной реконструкции.№%:№%:2019-01-24 13:35:29№%:№%:67100441
Сотрудники ГИБДД разыскали водителя, сбившего ребёнка на дороге в Барнауле.№%:№%:2019-01-24 12:30:51№%:№%:67100441
Без вести пропавшего жителя Алтайского края нашли живым.№%:№%:2019-01-24 11:42:08№%:№%:67100441
#ВадикСпроси Матвей Дорофеев – барнаульский путешественник№%:№%:2019-01-24 11:33:04№%:№%:67100441
#Вадикспроси №%:№%:2019-01-24 10:38:55№%:№%:67100441
Барнаульским студентам предлагают зарядить зачетку на успешную сессию.№%:№%:2019-01-24 10:37:36№%:№%:67100441
🚮 С 1 января в Алтайском крае стартовала «мусорная реформа». Теперь за вывоз мусора придётся платить жителям всех домов. Вывозить мусор с территорий будут 7 региональных операторов. №%:№%:2019-01-24 10:32:31№%:№%:67100441
Видео: гостиница «Алтай» открылась после реконструкции в Барнауле.№%:№%:2019-01-24 10:15:12№%:№%:67100441
Школы и детские сады закрыли в Алтайском крае в связи с ОРВИ.№%:№%:2019-01-24 09:40:05№%:№%:67100441
Прогноз ЧС в Алтайском крае на 24 января.№%:№%:2019-01-24 08:58:11№%:№%:67100441
Видео: голубь переходит дорогу по зебре в Барнауле.№%:№%:2019-01-24 08:25:02№%:№%:67100441
Запрет на рубки вводят в ленточных борах Алтайского края.№%:№%:2019-01-24 08:02:48№%:№%:67100441
Телеканал «Катунь 24» продолжает осуществлять мечту 7-летней Саши Ковальчук, девочки с синдромом бабочки 🎁 №%:№%:2019-01-24 08:00:04№%:№%:67100441
Ограничительные рамки несколько раз сбивали на Старом мосту в Барнауле.№%:№%:2019-01-24 07:30:27№%:№%:67100441
Соревнования по художественной гимнастике на Кубок губернатора Алтайского края пройдут в Барнауле.№%:№%:2019-01-24 06:50:03№%:№%:67100441
Жительница Алтайского края стала участницей шоу на федеральном телеканале.№%:№%:2019-01-24 06:14:06№%:№%:67100441
Расписание движения одного из автобусных маршрутов изменится в Барнауле.№%:№%:2019-01-24 05:43:41№%:№%:67100441
Изморозь и туман: о погоде в Алтайском крае 24 января.№%:№%:2019-01-24 05:17:34№%:№%:67100441
Деве не будет сидеться на месте, а Рыбам стоит прислушаться к своей интуиции. Гороскоп на 24 января.№%:№%:2019-01-24 05:14:43№%:№%:67100441
❄Доброе утро, Алтайский край!№%:№%:2019-01-24 03:00:13№%:№%:67100441
😃Скорее просыпайся и включай «УТРЕННИЙ КАНАЛ»! №%:№%:2019-01-24 03:00:00№%:№%:67100441
Минстрой России разработал новый свод правил для застройщиков.№%:№%:2019-01-23 17:45:08№%:№%:67100441
23 января отмечается Всемирный день почерка 📝№%:№%:2019-01-23 17:32:47№%:№%:67100441
Всё чаще личные данные жителей Алтайского края попадают под угрозу хакеров 📛 №%:№%:2019-01-23 17:27:34№%:№%:67100441
Памятник архитектуры – гостиница «Алтай» в Барнауле – начал работу после реконструкции. Ремонтные работы заняли почти год 🚧№%:№%:2019-01-23 17:12:18№%:№%:67100441
Строительство Государственного художественного музея Алтайского края в Барнауле возобновили.№%:№%:2019-01-23 15:42:46№%:№%:67100441
Новогодние праздники закончились, а чудеса продолжаются 🎁 №%:№%:2019-01-23 15:06:15№%:№%:67100441
«Невероятная наука». Смотрите каждый будний день в 23:00 в эфире «Катунь 24» 💡№%:№%:2019-01-23 14:06:09№%:№%:67100441
С 2019 года в России начала действовать обновленная пенсионная реформа.№%:№%:2019-01-23 13:01:40№%:№%:67100441
Катунь 24 — новости Барнаула и Алтайского края — Live№%:№%:2019-01-23 12:43:32№%:№%:67100441
Погибших военных летчиков Су-34 33-летнего Алексея Овсянникова и 42-летнего Алексея Пайдыганова проводили в последний путь на Булыгинском кладбище.№%:№%:2019-01-23 12:33:10№%:№%:67100441
Кулинарный конкурс «Угощение от Татьяны» проведут в День студента в Барнауле.№%:№%:2019-01-23 12:30:51№%:№%:67100441
Акция МВД «Студенческий десант» стартовала в Алтайском крае.№%:№%:2019-01-23 12:02:59№%:№%:67100441
Льготы за возраст не будут зависеть от пенсии в России.№%:№%:2019-01-23 11:30:50№%:№%:67100441
😊Телеканал «Катунь 24» проведёт прямую трансляцию с торжественного открытия гостиницы «Алтай» после капитального ремонта.№%:№%:2019-01-23 10:58:36№%:№%:67100441
Дольщики «Демидов парка» начнут получать квартиры в Новоалтайске.№%:№%:2019-01-23 10:55:03№%:№%:67100441
Стоянку машин у здания музея «Город» запретят в Барнауле.№%:№%:2019-01-23 10:31:16№%:№%:67100441
Тройня родилась в перинатальном центре «ДАР».№%:№%:2019-01-23 09:45:03№%:№%:67100441
Житель Барнаула купил банку консервированного горошка с сюрпризом.№%:№%:2019-01-23 08:59:14№%:№%:67100441
Скрывшихся с места ДТП водителей смогут посадить на срок до 9 лет.№%:№%:2019-01-23 08:09:40№%:№%:67100441
