Заседание коллегии департамента№%:№%:2019-02-01 19:04:30№%:№%:41830487
Пенсионный фонд РФ информирует№%:№%:2019-01-21 14:08:24№%:№%:41830487
На расчистку улиц Костромы от снега направлено 30 единиц техники и 50 рабочих№%:№%:2019-01-20 19:02:04№%:№%:41830487
Без происшествий№%:№%:2019-01-19 16:02:13№%:№%:41830487
Крещенский сочельник. Богоявление. Расписание богослужений и места крещенских купаний№%:№%:2019-01-19 01:02:09№%:№%:41830487
Правила поведения при купании в иордани№%:№%:2019-01-18 16:01:14№%:№%:41830487
Наглядно и интересно№%:№%:2019-01-18 14:02:04№%:№%:41830487
Ночью с улиц Костромы вывезено более 5600 кубометров снега№%:№%:2019-01-18 13:04:06№%:№%:41830487
Островские автоинспекторы напоминают участникам дорожного движения о неукоснительном соблюдении правил безопасности№%:№%:2019-01-18 01:00:40№%:№%:41830487
Костромичей приглашают сдать нормативы ГТО по бегу на лыжах№%:№%:2019-01-17 13:04:14№%:№%:41830487
В Костроме приступили к разработке концепции развития центральной исторической части города№%:№%:2019-01-17 11:05:02№%:№%:41830487
В Костроме обсудили предстоящее благоустройство Парка Победы№%:№%:2019-01-16 22:01:28№%:№%:41830487
В Островскую колонию прислали мыло с сюрпризом№%:№%:2019-01-16 12:04:37№%:№%:41830487
Пешеход пострадал из-за своей невнимательности№%:№%:2019-01-16 10:03:51№%:№%:41830487
Спасатели обучают школьников правилам безопасности жизнедеятельности№%:№%:2019-01-15 22:01:01№%:№%:41830487
В Костроме определены места проведения крещенских купаний№%:№%:2019-01-15 12:03:17№%:№%:41830487
Жители Островского района получили квитанции с новой строкой№%:№%:2019-01-15 01:00:30№%:№%:41830487
В Костроме впервые пройдёт конкурс «Блогер года»№%:№%:2019-01-14 21:00:49№%:№%:41830487
Трезвый взгляд на дорогу№%:№%:2019-01-14 20:00:29№%:№%:41830487
Услуга должна быть качественной№%:№%:2019-01-12 16:02:19№%:№%:41830487
Объявление№%:№%:2019-01-11 17:03:18№%:№%:41830487
Страховые пенсии:  пять лет под знаком января№%:№%:2019-01-11 16:01:33№%:№%:41830487
Про борьбу с мусором не забыли и в праздники№%:№%:2019-01-10 18:02:12№%:№%:41830487
В Костромской области на каждого соискателя приходится 3,5 вакансии№%:№%:2019-01-10 17:03:09№%:№%:41830487
Срочно нужна помощь№%:№%:2019-01-10 15:04:06№%:№%:41830487
Автопарк «Дорожного хозяйства» пополнился техникой для обслуживания улиц Костромы№%:№%:2019-01-09 18:02:12№%:№%:41830487
ВНИМАНИЕ! В КОСТРОМСКОЙ ОБЛАСТИ ПРОГНОЗИРУЕТСЯ ГОЛОЛЕД!№%:№%:2019-01-09 11:02:47№%:№%:41830487
В Костромской области проходят праздничные рождественские богослужения№%:№%:2019-01-07 22:00:48№%:№%:41830487
Рождественский сочельник принес радость в семью шарьинского школьника№%:№%:2019-01-07 12:02:44№%:№%:41830487
Костромские полицейские раскрыли кражу денег с банковской карты№%:№%:2019-01-06 23:01:03№%:№%:41830487
В Костроме выберут чемпиона по бегу в валенках№%:№%:2019-01-06 13:02:53№%:№%:41830487
Мониторинг обеспечения безопасности населения№%:№%:2019-01-06 12:02:00№%:№%:41830487
Глава региона Сергей Ситников совершает рабочую поездку в районы Костромской области№%:№%:2019-01-05 22:01:12№%:№%:41830487
В 2019 сбили уже троих пешеходов: один человек погиб, двое – госпитализированы№%:№%:2019-01-04 21:02:17№%:№%:41830487
Костромской зоопарк приглашает на праздничные новогодние программы№%:№%:2019-01-04 20:01:48№%:№%:41830487
Костромских школьников приглашают на рейтинговые турниры по быстрым шахматам№%:№%:2019-01-01 20:01:15№%:№%:41830487
ВНИМАНИЕ! МЕТЕОПРЕДУПРЕЖДЕНИЕ!№%:№%:2018-12-31 15:01:27№%:№%:41830487
С наступающими праздниками№%:№%:2018-12-29 16:06:31№%:№%:41830487
В Буйском районе после столкновения двух грузовиков погиб молодой мужчина№%:№%:2018-12-29 15:04:00№%:№%:41830487
Новогодний подарок от главы города№%:№%:2018-12-29 14:06:22№%:№%:41830487
Федеральная налоговая служба включила в реестр контрольно-кассовой техники сведения новой модели№%:№%:2018-12-28 17:04:28№%:№%:41830487
В Костромской области возбуждено уголовное дело по факту гибели трех детей в результате пожара частного дома№%:№%:2018-12-27 18:02:41№%:№%:41830487
Признание на всероссийском уровне.№%:№%:2018-12-27 16:03:43№%:№%:41830487
В Буйском районе в огне погибли три сестры№%:№%:2018-12-27 10:01:42№%:№%:41830487
К 13 годам лишения свободы осужден житель республики Коми за убийство 14-летней девочки№%:№%:2018-12-26 16:02:47№%:№%:41830487
В зимний сезон в Костроме будет организовано более двадцати площадок для активного отдыха№%:№%:2018-12-26 12:05:58№%:№%:41830487
В Кострому вновь приехал Всероссийский Дед Мороз№%:№%:2018-12-26 01:00:34№%:№%:41830487
Спрос рождает предложение№%:№%:2018-12-25 17:03:15№%:№%:41830487
О финансировании январских пенсий в декабре 2018 года№%:№%:2018-12-25 13:05:13№%:№%:41830487
Кто из пенсионеров получит прибавку к пенсии с 1 января?№%:№%:2018-12-25 12:02:11№%:№%:41830487
В новый год с новыми тарифами№%:№%:2018-12-24 18:02:37№%:№%:41830487
Главный архитектором Костромы стал Владимир Якимов№%:№%:2018-12-24 17:02:34№%:№%:41830487
«Мы совершили преступление»№%:№%:2018-12-24 11:04:09№%:№%:41830487
Сергей Ситников поздравил костромских докторов с победой  в народном телевизионном конкурсе№%:№%:2018-12-23 18:02:05№%:№%:41830487
В приемную семью с подарком№%:№%:2018-12-23 17:01:45№%:№%:41830487
Время собирать подарки№%:№%:2018-12-21 19:03:06№%:№%:41830487
20 декабря в Островском заместитель руководителя Следственного Комитета проведет прием граждан№%:№%:2018-12-20 20:01:29№%:№%:41830487
В Костромской области миллионного туриста поздравят Всероссийские Дед Мороз и Снегурочка№%:№%:2018-12-20 17:04:09№%:№%:41830487
В Кострому из Москвы переехали викуньи№%:№%:2018-12-20 13:02:18№%:№%:41830487
Костромские наркополицейские выявили факт потребления растительных наркотических средств в одном из развлекательных заведений областного центра№%:№%:2018-12-19 18:02:44№%:№%:41830487
Костромские ремесленники принимают участие во всероссийской выставке «Ладья. Зимняя сказка – 2018»№%:№%:2018-12-19 17:03:22№%:№%:41830487
Островские полицейские усилят контроль  за юными участниками дорожного движения№%:№%:2018-12-19 12:04:48№%:№%:41830487
Бывший чиновник мэрии Костромы отправится в тюрьму за взятки№%:№%:2018-12-18 16:05:28№%:№%:41830487
МИСС СНЕГУРОЧКА-2018№%:№%:2018-12-18 15:05:14№%:№%:41830487
Сергей Ситников поздравил личный состав и ветеранов 1065 артиллерийского полка с годовщиной образования воинского соединения№%:№%:2018-12-18 13:06:03№%:№%:41830487
На пожаре в Островском районе погибли два человека№%:№%:2018-12-17 17:02:06№%:№%:41830487
Костромичей приглашают обсудить установку памятника Минину и Пожарскому№%:№%:2018-12-17 16:03:15№%:№%:41830487
Строить школу на Профсоюзной будут специалисты из Ульяновска№%:№%:2018-12-17 13:04:05№%:№%:41830487
Читайте, завидуйте я гражданин!№%:№%:2018-12-15 16:01:52№%:№%:41830487
В центре Костромы с 20 декабря начнет работу универсальная новогодняя ярмарка№%:№%:2018-12-14 17:07:07№%:№%:41830487
В Заволжье женщину сбил автомобиль такси№%:№%:2018-12-14 13:06:38№%:№%:41830487
Для удобства пассажиров электричек в Костроме изменилось расписание троллейбусов № 2№%:№%:2018-12-14 11:04:53№%:№%:41830487
В общероссийский день приема граждан в приемные федеральных и региональных исполнительных органов власти Костромской области обратились 255 человек№%:№%:2018-12-13 14:05:56№%:№%:41830487
С юбилеем принятия Конституции!№%:№%:2018-12-12 14:06:10№%:№%:41830487
Сергей Ситников вручил паспорта юным гражданам России№%:№%:2018-12-12 04:01:46№%:№%:41830487
Прокуратура города Костромы направила в суд уголовное дело по обвинению костромича в пересылке наркотических средств знакомой девушке№%:№%:2018-12-11 18:01:58№%:№%:41830487
В администрации региона обсудили вопросы пенсионного обеспечения граждан в 2019 году№%:№%:2018-12-11 14:03:03№%:№%:41830487
Костромские полицейские приняли участие в пресс-конференции силовых структур, посвященной международному дню борьбы с коррупцией№%:№%:2018-12-10 22:01:16№%:№%:41830487
В Костроме проведут диагностику тепловых сетей с привлечением авиатехники№%:№%:2018-12-10 17:03:15№%:№%:41830487
На дорогах Костромской области ожидается ухудшение видимости№%:№%:2018-12-09 22:00:40№%:№%:41830487
В Костромской области проходят памятные мероприятия, посвященные Дню Героев Отечества№%:№%:2018-12-09 14:01:47№%:№%:41830487
Костромские партийцы принимают участие XVIII Съезд «Единой России»№%:№%:2018-12-08 15:02:13№%:№%:41830487
В Костроме пройдёт «горячая линия» по вопросам противодействия коррупции№%:№%:2018-12-07 19:03:09№%:№%:41830487
В Костроме в пользу родственников погибших в ДТП мужчины и его сына взыскано более 2 млн. рублей№%:№%:2018-12-07 15:01:55№%:№%:41830487
Все регионы будут услышаны№%:№%:2018-12-07 14:05:03№%:№%:41830487
7 декабря запланирован ремонт участка магистральной теплосети ТГК-2№%:№%:2018-12-06 19:02:22№%:№%:41830487
"Молодежь против СПИДа"№%:№%:2018-12-06 18:02:55№%:№%:41830487
На дорогах Костромской области прогнозируется ухудшение видимости№%:№%:2018-12-06 11:02:27№%:№%:41830487
3 декабря - День неизвестного солдата№%:№%:2018-12-05 16:04:18№%:№%:41830487
Ювелир взял работу на дом. В Костромской области полицейские задержали подозреваемого в изготовлении поддельных пробирных клейм№%:№%:2018-12-05 05:01:49№%:№%:41830487
В декабре меняется плата за детский сад№%:№%:2018-12-04 17:03:16№%:№%:41830487
В День Неизвестного Солдата костромичи почтили память погибших воинов-земляков№%:№%:2018-12-03 17:05:19№%:№%:41830487
Сегодня в России отмечается памятная дата - День Неизвестного Солдата№%:№%:2018-12-03 16:04:42№%:№%:41830487
Костромская область, Костромской район, пос. Сухоногово, санаторий-профилакто-рий «Березка»№%:№%:2018-12-02 19:01:18№%:№%:41830487
Огрела чайником по голове: соседки в Костром повздорили в новогоднюю ночь№%:№%:2018-12-01 16:04:56№%:№%:41830487
В Костромской области реализуется социальный проект по обеспечению жителей глубинки скоростным интернетом и устойчивой мобильной связью№%:№%:2018-11-30 23:02:20№%:№%:41830487
График работы передвижной приёмной Главы города и главы Администрации Костромы в декабре№%:№%:2018-11-30 17:03:17№%:№%:41830487
Костромичи зажгут «Свечу памяти» в честь погибших в боевых действиях героев-земляков№%:№%:2018-11-30 16:03:27№%:№%:41830487
Под Красным утонул рыбак из Иванова№%:№%:2018-11-29 17:01:52№%:№%:41830487
Росреестр сообщает№%:№%:2018-11-29 14:02:40№%:№%:41830487
Заместитель начальника УФСИН России по Костромской области Юрий Ткачук принял участие в работе оперативного штаба в Костромской области№%:№%:2018-11-29 12:04:33№%:№%:41830487
Внимание! В Костромской области ночью ожидается резкое похолодание!№%:№%:2018-11-28 18:01:45№%:№%:41830487
В Вохомском районе в кювет улетела легковушка№%:№%:2018-11-28 13:05:28№%:№%:41830487
Общероссийский день приема граждан№%:№%:2018-11-28 12:04:19№%:№%:41830487
«Тест по истории Отечества»№%:№%:2018-11-27 17:01:53№%:№%:41830487
Проект межевания территории, ограниченной улицами Мичуринцев, Фестивальной, Центральной 2-й, Дорожной 2-й№%:№%:2018-11-26 11:04:56№%:№%:41830487
Костромские дорожники ведут расчистку и вывоз снега с улиц города№%:№%:2018-11-25 16:01:08№%:№%:41830487
Жители Костромской области могут получить бесплатную консультацию лучших врачей региона по «Телефону здоровья»№%:№%:2018-11-23 18:02:55№%:№%:41830487
В Костромской области вводится режим повышенной готовности№%:№%:2018-11-22 19:02:42№%:№%:41830487
ВНИМАНИЕ! МЕТЕОПРЕДУПРЕЖДЕНИЕ!№%:№%:2018-11-22 18:01:52№%:№%:41830487
I Международная конференция «Экспортный потенциал хозяйствующих субъектов Костромской области»№%:№%:2018-11-22 17:02:38№%:№%:41830487
С сегодняшнего дня возобновляется движение по путепроводу на улице Магистральной№%:№%:2018-11-22 07:00:40№%:№%:41830487
В Москве обсуждаются актуальные вопросы жизни региона№%:№%:2018-11-21 16:04:35№%:№%:41830487
В системе образования Костромской области учреждена должность главного внештатного психолога-эксперта№%:№%:2018-11-20 19:05:38№%:№%:41830487
По требованию губернатора Сергея Ситникова курирующие заместители проверили температурный режим в областной больнице№%:№%:2018-11-20 17:02:44№%:№%:41830487
Костромичи отметят годовщину создания туристического маршрута «Золотое Кольцо России»№%:№%:2018-11-20 16:02:27№%:№%:41830487
За выходные в Костроме сбили двух пешеходов – студентку и 90-летнего дедушку№%:№%:2018-11-19 18:04:28№%:№%:41830487
Выборы нового главы в объединенном Островском сельском подселении начались№%:№%:2018-11-18 14:02:56№%:№%:41830487
В Костромской области прогнозируется мокрый снег№%:№%:2018-11-18 00:01:13№%:№%:41830487
Межмуниципальная матчевая встреча по плаванию среди городов Костромской области№%:№%:2018-11-16 18:05:14№%:№%:41830487
Маршрут № 51 изменит путь следования и будет обслуживаться новыми автобусами№%:№%:2018-11-16 17:04:34№%:№%:41830487
Госуслуги помогут с комфортом оформить любой документ и сэкономить кучу времени на походах в ведомства!№%:№%:2018-11-16 13:03:34№%:№%:41830487
О наступлении срока уплаты имущественных налогов№%:№%:2018-11-15 17:03:12№%:№%:41830487
Открытие нового производственного цеха на Галичском автокрановом заводе№%:№%:2018-11-15 14:04:08№%:№%:41830487
Глава Администрации города Алексей Смирнов проверил ход реконструкции водно-гребной базы№%:№%:2018-11-15 11:03:30№%:№%:41830487
Новым руководителем Совета ветеранов города Костромы стала Татьяна Гачина№%:№%:2018-11-15 00:01:14№%:№%:41830487
Росреестр проконсультирует костромичей по вопросам банкротства физических лиц№%:№%:2018-11-14 01:00:44№%:№%:41830487
В Костромской области принимаются меры для обеспечения безопасности людей на водоёмах в зимний период№%:№%:2018-11-14 00:00:36№%:№%:41830487
Костромичи могут сообщить о фактах незаконного оборота и немедицинского употребления наркотиков№%:№%:2018-11-13 17:03:20№%:№%:41830487
Департамент строительства: для шести из девяти проблемных объектов долевого строительства уже найден новый инвестор№%:№%:2018-11-12 23:01:11№%:№%:41830487
Молодые костромичи сразятся в кулинарной битве№%:№%:2018-11-12 18:03:11№%:№%:41830487
Костромичам расскажут о профилактике осложнений при сахарном диабете№%:№%:2018-11-12 17:04:50№%:№%:41830487
Что надо знать костромичам о черных кредиторах№%:№%:2018-11-11 16:01:01№%:№%:41830487
12 декабря 2018 года конкурс по продаже нежилых помещений по адресу: город Кострома, улица Горная, дом 27а№%:№%:2018-11-11 01:00:31№%:№%:41830487
Костромичи могут сделать бесплатную прививку от гриппа в мобильном диагностическом комплексе№%:№%:2018-11-09 20:00:56№%:№%:41830487
8 ноября в Бизнес-центре состоялась очередная торгово-закупочная сессия товаропроизводителей Костромской области с представителями торговых сетей№%:№%:2018-11-09 15:01:10№%:№%:41830487
Аукцион по продаже земельного участка№%:№%:2018-11-09 13:03:23№%:№%:41830487
На мемориале «Вечный огонь» идут работы по созданию доступной среды для инвалидов№%:№%:2018-11-08 19:03:07№%:№%:41830487
В Костромской области возрожден Театр юного зрителя№%:№%:2018-11-08 13:02:38№%:№%:41830487
В Костромской области откроется специализированное отделение аптеки для больных диабетом№%:№%:2018-11-07 19:02:16№%:№%:41830487
В связи с плановым ремонтом теплосетей на улице Пятницкой временно ограничат движение транспорта№%:№%:2018-11-07 17:03:40№%:№%:41830487
Метеопредупреждение№%:№%:2018-11-07 11:07:33№%:№%:41830487
Мобильное приложение портала Госуслуг все более популярно№%:№%:2018-11-06 13:06:57№%:№%:41830487
06.11.2018 - финальный этап Фестиваля Всероссийского физкультурно-спортивного комплекса «Готов к труду и обороне» (ГТО) среди обучающихся образовательных организаций№%:№%:2018-11-06 11:05:22№%:№%:41830487
Костромские полицейские выявили подпольную мастерскую по производству ювелирных изделий№%:№%:2018-11-05 13:03:32№%:№%:41830487
С Днем народного единства№%:№%:2018-11-04 13:02:25№%:№%:41830487
С Днем народного единства!№%:№%:2018-11-02 18:03:23№%:№%:41830487
Мероприятия ко Дню народного единства№%:№%:2018-11-02 17:03:45№%:№%:41830487
Госуслуги — всегда под рукой!№%:№%:2018-11-02 11:08:12№%:№%:41830487
В Костроме установят памятную доску Борису Победимскому№%:№%:2018-11-02 00:01:41№%:№%:41830487
Справка о размере пенсии: как быстро получить№%:№%:2018-11-01 17:03:06№%:№%:41830487
Ход капитального ремонта автопешеходного моста через Волгу в Костроме№%:№%:2018-11-01 10:03:02№%:№%:41830487
В Костроме стартует Фестиваль профессий№%:№%:2018-10-31 19:03:25№%:№%:41830487
В Костромской области планируется увеличить финансовое обеспечение обязательного медицинского страхования№%:№%:2018-10-31 18:06:01№%:№%:41830487
В Костроме запланированы ремонтные работы на водоводе на улице Профсоюзной№%:№%:2018-10-31 12:07:37№%:№%:41830487
Проект бюджета Костромской области на предстоящие три года внесен на рассмотрение депутатов№%:№%:2018-10-30 16:04:03№%:№%:41830487
Вместо забора — дополнительная полоса№%:№%:2018-10-29 19:03:20№%:№%:41830487
Территорию вокруг самого известного дуба Костромы городские власти намерены сделать особо охраняемой№%:№%:2018-10-29 12:04:21№%:№%:41830487
В Костроме и по области ожидается ухудшение погодных условий№%:№%:2018-10-28 12:07:25№%:№%:41830487
Вчера пострадали три пешехода№%:№%:2018-10-26 13:09:01№%:№%:41830487
Вставайте в комсомольские ряды!№%:№%:2018-10-25 18:05:52№%:№%:41830487
Совещание по вопросу  оказания бесплатной юридической помощи на территории Костромской области№%:№%:2018-10-25 17:09:23№%:№%:41830487
Ваш семейный помощник – портал Госуслуг№%:№%:2018-10-25 12:07:26№%:№%:41830487
В Костроме отметят день образования первой городской пожарной команды№%:№%:2018-10-24 17:04:02№%:№%:41830487
В Костроме приступают к строительству новых дорог в микрорайоне Новый город№%:№%:2018-10-24 13:05:03№%:№%:41830487
В связи асфальтированием подъездов к мосту через Волгу 24 октября будет затруднено движение транспорта№%:№%:2018-10-24 09:04:21№%:№%:41830487
«Кострмагорводоканал» проводит капитальный ремонт канализационного коллектора в микрорайоне Якиманиха№%:№%:2018-10-22 19:02:27№%:№%:41830487
«Внимание!Пешеход!»№%:№%:2018-10-22 18:01:55№%:№%:41830487
22 октября на съезде с моста в районе онкодиспансера временно вводится одностороннее движение№%:№%:2018-10-22 11:04:19№%:№%:41830487
В Костроме завершается первый этап благоустройства парковой зоны в Заволжье№%:№%:2018-10-19 13:04:08№%:№%:41830487
Два жителя Островского вынесли из чужого сарая 87 литров топлива№%:№%:2018-10-19 12:05:53№%:№%:41830487
Костромичи завоевали 11 золотых медалей на выставке «Золотая осень»№%:№%:2018-10-19 11:07:34№%:№%:41830487
22 октября 2018 года прокуратурой области проводится горячая телефонная линия по вопросам судебной защиты трудовых, социальных и жилищных прав граждан.№%:№%:2018-10-19 10:07:42№%:№%:41830487
«Социальный калькулятор» на сайте ЕГИССО№%:№%:2018-10-17 19:04:24№%:№%:41830487
В Костромской области чемпиону мира по боевому самбо предоставили служебную квартиру№%:№%:2018-10-17 13:06:07№%:№%:41830487
Прокуратура области направила в суд уголовное дело об убийстве несовершеннолетней в Мантуровском районе№%:№%:2018-10-16 19:01:27№%:№%:41830487
В ЗАГС через госуслуги№%:№%:2018-10-16 12:10:08№%:№%:41830487
13-14.10.2018 - 5-й Открытый юношеский турнир республики Беларусь по дзюдо№%:№%:2018-10-16 11:02:10№%:№%:41830487
Ветеран Великой Отечественной войны Константин Швецов принимает поздравления с 95-летием№%:№%:2018-10-16 09:04:33№%:№%:41830487
В Костроме пройдёт Фестиваль науки-2018№%:№%:2018-10-15 15:05:27№%:№%:41830487
Костромские волонтёры приглашают на кинопоказы в рамках фестиваля «PROJECTOR»№%:№%:2018-10-13 19:01:02№%:№%:41830487
Ход капитального ремонта автопешеходного моста через Волгу в Костроме№%:№%:2018-10-13 11:07:35№%:№%:41830487
Проверь себя и будь здорова№%:№%:2018-10-12 18:16:52№%:№%:41830487
Костромская область принимает участие во всероссийском агрофоруме№%:№%:2018-10-12 14:05:37№%:№%:41830487
Об итогах сезона по инфекциям, передающимися клещами. Октябрь-время вакцинации против клещевого энцефалита№%:№%:2018-10-12 09:03:27№%:№%:41830487
Информацию о плановых и аварийных перерывах в предоставлении коммунальных услуг можно получать круглосуточно№%:№%:2018-10-11 18:08:23№%:№%:41830487
Костромичка выступит в финале Национального телевизионного музыкального конкурса «Во весь голос»№%:№%:2018-10-11 12:03:32№%:№%:41830487
Открыт прием заявок на предоставление субсидий из областного бюджета юридическим лицам№%:№%:2018-10-10 16:03:49№%:№%:41830487
Для безопасности пешеходов в Костроме в этом году установят почти два километра барьерных ограждений№%:№%:2018-10-10 00:01:56№%:№%:41830487
Костромские полицейские раскрыли двойной угон.№%:№%:2018-10-09 16:02:24№%:№%:41830487
Метеопредупреждение№%:№%:2018-10-09 00:01:40№%:№%:41830487
Костромские полицейские разыскивают подозреваемых в обмане 90-летней женщины, которая «пожертвовала» сбережения на лечение несуществующего человека№%:№%:2018-10-08 19:06:22№%:№%:41830487
ВНИМАНИЕ! МЕТЕОПРЕДУПРЕЖДЕНИЕ№%:№%:2018-10-08 10:07:54№%:№%:41830487
Лучшие учителя№%:№%:2018-10-06 14:03:30№%:№%:41830487
На время акции «Военная служба по контракту – твой выбор!» в центральной части города ограничат движение транспорта№%:№%:2018-10-05 20:05:37№%:№%:41830487
У детской поликлиники на улице Водяной оборудовали подъезд с парковкой и тротуарами№%:№%:2018-10-05 15:05:55№%:№%:41830487
Четыре учителя Костромской области вошли в тысячу лучших педагогов России№%:№%:2018-10-05 02:00:48№%:№%:41830487
Следователи МО МВД России «Островский» направили в суд уголовное дело в отношении группы, похитившей украшения стоимостью более 4 млн. рублей№%:№%:2018-10-04 15:03:57№%:№%:41830487
Процесс подключения к теплу жилищного фонда в Костроме проходит под контролем Администрации города№%:№%:2018-10-04 01:03:19№%:№%:41830487
Сергей Ситников взял под личный контроль выяснение информации о падении вертолета в Солигаличском районе№%:№%:2018-10-04 00:03:32№%:№%:41830487
В небе над Костромой летчики авиационной группы «Стрижи» покажут фигуры высшего пилотажа№%:№%:2018-10-02 14:04:10№%:№%:41830487
В Костромской области проживает 26 человек, чья жизнь длится дольше века№%:№%:2018-10-01 12:07:16№%:№%:41830487
Медведев не исключил, что выполнение майского указа потребует дополнительных мер№%:№%:2018-09-28 16:04:43№%:№%:41830487
В Костромской области будут работать выездные бригады по иммунизации населения№%:№%:2018-09-28 11:07:03№%:№%:41830487
21-24.09.2018 - фестиваль детского творчества «Спорт как искусство»№%:№%:2018-09-27 18:01:27№%:№%:41830487
Костромские полицйеские приняли участие в тактико-спецальном учении оперативного штаба в Костромской области№%:№%:2018-09-27 14:05:17№%:№%:41830487
Растет количество ДТП на федеральных трассах№%:№%:2018-09-27 13:06:44№%:№%:41830487
В Костроме откроют склад экологической переработки текстильного мусора№%:№%:2018-09-27 11:03:58№%:№%:41830487
Предложенный ЕР законопроект о зачислении в ПФР конфискованных средств коррупционеров принят Госдумой в первом чтении №%:№%:2018-09-26 15:04:00№%:№%:41830487
Заботиться о своем здоровье стало проще!№%:№%:2018-09-25 20:07:01№%:№%:41830487
В Костроме пройдут тактико-специальные учения№%:№%:2018-09-25 17:08:59№%:№%:41830487
Названы победители фестиваля «Дни Островского в Костроме»№%:№%:2018-09-25 14:15:10№%:№%:41830487
В Костромской области ожидается сильный дождь№%:№%:2018-09-24 19:01:33№%:№%:41830487
Опровергаем слухи№%:№%:2018-09-24 10:07:48№%:№%:41830487
Маршрут автобуса № 10 продлён до остановки «Завод Мотордеталь»№%:№%:2018-09-22 22:00:56№%:№%:41830487
Школьникам и студентам о пенсии№%:№%:2018-09-21 16:04:52№%:№%:41830487
Сделай шаг к большому футболу! В Костроме стартует турнир по мини-футболу на Кубок "НОВАТЭК"!№%:№%:2018-09-20 18:03:15№%:№%:41830487
В муниципальной художественной галерее открывается выставка «Имена» - проект Александра Пестерева совместно с поэтом Летой Югай№%:№%:2018-09-20 16:07:09№%:№%:41830487
Кадровые назначения в Администрации города Костромы№%:№%:2018-09-20 14:11:30№%:№%:41830487
Уверенный рост по налогу на прибыль зафиксирован в Костромской области несмотря на снижение индекса производств№%:№%:2018-09-19 17:03:32№%:№%:41830487
ПЕНСИОННЫЙ ФОНД ИНФОРМИРУЕТ:№%:№%:2018-09-19 13:05:09№%:№%:41830487
Стань заметным№%:№%:2018-09-18 17:06:14№%:№%:41830487
Льготы остаются№%:№%:2018-09-18 14:07:22№%:№%:41830487
Туристический слёт№%:№%:2018-09-17 17:05:09№%:№%:41830487
Сотрудник УФСИН России по Костромской области стал серебряным призером «Кросса нации-2018»№%:№%:2018-09-17 16:03:25№%:№%:41830487
Техническая проверка муниципальной автоматизированной системы централизованного оповещения населения с запуском электросирен и речевой информации№%:№%:2018-09-17 15:03:43№%:№%:41830487
Школьный помощник – всегда рядом№%:№%:2018-09-15 19:05:48№%:№%:41830487
Движение по всем четырём полосам на мосту через Волгу откроют в ближайшие дни№%:№%:2018-09-15 15:08:56№%:№%:41830487
Старшее поколение защитит закон№%:№%:2018-09-14 17:05:01№%:№%:41830487
