Вниманию автолюбителей: кольцо у танка снова главная дорога №%:№%:2019-01-26 12:18:21№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-21 13:48:53№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-21 13:43:02№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-21 13:41:54№%:№%:60460495
В апробации итогового собеседования по русскому языку приняли участие порядка 5 тысяч старшеклассников №%:№%:2019-01-21 12:01:01№%:№%:60460495
В ледяные иордани Липецка окунулись более 3,7 тысяч липчан№%:№%:2019-01-21 10:17:46№%:№%:60460495
Руководители города и региона проинспектировали работу управляющих компаний Липецка№%:№%:2019-01-19 17:17:59№%:№%:60460495
В областном центре снова состоялась «Крещенская елка добра» №%:№%:2019-01-19 15:36:49№%:№%:60460495
Ремонтные работы станут причиной отключения электроэнергии в районе Свободный Сокол№%:№%:2019-01-18 14:11:31№%:№%:60460495
Липецким пенсионерам предлагают освоить «Планшет, смартфон с нуля» №%:№%:2019-01-18 12:37:18№%:№%:60460495
Медали «Во славу Липецкой области» вручили в городской администрации№%:№%:2019-01-18 11:55:32№%:№%:60460495
Для проверки герметичности в системы теплоснабжения добавят уранин№%:№%:2019-01-18 11:54:18№%:№%:60460495
Руководители профильных департаментов проинспектировали уборку дворов и межквартальных проездов №%:№%:2019-01-18 11:38:03№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-18 11:24:27№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-18 10:59:41№%:№%:60460495
Дворец культуры «Сокол» обрел исторический вид№%:№%:2019-01-18 10:00:34№%:№%:60460495
Из-за празднования юбилея области незначительно сократится выпуск автобусов на некоторых маршрутах№%:№%:2019-01-18 09:06:14№%:№%:60460495
Главная крещенская купель появилась на Центральном городском пляже№%:№%:2019-01-17 18:02:54№%:№%:60460495
Голосование за лучший вариант гимна Липецка продолжается №%:№%:2019-01-17 14:00:46№%:№%:60460495
Спасатели предупреждают липчан о сильном ветре№%:№%:2019-01-17 13:15:39№%:№%:60460495
Из-за ремонтных работ на нескольких улицах в частном секторе Липецка отключат свет№%:№%:2019-01-17 12:10:57№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-17 12:04:08№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-17 11:53:14№%:№%:60460495
В областном центре снова состоится «Крещенская елка добра» №%:№%:2019-01-17 10:29:18№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-17 10:06:26№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-17 09:07:09№%:№%:60460495
Территорию областного центра начали готовить к безопасному пропуску паводковых вод №%:№%:2019-01-16 17:17:30№%:№%:60460495
Вопросы реконструкции Быханова сада руководители города обсудили с инвесторами№%:№%:2019-01-16 16:06:29№%:№%:60460495
Завтра на двух улицах города отключат электроэнергию№%:№%:2019-01-16 15:54:37№%:№%:60460495
Ветераны вспоминают масштабные стройки Липецка№%:№%:2019-01-16 13:58:17№%:№%:60460495
Липецк выдвигает кандидатов на областную Доску почета№%:№%:2019-01-16 13:34:11№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-16 09:56:25№%:№%:60460495
Липецкую практику по укреплению межнациональных и межрелигиозных отношений признали лучшей в стране№%:№%:2019-01-15 17:59:19№%:№%:60460495
Вопросы проверки газового оборудования в центре внимания руководства города и профильных служб №%:№%:2019-01-15 17:30:10№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-15 16:34:14№%:№%:60460495
В районах Дачный и НЛМК отключат холодную воду№%:№%:2019-01-15 15:37:46№%:№%:60460495
Точку Кипения Липецк отметили на федеральном уровне№%:№%:2019-01-15 15:32:48№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-15 15:16:30№%:№%:60460495
С 21 января отменят утренний рейс автобуса №8№%:№%:2019-01-15 14:20:35№%:№%:60460495
Вопросы жизнедеятельности города обсуждали на еженедельном совещании в мэрии№%:№%:2019-01-15 08:55:34№%:№%:60460495
Липецкой области 65 лет: праздничные мероприятия на основных городских площадках№%:№%:2019-01-14 17:29:29№%:№%:60460495
На компенсацию взносов на капремонт в регионе направили 90 миллионов рублей№%:№%:2019-01-14 17:12:25№%:№%:60460495
Региональное управление ЖКХ предупреждает: неплатежи за вывоз мусора опасны для вашего бюджета№%:№%:2019-01-14 16:07:51№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-14 14:41:47№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-14 14:05:51№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-14 14:04:41№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-14 14:01:58№%:№%:60460495
Липецкие спасатели готовятся к крещенским купаниям горожан и весеннему паводку№%:№%:2019-01-14 14:01:29№%:№%:60460495
В работу муниципального маршрута №9 вносятся изменения№%:№%:2019-01-14 12:30:42№%:№%:60460495
Испытание для молодых интеллектуалов – очередной турнир по игре «Что? Где? Когда?» посвятят 65-летию региона№%:№%:2019-01-14 11:54:14№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-14 11:39:39№%:№%:60460495
За выходные дни по вопросам уборки снега в департамент ЖКХ обратилось 17 липчан№%:№%:2019-01-14 11:38:20№%:№%:60460495
Новогодняя иллюминация в Липецке будет работать до конца января№%:№%:2019-01-11 20:13:22№%:№%:60460495
Крещенская ночь в Липецке должна пройти организованно и безопасно№%:№%:2019-01-11 16:40:15№%:№%:60460495
Переход на цифровое телевидение в Липецке№%:№%:2019-01-11 16:24:23№%:№%:60460495
Соблюдайте правила безопасности при выходе на лед №%:№%:2019-01-11 15:47:32№%:№%:60460495
В частном секторе отключат электроэнергию№%:№%:2019-01-11 15:32:42№%:№%:60460495
Взнос на капремонт для липчан не вырастет№%:№%:2019-01-11 15:29:47№%:№%:60460495
Управляющие компании переходят на работу в усиленном режиме №%:№%:2019-01-11 14:55:08№%:№%:60460495
В микрорайоне «Победа» появилась IT-школа №%:№%:2019-01-11 13:34:15№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-11 10:33:56№%:№%:60460495
Липчан приглашают на Рождественский концерт№%:№%:2019-01-11 10:24:40№%:№%:60460495
Подведены итоги фестиваля компьютерного творчества "Поколение IT"№%:№%:2019-01-11 10:23:54№%:№%:60460495
Треть январских свадеб в Липецке придётся на символическую дату «19.01.19»№%:№%:2019-01-11 09:25:06№%:№%:60460495
Жители улицы Московская и переулка Кувшинова останутся без воды№%:№%:2019-01-10 16:45:47№%:№%:60460495
Использовать Комсомольский пруд как каток не будут№%:№%:2019-01-10 16:04:20№%:№%:60460495
Сергей Иванов ответит на вопросы зрителей канала «Россия 24» в прямом эфире №%:№%:2019-01-10 15:26:47№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-10 13:52:57№%:№%:60460495
Спасатели предупреждают липчан о сильном снегопаде№%:№%:2019-01-10 13:16:10№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-10 12:24:00№%:№%:60460495
Работу городских служб в дни новогодних каникул обсудили на первом в 2019 году оперативном совещании у главы Липецка №%:№%:2019-01-09 17:16:40№%:№%:60460495
№%:№%:2019-01-09 17:13:05№%:№%:60460495
№%:№%:2019-01-09 17:11:49№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-09 14:32:11№%:№%:60460495
Ремонтные работы станут причиной перебоев в водоснабжении№%:№%:2019-01-09 13:52:31№%:№%:60460495
В праздничные дни с улиц города вывезли свыше 26 тысяч кубометров снега №%:№%:2019-01-09 12:05:34№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-09 11:13:28№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому №%:№%:2019-01-04 10:18:44№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2019-01-03 20:51:09№%:№%:60460495
Свыше 20 тысяч липчан стали участниками основных городских мероприятий новогодней ночи №%:№%:2019-01-02 14:32:14№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому Декада спорта и здоровья - 2019 стартовала в Липецке №%:№%:2019-01-02 13:51:31№%:№%:60460495
Часы-арка стали украшением "Тоннеля желаний" в сквере на улице Ворошилова№%:№%:2018-12-29 20:47:49№%:№%:60460495
Руководители города поздравляют липчан с новым 2019 годом№%:№%:2018-12-29 13:40:57№%:№%:60460495
Липецкий Дом музыки приглашает на детскую сказку с органом№%:№%:2018-12-29 13:00:11№%:№%:60460495
Липчане смогут оценить работу такси и каршеринга№%:№%:2018-12-29 12:58:45№%:№%:60460495
№%:№%:2018-12-29 12:54:05№%:№%:60460495
№%:№%:2018-12-29 12:53:39№%:№%:60460495
№%:№%:2018-12-29 12:52:43№%:№%:60460495
Проезжая часть улицы Ленина будет восстановлена в ближайшее время №%:№%:2018-12-29 12:24:19№%:№%:60460495
В новогоднюю ночь в девяти районах Липецка пройдут дискотеки на снегу№%:№%:2018-12-29 11:41:59№%:№%:60460495
Из-за ремонтных работ на улице Ленина меняется схемы движения некоторых маршрутов№%:№%:2018-12-29 10:07:03№%:№%:60460495
«Рождественское многоголосие» откроет цикл январских концертов№%:№%:2018-12-29 09:51:07№%:№%:60460495
Сергей Иванов потребовал ускорить расчистку липецких дворов от снега и наледи№%:№%:2018-12-29 09:03:28№%:№%:60460495
Уникальная елка и «Тоннель желаний» - в Липецке завершается монтаж новогодней иллюминации №%:№%:2018-12-28 20:06:23№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-28 17:00:02№%:№%:60460495
Лучшего муниципального дворника выбрали в Липецке №%:№%:2018-12-28 11:54:27№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-28 11:42:32№%:№%:60460495
№%:№%:2018-12-28 09:45:43№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-27 17:52:16№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-27 17:33:46№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-27 17:32:15№%:№%:60460495
Липецкие дворы приводят в порядок более 500 дворников и 25 единиц техники №%:№%:2018-12-27 17:22:12№%:№%:60460495
В праздники спасатели будут работать в режиме повышенной готовности№%:№%:2018-12-27 16:41:51№%:№%:60460495
100-летие дополнительного образования отметили в Липецке№%:№%:2018-12-27 16:25:10№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-27 15:37:45№%:№%:60460495
Дедушка Мороз приглашает в гости маленьких липчан№%:№%:2018-12-27 14:44:45№%:№%:60460495
В садоводческих товариществах областного центра отключат свет№%:№%:2018-12-27 14:02:15№%:№%:60460495
В мэрии наградили участников городской благотворительной акции «Новогоднее чудо»№%:№%:2018-12-27 11:59:03№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-27 11:39:59№%:№%:60460495
Лучшим педагогам вручили юбилейные медали «Во славу Липецкой области»№%:№%:2018-12-27 11:36:48№%:№%:60460495
Инвестиционное послание главы города обсудили в «Точке Кипения»№%:№%:2018-12-26 18:28:16№%:№%:60460495
Городское управление ЗАГС информирует о работе отделов в период новогодних каникул№%:№%:2018-12-26 16:11:27№%:№%:60460495
Световые колонны, волшебный лед гирлянд и горячие сердца липчан - в администрации подвели итоги предновогоднего конкурса благоустройства №%:№%:2018-12-26 16:03:51№%:№%:60460495
Из-за ремонтных работ движение через переезд на улице Орловской будет ограничено№%:№%:2018-12-26 15:02:32№%:№%:60460495
В новогодние праздники изменится движение общественного транспорта№%:№%:2018-12-26 12:48:15№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-26 12:47:42№%:№%:60460495
Реконструкция Петровского моста завершена – глава Липецка поблагодарил строителей№%:№%:2018-12-26 12:14:35№%:№%:60460495
График работы медицинских учреждений Липецка в дни новогодних каникул№%:№%:2018-12-26 10:30:13№%:№%:60460495
Движение по главной переправе Липецка - Петровскому мосту - восстановлено№%:№%:2018-12-26 09:51:29№%:№%:60460495
После открытия Петровского моста работа общественного транспорта возобновляется в прежнем режиме№%:№%:2018-12-25 17:14:22№%:№%:60460495
Движение по Петровскому мосту откроют в ночь с 25 на 26 декабря№%:№%:2018-12-25 16:16:25№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-25 15:48:20№%:№%:60460495
Спасатели предупреждают липчан о непогоде№%:№%:2018-12-25 14:38:07№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-25 11:25:20№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-25 11:21:48№%:№%:60460495
Сергей Иванов: В новогодние праздники нужно обеспечить максимально комфортные условия для липчан№%:№%:2018-12-25 08:53:49№%:№%:60460495
Руководители Липецка подвели итоги года и поделились планами на будущее№%:№%:2018-12-25 08:53:03№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому №%:№%:2018-12-24 17:17:27№%:№%:60460495
Липчан приглашают станцевать под джаз в Доме музыки №%:№%:2018-12-24 16:40:45№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-24 14:29:16№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-24 14:26:30№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-24 14:21:38№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому№%:№%:2018-12-24 14:13:33№%:№%:60460495
Липчан приглашают на спортивно-развлекательный праздник «Новый год шагает по планете»№%:№%:2018-12-24 14:11:24№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому Липецк подводит итоги спортивного года№%:№%:2018-12-24 14:05:09№%:№%:60460495
Схему движения автобуса №19 изменят ремонтные работы №%:№%:2018-12-24 13:40:40№%:№%:60460495
В Липецке демонтируют порядка 50 старых афишных тумб №%:№%:2018-12-24 11:10:03№%:№%:60460495
Генеральная репетиция Нового года в Липецке завершилась ярким 14-минутным фейерверком№%:№%:2018-12-24 09:10:42№%:№%:60460495
#здоровыйрегион #липецкаяобласть #ЗдоровыйрегионгородЛипецк#ЭтоНужноЗнатьКаждому «Мы верим твердо в победу спорта» - в Липецке стартовал Единый день плавания «За здоровое будущее!» №%:№%:2018-12-22 13:28:32№%:№%:60460495
С городских магистралей с начала декабря вывезено 37 тысяч кубометров снега№%:№%:2018-12-22 12:36:53№%:№%:60460495
Четыре грузовика общим весом около ста тонн – Петровский мост испытывают на прочность№%:№%:2018-12-22 12:18:50№%:№%:60460495
Уборку липецких дворов от снега и льда в департаменте ЖКХ мониторят в режиме онлайн№%:№%:2018-12-22 11:52:26№%:№%:60460495
Более ста конфискованных елей – в Липецке начали борьбу с несанкционированной предновогодней торговлей№%:№%:2018-12-21 16:09:48№%:№%:60460495
