В субботу в Астраханской области ожидается небольшой снег№%:№%:2019-02-01 17:20:31№%:№%:56786071
Через 12 лет розыска в Москве задержали астраханского наркоторговца№%:№%:2019-02-01 09:55:25№%:№%:56786071
В Астрахань не пустили грузовики с зелёным чаем, молоком и мукой сомнительного качества№%:№%:2019-02-01 09:25:23№%:№%:56786071
Росконтроль нашёл на прилавках магазинов токсичный горох№%:№%:2019-02-01 09:15:30№%:№%:56786071
В Астрахани произошли пожары на чердаке жилого дома и в квартире, никто не пострадал№%:№%:2019-02-01 09:05:23№%:№%:56786071
Для людей, страдающих психическими расстройствами, построят новое отделение в Наримановском районе№%:№%:2019-02-01 08:55:08№%:№%:56786071
📺Утреннее шоу «Всем подъём!». 1 февраля 2019№%:№%:2019-02-01 08:54:05№%:№%:56786071
Икрянинские фермеры хотят завоевать астраханский грибной рынок№%:№%:2019-02-01 08:50:20№%:№%:56786071
На реке в Трусовском районе Астрахани сфотографировали загадочную постройку№%:№%:2019-02-01 08:46:03№%:№%:56786071
Строительство моста поможет решить транспортные проблемы в Икрянинском районе№%:№%:2019-02-01 08:25:14№%:№%:56786071
Гандболисты астраханского «Динамо» одержали победу над снежинским «Сунгулем»№%:№%:2019-02-01 08:05:17№%:№%:56786071
Пассажиры экономкласса  «Аэрофлота» будут пить бесплатно№%:№%:2019-02-01 07:31:02№%:№%:56786071
Астрахань присоединится ко Всемирному дню борьбы против рака№%:№%:2019-02-01 07:01:25№%:№%:56786071
Вышел в свет свежий номер «Газеты ВОЛГА»№%:№%:2019-02-01 06:35:09№%:№%:56786071
📺Центр новостей. 31 января 2019 20:00№%:№%:2019-01-31 21:59:09№%:№%:56786071
На “Астрахань 24” подробности аварии с участием пяти машин№%:№%:2019-01-31 19:50:08№%:№%:56786071
В первый день февраля в Астраханской области ожидается плюсовая температура№%:№%:2019-01-31 17:35:28№%:№%:56786071
В Астрахани возле ТЦ произошла массовая авария№%:№%:2019-01-31 17:06:06№%:№%:56786071
Владимир Путин: «Зарплата учителей не должна опускаться ниже средней по экономике в регионах»№%:№%:2019-01-31 16:41:47№%:№%:56786071
В Астраханской области три сотрудника линейного отдела полиции взяли сто тысяч рублей за молчание№%:№%:2019-01-31 15:40:11№%:№%:56786071
Жителям аварийного дома пришлось заявить на бездействие администрации Астрахани в прокуратуру№%:№%:2019-01-31 15:20:18№%:№%:56786071
В Астрахани водитель сломавшейся маршрутки, из-за которого школьник шёл 4 км, не помнит его№%:№%:2019-01-31 14:34:57№%:№%:56786071
В Астраханской области появится новый психоневрологический интернат№%:№%:2019-01-31 14:05:36№%:№%:56786071
Астраханец смог задержать грабителя, нападавшего по вечерам на женщин№%:№%:2019-01-31 14:04:15№%:№%:56786071
В одной из астраханских больниц произошла кража с продолжением№%:№%:2019-01-31 13:45:38№%:№%:56786071
Астраханка украла у подруги драгоценности, чтобы погулять на широкую ногу№%:№%:2019-01-31 13:20:39№%:№%:56786071
Почти 500 астраханцев приняли участие в поисковых экспедициях в 2018 году№%:№%:2019-01-31 13:15:32№%:№%:56786071
В Астрахани объявлен конкурс на главного архитектора города№%:№%:2019-01-31 12:16:18№%:№%:56786071
Теперь стентирование доступно для астраханцев бесплатно (ВИДЕО)№%:№%:2019-01-31 11:20:45№%:№%:56786071
Многодетные семьи Астраханской области смогут получить компенсацию вместо земельных участков (ВИДЕО)№%:№%:2019-01-31 11:16:53№%:№%:56786071
В Астрахани на рынке Большие Исады ловили незаконных торговцев№%:№%:2019-01-31 11:03:37№%:№%:56786071
В Астраханской области возбуждено уголовное дело в отношении глав Камызякского района и Камызяка№%:№%:2019-01-31 10:55:25№%:№%:56786071
Диджей одного из ночных клубов Астрахани ограбил посетительницу№%:№%:2019-01-31 10:05:04№%:№%:56786071
Астраханец проведёт в колонии 9 лет за убийство двоюродного брата в День Победы№%:№%:2019-01-31 09:46:37№%:№%:56786071
Иностранец предъявил астраханским пограничникам паспорт, собранный из чужого документа№%:№%:2019-01-31 09:16:25№%:№%:56786071
В Астраханской области появилось два новых аварийно-опасных участка№%:№%:2019-01-31 09:10:32№%:№%:56786071
«Астраханочка» победила «Динамо-Синару» в домашнем матче№%:№%:2019-01-31 08:55:26№%:№%:56786071
Поезда Астрахань-1 – Харабалинская будут делать две дополнительные остановки№%:№%:2019-01-31 08:45:51№%:№%:56786071
Дорогу на ул. Игарской приведут в порядок после устранения аварий на сетях водопровода№%:№%:2019-01-31 08:35:14№%:№%:56786071
В Астрахани школьнику пришлось идти пешком 4 км из-за жадного водителя маршрутки№%:№%:2019-01-31 08:25:29№%:№%:56786071
Поручения Сергея Морозова выполняются оперативно№%:№%:2019-01-31 08:20:39№%:№%:56786071
📺Утреннее шоу «Всем подъём!». 31 января 2019№%:№%:2019-01-31 08:19:08№%:№%:56786071
В Астраханской области горели автомобили, дом и хозпостройка№%:№%:2019-01-31 08:15:26№%:№%:56786071
Начать экспортировать просто!№%:№%:2019-01-31 08:05:38№%:№%:56786071
Астраханский регион получит субсидию на программы по обучению молодых матерей№%:№%:2019-01-31 07:05:13№%:№%:56786071
Астраханские дороги выставили на аукцион№%:№%:2019-01-31 06:35:09№%:№%:56786071
📺Центр новостей. 30 января 2019 20:00№%:№%:2019-01-30 21:09:05№%:№%:56786071
В последний день января в Астраханской области морозно и ветрено№%:№%:2019-01-30 17:40:53№%:№%:56786071
Астраханская область в группе лидеров по росту промышленного производства в стране№%:№%:2019-01-30 17:10:17№%:№%:56786071
В Астрахани на взятке поймали сотрудника «Администрации морских портов Каспийского моря»№%:№%:2019-01-30 16:22:36№%:№%:56786071
В Астраханской области директор управляющей компании «Комфорт Плюс» пойдёт под суд№%:№%:2019-01-30 15:50:38№%:№%:56786071
В Астрахань прибыли рефрижераторные контейнеры с цитрусовыми из Турции№%:№%:2019-01-30 15:20:31№%:№%:56786071
В Астрахани демонтировали несколько незаконных торговых точек на ул. Яблочкова и Маркина№%:№%:2019-01-30 15:06:16№%:№%:56786071
В Астрахани на улицах Барсовой и Рылеева до вечера не будет горячей воды и отопления№%:№%:2019-01-30 14:55:24№%:№%:56786071
В «Иллюзионе» пройдут бесплатные показы для многодетных семей и пенсионеров№%:№%:2019-01-30 14:46:09№%:№%:56786071
Астраханское «Динамо» проведёт выездные матчи против соперников из Снежинска и Уфы№%:№%:2019-01-30 14:35:12№%:№%:56786071
Стало известно, почему загорелась «газель» на ул. Яблочкова в Астрахани№%:№%:2019-01-30 14:25:23№%:№%:56786071
В Астраханской области идёт «охота» на маршрутки «с перегрузом» (ВИДЕО)№%:№%:2019-01-30 13:50:15№%:№%:56786071
У астраханки отобрали всю бытовую технику№%:№%:2019-01-30 13:31:34№%:№%:56786071
В Астрахани прошло первое в этом году заседание инвестиционного совета при региональном правительстве№%:№%:2019-01-30 13:03:10№%:№%:56786071
В Астраханской области арестовали автомобильного вора№%:№%:2019-01-30 12:30:54№%:№%:56786071
Белорусские гонщики начнут борьбу за звание чемпионов России в Астрахани№%:№%:2019-01-30 12:20:55№%:№%:56786071
Астраханец приютил незнакомку старше себя на 6 лет, а она в благодарность ограбила его№%:№%:2019-01-30 11:50:14№%:№%:56786071
В Астрахани после сообщений о ЧП начали эвакуировать больницы№%:№%:2019-01-30 11:40:33№%:№%:56786071
Что делать, если вы стали свидетелем аварии на газопроводе (ВИДЕО)№%:№%:2019-01-30 11:32:05№%:№%:56786071
Астраханский паратхэквондист готовится к соревнованиям в Москве (ВИДЕО)№%:№%:2019-01-30 11:20:36№%:№%:56786071
В Астраханской области под Новый год женщина порезала своего гостя№%:№%:2019-01-30 11:10:24№%:№%:56786071
В Астрахани район мясокомбината заволокло дымом от горящей «газели»№%:№%:2019-01-30 10:50:23№%:№%:56786071
Сегодня в астраханские школы звонят неизвестные и сообщают о возможных терактах№%:№%:2019-01-30 10:20:20№%:№%:56786071
Астраханец обманул семью почти на сто тысяч рублей, пообещав им престижную работу№%:№%:2019-01-30 10:10:09№%:№%:56786071
«Астраханочка-2» обыграла «Ставрополье-СУОР»№%:№%:2019-01-30 09:21:05№%:№%:56786071
В Астраханской области задержали браконьеров с «живодёрками»№%:№%:2019-01-30 09:02:05№%:№%:56786071
Астраханец забил ногами свою подругу до смерти№%:№%:2019-01-30 08:50:23№%:№%:56786071
Половина россиян заявили о поверхностном контроле за газовыми сетями в домах№%:№%:2019-01-30 08:40:09№%:№%:56786071
📺Утреннее шоу «Всем подъём!». 30 января 2019№%:№%:2019-01-30 08:39:04№%:№%:56786071
В Астрахани на ул. 4-й Котельной посреди дороги стоит мусорный контейнер№%:№%:2019-01-30 08:25:12№%:№%:56786071
В Астраханской области при пожарах в двух домах  спасены семь человек№%:№%:2019-01-30 08:20:12№%:№%:56786071
В России хотят отменить техосмотр автомобилей№%:№%:2019-01-30 07:50:12№%:№%:56786071
Астраханцы могут попасть на день открытых дверей в МФЦ№%:№%:2019-01-30 07:30:24№%:№%:56786071
В Астраханской области почти 6 тысяч человек заболели гриппом и простудой№%:№%:2019-01-30 07:10:12№%:№%:56786071
В Доме Тетюшинова открывается выставка мастеров лозоплетения№%:№%:2019-01-30 06:40:24№%:№%:56786071
📺Центр новостей. 29 января 2019 20:00№%:№%:2019-01-29 21:19:09№%:№%:56786071
В среду в Астраханской области тепло и солнечно№%:№%:2019-01-29 17:40:17№%:№%:56786071
В Астрахани началась подготовка к ежегодному фестивалю «Российская студенческая весна»№%:№%:2019-01-29 17:32:32№%:№%:56786071
Радик Харисов: Тепличное хозяйство «Зелёного города» работает неудовлетворительно№%:№%:2019-01-29 17:20:29№%:№%:56786071
Астраханцев ждут «Четыре художника»№%:№%:2019-01-29 17:10:39№%:№%:56786071
Ищите натуральную молочную продукцию в магазинах на особых полках№%:№%:2019-01-29 16:40:37№%:№%:56786071
В Астрахани продающий мебель бизнесмен скрыл от налоговой более 3 миллионов рублей№%:№%:2019-01-29 16:15:57№%:№%:56786071
Рыбак ушёл под лёд на реке Кизань в Астраханской области№%:№%:2019-01-29 15:01:32№%:№%:56786071
В Астраханской области неизвестный прислал ученику сообщение о взрывном устройстве в школе№%:№%:2019-01-29 14:46:31№%:№%:56786071
В селе Зеленга устранили проблему с электроснабжением№%:№%:2019-01-29 14:41:27№%:№%:56786071
В Астрахани четыре друга поставили студента «на счётчик», как в 90-х№%:№%:2019-01-29 14:35:25№%:№%:56786071
Министр иностранных дел РФ Сергей Лавров встретился с врио губернатора Астраханской области (ВИДЕО)№%:№%:2019-01-29 14:30:26№%:№%:56786071
В астраханском «Волгаре» новый футболист№%:№%:2019-01-29 13:46:20№%:№%:56786071
Поликлинику в селе Солянка оснащают новым оборудованием№%:№%:2019-01-29 13:30:45№%:№%:56786071
У астраханца угнали автомобиль, пока он ходил на свидание№%:№%:2019-01-29 13:25:21№%:№%:56786071
В астраханской Александро-Мариинской больнице новый главный врач№%:№%:2019-01-29 13:05:45№%:№%:56786071
Сергей Морозов побывал в ЗАГСе№%:№%:2019-01-29 12:32:14№%:№%:56786071
Сергей Морозов поблагодарил астраханских полицейских за успехи в раскрываемости преступлений№%:№%:2019-01-29 12:15:11№%:№%:56786071
Астраханец потратил заработанные биткоины на покупку наркотиков для себя и бабушки№%:№%:2019-01-29 12:05:48№%:№%:56786071
В астраханской консерватории прозвучала классика в исполнении дуэта рояля и органа (ВИДЕО)№%:№%:2019-01-29 11:55:16№%:№%:56786071
Астраханские школьники и студенты стали участниками программы «Улётный экспресс» (ВИДЕО)№%:№%:2019-01-29 11:45:09№%:№%:56786071
Какие приложения лучше всего использовать для изучения английского языка№%:№%:2019-01-29 11:15:16№%:№%:56786071
Астраханец напоил и ограбил друга№%:№%:2019-01-29 11:10:30№%:№%:56786071
В Астраханской области две женщины избили полицейского№%:№%:2019-01-29 11:05:23№%:№%:56786071
В Астрахани пройдёт «Фестиваль профессий»№%:№%:2019-01-29 10:45:33№%:№%:56786071
Думаете, что подарить? №%:№%:2019-01-29 10:26:00№%:№%:56786071
Астраханцы могут напрямую обратиться к региональному и.о. министра экономразвития№%:№%:2019-01-29 10:25:29№%:№%:56786071
В микрорайоне Астрахань-2 из-за срочного ремонта отключили горячую воду№%:№%:2019-01-29 10:05:45№%:№%:56786071
📺Утреннее шоу «Всем подъём!». 29 января 2019№%:№%:2019-01-29 10:00:18№%:№%:56786071
В Астраханской области два безработных браконьера поймали почти центнер рыбы№%:№%:2019-01-29 09:31:01№%:№%:56786071
В Астраханской области будут судить продавца жевательного табака№%:№%:2019-01-29 09:20:11№%:№%:56786071
Астраханский биосферный заповедник объявил о наборе волонтёров№%:№%:2019-01-29 09:10:43№%:№%:56786071
Астраханцы могут узнать о безопасности молочной продукции на горячей линии Роспотребнадзора№%:№%:2019-01-29 09:05:26№%:№%:56786071
В России зафиксирован рост числа поддельных купюр номиналом две тысячи рублей№%:№%:2019-01-29 08:50:24№%:№%:56786071
Сбытчик фальшивых антикварных монет из Астрахани пытался дать взятку полицейскому в Калининграде№%:№%:2019-01-29 08:45:22№%:№%:56786071
В Астраханской области произошли пожары в вентиляционной шахте и жилых домах, спасены 13 человек№%:№%:2019-01-29 08:40:16№%:№%:56786071
«Астраханочка-2» разгромила ставропольских соперниц№%:№%:2019-01-29 08:35:17№%:№%:56786071
«Астраханочка» сразится в домашнем матче с «Динамо-Синарой»№%:№%:2019-01-29 07:35:17№%:№%:56786071
В Астрахани на ул. Бабушкина завтра не будет газа№%:№%:2019-01-29 07:01:03№%:№%:56786071
Вышел в свет свежий номер «Газеты ВОЛГА»№%:№%:2019-01-29 06:35:06№%:№%:56786071
📺Центр новостей. 28 января 2019 20:00№%:№%:2019-01-28 21:49:06№%:№%:56786071
Во вторник в Астраханской области пасмурно и тепло№%:№%:2019-01-28 17:40:33№%:№%:56786071
Астраханка заплатит штраф за прописку в своей квартире иностранцев№%:№%:2019-01-28 17:35:11№%:№%:56786071
На кого чаще всего жалуются россияне№%:№%:2019-01-28 17:20:18№%:№%:56786071
Астраханским активистам не хватает волонтёров для поиска пропавшего студента АГТУ№%:№%:2019-01-28 17:15:25№%:№%:56786071
Астраханцы могут познакомиться с личными вещами защитников Ленинграда№%:№%:2019-01-28 16:25:06№%:№%:56786071
В России вступили в силу новые ограничения по процентам и неустойкам по кредитам№%:№%:2019-01-28 14:55:17№%:№%:56786071
В Астрахани продолжается ликвидация крупных несанкционированных свалок№%:№%:2019-01-28 13:35:15№%:№%:56786071
Система электронной очереди появилась на вокзале в Астрахани№%:№%:2019-01-28 13:25:23№%:№%:56786071
Пьяный астраханец, желавший увидеть детей, порезал своего бывшего шурина№%:№%:2019-01-28 12:55:07№%:№%:56786071
Астраханская кошка с пулей у сердца отправилась жить в краснодарский питомник№%:№%:2019-01-28 12:45:46№%:№%:56786071
В Астрахани 34 водителя заплатят более миллиона рублей штрафа за пьяное вождение№%:№%:2019-01-28 12:40:47№%:№%:56786071
В Астрахани будут судить психиатра, отпустившего на свободу убийцу маленькой девочки (ВИДЕО)№%:№%:2019-01-28 12:35:23№%:№%:56786071
Более десяти тысяч жителей Астраханской области остаются отрезанными от «большой земли» (ВИДЕО)№%:№%:2019-01-28 11:55:09№%:№%:56786071
Состав натуральной молочной продукции в Астрахани остаётся секретом для покупателей (ВИДЕО)№%:№%:2019-01-28 11:50:10№%:№%:56786071
В Астраханской области на трассе из-за  тумана перевернулся внедорожник. Погибла женщина№%:№%:2019-01-28 11:45:44№%:№%:56786071
У «Астрахань 24» появились подробности серьёзной аварии с двумя пострадавшими№%:№%:2019-01-28 11:05:08№%:№%:56786071
В Астрахани доброжелательный водитель оказался вором№%:№%:2019-01-28 10:55:25№%:№%:56786071
Астраханцев приглашают на 18-е Дельфийские игры№%:№%:2019-01-28 10:31:16№%:№%:56786071
Директора детской здравницы «Берёзка» признали виновным в незаконном присвоении денег№%:№%:2019-01-28 10:15:58№%:№%:56786071
В Астраханской области браконьеру из Дагестана грозит до трёх лет колонии за рыбалку№%:№%:2019-01-28 09:45:42№%:№%:56786071
Инвалидам и ветеранам с 1 февраля проиндексируют пособия и компенсации№%:№%:2019-01-28 09:35:32№%:№%:56786071
В Астраханской области мужчина незаконно наловил рыбу более чем на 150 тысяч рублей№%:№%:2019-01-28 09:15:19№%:№%:56786071
Большинство россиян считают, что взрослые дети должны жить отдельно от родителей№%:№%:2019-01-28 09:05:19№%:№%:56786071
В Астраханской области сфотографировали дверь подъезда с навесным замком№%:№%:2019-01-28 08:55:15№%:№%:56786071
📺Утреннее шоу «Всем подъём!». 28 января 2019№%:№%:2019-01-28 08:54:04№%:№%:56786071
Забавного зверька сняли на видео у моста в центре Астрахани (ВИДЕО)№%:№%:2019-01-28 08:40:40№%:№%:56786071
В Астрахани столкнулись автобус и легковушка, есть пострадавшие№%:№%:2019-01-28 08:35:09№%:№%:56786071
В Астрахани горели мусорные баки и окно в жилом доме, никто не пострадал№%:№%:2019-01-28 08:25:16№%:№%:56786071
Представители Общественного совета при УМВД России по Астраханской области проведут приём граждан№%:№%:2019-01-28 07:45:06№%:№%:56786071
Анонс спортивных мероприятий в Астрахани на этой неделе№%:№%:2019-01-28 07:25:08№%:№%:56786071
Астраханцев приглашают послушать Штрауса в исполнении виртуозной пианистки№%:№%:2019-01-28 07:05:17№%:№%:56786071
На ул. Кирова из-за ремонтных работ завтра не будет газа№%:№%:2019-01-28 06:35:09№%:№%:56786071
В Астрахани 18-летний водитель на «Ладе» врезался в дерево на скорости№%:№%:2019-01-27 20:22:31№%:№%:56786071
В понедельник в Астраханской области до +5 °С№%:№%:2019-01-27 17:01:00№%:№%:56786071
Фигурное катание: какие коньки подойдут именно тебе№%:№%:2019-01-27 16:01:00№%:№%:56786071
На  «Астрахань 24» информационный выпуск Редакции Прикаспийских государств№%:№%:2019-01-27 15:03:13№%:№%:56786071
Понедельник астраханцы с улицы Железнодорожной проведут без газа№%:№%:2019-01-27 14:31:07№%:№%:56786071
«Мама, я хочу стать каратистом»: почему нужно поддержать своего ребёнка№%:№%:2019-01-27 14:05:38№%:№%:56786071
Бездомные животные. Как решается эта проблема в Астраханской области№%:№%:2019-01-27 13:35:22№%:№%:56786071
Как сказать еде «стоп!»№%:№%:2019-01-27 13:05:36№%:№%:56786071
Не чёрный и не зелёный, но полезный№%:№%:2019-01-27 12:35:17№%:№%:56786071
Две тысячи многодетных семей получат земельные участки в 2019 году№%:№%:2019-01-27 12:20:28№%:№%:56786071
Истеричка в семье: что делать?№%:№%:2019-01-27 12:03:07№%:№%:56786071
Астраханская молодёжь приглашает присоединиться к челленджу№%:№%:2019-01-27 11:05:10№%:№%:56786071
Как отрастить волосы№%:№%:2019-01-27 10:37:57№%:№%:56786071
Как мотивировать сотрудника№%:№%:2019-01-27 10:05:43№%:№%:56786071
«Мама, я хочу собаку». Как к этому быть готовым?№%:№%:2019-01-27 09:05:08№%:№%:56786071
В Астрахани 7 спасателей тушили пылающий автомобиль№%:№%:2019-01-26 18:10:26№%:№%:56786071
В воскресенье в Астраханской области тепло и пасмурно№%:№%:2019-01-26 17:02:16№%:№%:56786071
Щитовидная железа: как понять, что пора к врачу№%:№%:2019-01-26 16:35:09№%:№%:56786071
Чего ждать от театра№%:№%:2019-01-26 16:05:34№%:№%:56786071
В посёлке Мирный Астраханской области построят новую школу№%:№%:2019-01-26 16:02:21№%:№%:56786071
Астрахань очистят от 700 кубов мусора№%:№%:2019-01-26 15:50:18№%:№%:56786071
Как проходил кастинг в утреннем шоу «Всем подъём!»№%:№%:2019-01-26 15:02:05№%:№%:56786071
Чем отличается молодёжная библиотека от других№%:№%:2019-01-26 14:35:35№%:№%:56786071
Что сделать, чтобы он не кололся№%:№%:2019-01-26 14:01:09№%:№%:56786071
Как в домашних условиях вырастить ёлку№%:№%:2019-01-26 13:31:25№%:№%:56786071
Секретные занятия для идеального тела№%:№%:2019-01-26 13:02:02№%:№%:56786071
Макияж, который не отпечатается на подушке№%:№%:2019-01-26 12:35:15№%:№%:56786071
Известные блогер и психолог «блокируют» хейтеров№%:№%:2019-01-26 12:01:16№%:№%:56786071
Что будет с астраханским рынком недвижимости№%:№%:2019-01-26 11:31:32№%:№%:56786071
📺Центр новостей. 26 января 2019 11:30№%:№%:2019-01-26 11:04:10№%:№%:56786071
К кому обратиться, если работодатель – тиран№%:№%:2019-01-26 11:03:00№%:№%:56786071
В мире появился человек, который нашёл способ, как уничтожить планету№%:№%:2019-01-26 10:01:27№%:№%:56786071
Что думают астраханские родители о школьных обедах (ВИДЕО)№%:№%:2019-01-26 09:05:09№%:№%:56786071
📺Центр новостей. 25 января 2019 20:00№%:№%:2019-01-25 23:34:06№%:№%:56786071
«Аэрофлот» отменил и перенёс астраханские рейсы из-за непогоды№%:№%:2019-01-25 21:10:25№%:№%:56786071
Молодым управленцам Астраханской области дадут возможность попасть в «Губернаторский резерв»№%:№%:2019-01-25 20:50:10№%:№%:56786071
Сергей Морозов поручил отремонтировать зал Дома культуры в селе Волжском№%:№%:2019-01-25 20:40:10№%:№%:56786071
В субботу в Астраханской области нулевая температура№%:№%:2019-01-25 18:07:34№%:№%:56786071
Решён ряд проблем, обозначенных в обращениях граждан в адрес врио губернатора Астраханской области№%:№%:2019-01-25 17:46:01№%:№%:56786071
На перекрёстке улиц Боевой и Бакинской появились новые светофоры№%:№%:2019-01-25 17:31:21№%:№%:56786071
Астраханская область готовит обращение по вопросу оказания медпомощи неизлечимым пациентам№%:№%:2019-01-25 16:46:11№%:№%:56786071
Медсестра присвоила почти 300 тысяч рублей, принадлежащих астраханской поликлинике№%:№%:2019-01-25 16:35:29№%:№%:56786071
И.о. руководителя администрации губернатора Астраханской области провёл личный приём граждан№%:№%:2019-01-25 16:30:40№%:№%:56786071
Астраханские школьники примут участие в олимпиаде по татарскому языку и литературе№%:№%:2019-01-25 16:25:17№%:№%:56786071
📺Центр новостей. 25 января 2019 15:00№%:№%:2019-01-25 15:44:07№%:№%:56786071
Спортсмены из «Волгаря» будут развивать футбол в астраханских сёлах№%:№%:2019-01-25 15:30:50№%:№%:56786071
В Красноярском районе скоро откроют объезды аварийных мостов№%:№%:2019-01-25 15:25:17№%:№%:56786071
В Астрахани наградили победителей конкурса среди организаций, помогающих наркозависимым№%:№%:2019-01-25 14:45:13№%:№%:56786071
В семи астраханских клиниках с услугами по пластической хирургии выявили нарушения (ВИДЕО)№%:№%:2019-01-25 14:40:05№%:№%:56786071
📺Утреннее шоу «Всем подъём!». 25 января 2019№%:№%:2019-01-25 14:39:05№%:№%:56786071
Астраханцы отправятся на поиски пропавшего студента Сергея Коровайного№%:№%:2019-01-25 14:16:28№%:№%:56786071
В новом году резко подорожало мясо кур№%:№%:2019-01-25 14:00:44№%:№%:56786071
В Астраханской области двое подростков похитили имущество у пенсионерки-дачницы№%:№%:2019-01-25 13:31:28№%:№%:56786071
В России ожидается подорожание хлеба№%:№%:2019-01-25 13:20:35№%:№%:56786071
Поезд сообщением Москва – Астрахань застрял под Волгоградом№%:№%:2019-01-25 13:10:28№%:№%:56786071
В Астрахани пьяный мужчина зря похвастался большой суммой денег перед женщинами№%:№%:2019-01-25 12:40:38№%:№%:56786071
В России переходят на новую антигриппозную вакцину№%:№%:2019-01-25 11:55:12№%:№%:56786071
Спасателям из Харабалинского района вручили ключи от новой пожарной машины№%:№%:2019-01-25 11:45:29№%:№%:56786071
У астраханцев в квитанциях за ЖКХ появится новый пункт о страховании жилья№%:№%:2019-01-25 11:32:18№%:№%:56786071
В субботу все астраханские больницы и поликлиники будут открыты для пациентов№%:№%:2019-01-25 11:25:10№%:№%:56786071
В Астрахани на пл. Свободы и ул. Каховского ликвидировали 22 незаконные торговые точки№%:№%:2019-01-25 11:15:52№%:№%:56786071
Житель Астраханской области пытался провезти через границу 30 млн рублей в банках№%:№%:2019-01-25 11:02:42№%:№%:56786071
Сергей Морозов поручил проработать вопрос организации маршрута от Разночиновки до Солянки№%:№%:2019-01-25 10:55:20№%:№%:56786071
Изменилось расписание пригородного поезда Астрахань-1 – Харабалинская№%:№%:2019-01-25 10:35:08№%:№%:56786071
Астраханский ТЮЗ приглашает на встречу с актёрами спектакля «Дубровский»№%:№%:2019-01-25 10:25:20№%:№%:56786071
Астраханский клуб по мини-футболу «Дельта» сыграет против якутских соперников№%:№%:2019-01-25 10:17:00№%:№%:56786071
Прокуратура Астраханской области заставила коммунальщиков «выйти из сумрака»№%:№%:2019-01-25 09:55:35№%:№%:56786071
В Астраханской области за взятку будут судить главного государственного инспектора№%:№%:2019-01-25 09:25:15№%:№%:56786071
Астраханские студенты спасают цивилизацию от экологической катастрофы№%:№%:2019-01-25 09:05:55№%:№%:56786071
У астраханца арестовали все счета из-за долгов за коммуналку№%:№%:2019-01-25 08:55:24№%:№%:56786071
Астраханская фабрика «Дельта» готова принять на работу сто швей№%:№%:2019-01-25 08:45:31№%:№%:56786071
В Астраханской области за сутки сгорели гараж, автомобиль и строительные материалы№%:№%:2019-01-25 08:35:17№%:№%:56786071
Из-за сильного снегопада поезда из Москвы и Санкт-Петербурга в Астрахань задержали№%:№%:2019-01-25 08:32:06№%:№%:56786071
Астраханский театр оперы и балета приглашает на Carmina Burana и «Пиаф»№%:№%:2019-01-25 08:05:32№%:№%:56786071
В Астрахани пройдёт «Том Сойер Фест»№%:№%:2019-01-25 07:45:44№%:№%:56786071
В астраханской детской библиотеке открылась арт-студия «Анимашка» для слабовидящих детей№%:№%:2019-01-25 07:25:12№%:№%:56786071
Астраханцев приглашают «Всей семьёй в филармонию» на бесплатный концерт№%:№%:2019-01-25 06:45:20№%:№%:56786071
Вышел в свет свежий номер «Газеты ВОЛГА»№%:№%:2019-01-25 06:05:08№%:№%:56786071
📺Центр новостей. 24 января 2019 20:00№%:№%:2019-01-24 21:24:09№%:№%:56786071
