11 февраля мы переходим с аналогового вещания на цифру 📺№%:№%:2019-01-24 16:37:15№%:№%:41682535
Сегодня в ряд школ города Ульяновска поступило сообщение о минировании их взрывными устройствами. В часть образовательных учреждений анонимное сообщение с угрозами руководству школы поступило на электронную почту. По данным из соцсетей, на данный момент известно, что, в связи с этим эвакуированы школы №52, 51, 21, 66, 56, 17, 64. На места оперативно прибыли ОМОН, пожарные и медики.№%:№%:2019-01-30 13:41:16№%:№%:41682535
Улица Гончарова ☺№%:№%:2019-01-30 13:16:06№%:№%:41682535
В здании областного правительства прошло первое в этом году заседание совета региона. Дискуссионный орган действует уже несколько лет, в него входят представители всех политических партий Ульяновской области. На встречах стороны обсуждают проблемы, волнующие избирателей, реализацию национальных проектов, а также проблемы, возникающие на политической арене.№%:№%:2019-01-30 12:10:06№%:№%:41682535
Губернатор Ульяновской области Сергей Морозов назвал борьбу с бедностью приоритетным направлением работы. В регионе создадут специальный коллегиальный орган для выработки мер по поддержке людей с доходами ниже прожиточного минимума и реестр получателей социальной помощи.№%:№%:2019-01-30 11:04:01№%:№%:41682535
По состоянию на 29 января, с территории Ульяновска, Димитровграда, Инзы и райцентров сельских муниципальных образований вывезено 95% новогодних деревьев. На текущей неделе данная работа будет завершена. №%:№%:2019-01-30 09:49:39№%:№%:41682535
Губернатор Ульяновской области посетил городскую клиническую больницу №1№%:№%:2019-01-30 08:46:00№%:№%:41682535
С февраля в ульяновском центре компетенций «Цифровая экономика» стартуют новые программы подготовки: «Продукты и технологии виртуальной и дополненной реальности» и «Продукты и технологии систем распределённого реестра». Информация будет доноситься до студентов в виде традиционных лекций, мастер-классов от профессионалов в области VR/AR и блокчейн, а также хакатонов, через индивидуальное обучение, «сборку» и продвижение проекта.№%:№%:2019-01-30 08:02:01№%:№%:41682535
В Ульяновской области начался месячник спортивно-массовой и героико-патриотической работы. Одним из первых мероприятий месячника уже второй год становятся соревнования по юнармейскому многоборью.№%:№%:2019-01-30 07:12:00№%:№%:41682535
Доброе утро,Ульяновск!№%:№%:2019-01-30 06:12:00№%:№%:41682535
По словам заместителя губернатора Сергея Люлькова, Ульяновская область оказалась в числе регионов, выбранных Центральным военным округом для создания филиала военно-патриотического паркового комплекса «Патриот». Парк имени генерала Василия Маргелова станет одной из его площадок.№%:№%:2019-01-29 21:02:01№%:№%:41682535
Региональный этап популярных всероссийских соревнований по хоккею с шайбой состоялся в нашем регионе в минувшие выходные. Турнир юных хоккеистов «Золотая шайба» имени Анатолия Владимировича Тарасова проходил в физкультурно-оздоровительном комплексе «Лидер» 26 и 27 января.№%:№%:2019-01-29 17:55:00№%:№%:41682535
Аналоговое вещание уйдёт в прошлое, уступив место цифровому, – 11 февраля произойдёт смена эпохи телерадиовещания. Накануне грандиозного события в Ульяновск приехал Алексей Волин – заместитель министра цифрового развития, связи и массовых коммуникаций Российской Федерации. Столичный гость рассказал о параметрах готовности регионов к техническому прогрессу.№%:№%:2019-01-29 16:41:12№%:№%:41682535
Команда RoboLife УлГТУ под руководством декана ФИСТ Кирилла Святова в настоящий момент занимается разработкой всепогодного и всесезонного беспилотного автомобиля. №%:№%:2019-01-29 14:02:03№%:№%:41682535
В понедельник аппаратное совещание состоялось в Чердаклах. В начале заседания глава Ульяновской области поблагодарил руководителей районов за проведение мероприятий в память о 75-летии со дня снятия блокады Ленинграда. День воинской славы отмечался вчера.№%:№%:2019-01-29 12:58:00№%:№%:41682535
На минувшей неделе ведущие эксперты инвестиционной отрасли собрались в Ульяновске на юбилейной пятой международной конференции «Требования инвесторов – действия власти». Гостей форума принимал ульяновский станкостроительный завод «ДМГ Мори», участниками конференции стали как международные и российские консалтинговые агентства, так органы федеральной исполнительной власти и ассоциации, содействующие ведению бизнеса в регионах России.№%:№%:2019-01-29 11:54:00№%:№%:41682535
Киноконцертный комплекс "Современник" в Железнодорожном районе Ульяновска 🎬№%:№%:2019-01-29 10:49:00№%:№%:41682535
Медицинские учреждения постепенно преображаются, к единому стандарту качества привели и детскую поликлинику на Орлова. Качественный ремонт и новое оборудование уже оценили и родители, и доктора.№%:№%:2019-01-29 09:45:00№%:№%:41682535
Сергей Морозов поручил выделить средства фонду защиты прав дольщиков. Такое распоряжение глава региона озвучил во время встречи с руководителями инициативных групп проблемных многоквартирных домов Ульяновска, которая состоялась 25 января.№%:№%:2019-01-29 08:39:00№%:№%:41682535
Мусоросортировочный комплекс третьей зоны, обслуживающий территории Заволжья, Старомайнского и Чердаклинского районов, запущен в конце прошлого года и располагается в селе Красный Яр. 28 января глава региона Сергей Морозов проверил работу регоператора «УК Экостандарт». По предварительным итогам января, всего около 12% собранных ТКО были обработаны, это порядка 8 тысяч тонн. №%:№%:2019-01-29 07:50:00№%:№%:41682535
В минувший четверг в Ульяновской области был дан старт новой бизнес-структуре, получившей название регионального торгового союза. Подписи под документом поставили руководители АО «Гулливер», ООО «Агроторг», торговых домов «Перекресток» и «Сделано в Ульяновской области», Ульяновского областного союза потребительских кооперативов и АНО «Ассоциация торговли».№%:№%:2019-01-29 06:50:00№%:№%:41682535
Рассвет над городом ☀№%:№%:2019-01-29 05:39:00№%:№%:41682535
В Ульяновске подвели итоги работы транспортного комплекса за 2018 год. №%:№%:2019-01-28 20:14:01№%:№%:41682535
В минувшую пятницу министр здравоохранения Ульяновской области Сергей Панченко посетил детскую поликлинику №2, которая на днях вновь открыла двери для маленьких пациентов после продолжительного ремонта.№%:№%:2019-01-28 18:59:00№%:№%:41682535
Город в лучах зимнего заката 😍№%:№%:2019-01-28 17:52:00№%:№%:41682535
Несколько минут назад в официальном аккаунте пресс-службы губернатора Ульяновской области было опубликовано заявление пресс-службы губернатора и правительства Ульяновской области по ситуации в Димитровграде.№%:№%:2019-01-28 16:59:14№%:№%:41682535
#цифра@ul #Ульяновскаяобласть№%:№%:2019-01-28 15:21:00№%:№%:41682535
В Ульяновске прошли памятные мероприятия, посвященные 75-летию со дня освобождения Ленинграда от фашистской блокады.№%:№%:2019-01-28 14:13:08№%:№%:41682535
В Ульяновской области разработали стратегию социально-экономического развития до 2030 года. Она соответствует принципам и направлениям, которые обозначил для страны в своем указе от 7 мая президент России Владимир Путин. 25 января на совещании под руководством губернатора Сергея Морозова прошло предварительное обсуждение документа. Впереди еще общественное слушание.№%:№%:2019-01-28 12:50:00№%:№%:41682535
На Маришкином роднике 🦆 №%:№%:2019-01-28 11:40:46№%:№%:41682535
Ульяновцы почтили память погибших в День полного освобождения Ленинграда. Вчера на площади 30-летия Победы собрались первые лица региона, общественные деятели и горожане. А далее в судьбоносном для региона месте дали старт военно-патриотическому месячнику. №%:№%:2019-01-28 10:45:00№%:№%:41682535
Не знаете, что почитать? Специально для вас УлправдаТВ и [club43117574|Ульяновская областная научная библиотека им. В.И. Ленина] собрали все лучшее и интересное в новом интересном проекте. Актуальные и популярные книжные новинки, рекомендации и советы экспертов – все это в еженедельной программе «Дежурный по чтению».№%:№%:2019-01-28 09:48:00№%:№%:41682535
Губернатор поручил профильным ведомствам проконсультироваться с научными музейными сообществами, послушать экспертов и составить план работ в парке Дружбы народов и на прилегающей территории.№%:№%:2019-01-28 08:50:00№%:№%:41682535
Доброе утро! 😺№%:№%:2019-01-28 07:55:01№%:№%:41682535
#цифра@ul #образование #Ульяновскаяобласть№%:№%:2019-01-27 16:53:00№%:№%:41682535
№%:№%:2019-01-27 15:53:00№%:№%:41682535
Вид на Волгу с гостиницы Венец 😊№%:№%:2019-01-27 13:53:00№%:№%:41682535
9 февраля пойдет самая массовая лыжная гонка страны «Лыжня России». Забеги запланированы во всех районах Ульяновской области, центральный старт состоится на биатлонной базе «Заря» на Верхней Террасе.№%:№%:2019-01-27 12:22:00№%:№%:41682535
№%:№%:2019-01-27 11:37:28№%:№%:41682535
В Ульяновской области подвели итоги работы транспортного комплекса за 2018 год. Совещание прошло на предприятии ПАТП-1.№%:№%:2019-01-27 10:08:58№%:№%:41682535
№%:№%:2019-01-27 06:47:00№%:№%:41682535
В 2020-м году Ульяновской области предстоит целая череда крупных дат и юбилеев, среди которых 75-летие Победы, 50-летие Ленинского мемориала и 150-летие Владимира Ленина, к которому регион уже готовится. Губернатор Ульяновской области Сергей Морозов отмечает, что этот юбилей должен будет стать для региона не менее знаковым, чем стал юбилей столетний.№%:№%:2019-01-26 11:30:02№%:№%:41682535
По словам министра здравоохранения Ульяновской области Сергея Панченко, в 2019 году в Ульяновске появилось на свет уже более 400 детей. «Мы продолжим работать над повышением качества медицинского обслуживания беременных женщин и новорожденных детей, а также снижением показателя младенческой смертности», — сообщил министр.№%:№%:2019-01-26 07:30:00№%:№%:41682535
Сегодня на совещании по финансово-экономическим вопросам [id42660369|Сергей Морозов] сообщил о серьезном переформатировании представительства Ульяновской области в Москве с учетом сокращения трат и руководящего состава. №%:№%:2019-01-25 20:38:00№%:№%:41682535
Список стадионов, где можно покататься на коньках:№%:№%:2019-01-25 17:41:00№%:№%:41682535
24 января глава региона Сергей Морозов и руководитель ФМБА России Владимир Уйба посетили федеральный ФВЦМР в Димитровграде и проверили степень готовности уникального учреждения к началу эксплуатации.№%:№%:2019-01-25 16:30:02№%:№%:41682535
Ульяновская команда КВН «Селивановы» выступит на гала-концерте фестиваля «КиВиН-2019» в Сочи. Теперь их творчество оценит Александр Масляков и Александр Масляков-младший, а также другие именитые члены жюри. Если шутки ульяновцев им понравятся, то есть все шансы попасть в Высшую лигу КВН.№%:№%:2019-01-25 15:23:36№%:№%:41682535
Недавние снегопады остались не только в воспоминаниях ульяновцев – ледяные глыбы до сих пор лежат на обочинах дорог. И вроде грейдеры и погрузчики каждый день выезжают на уборку снега. Однако для борьбы с гололедицей одних ковшей и щёток недостаточно, поэтому необходима обработка специальными составами.№%:№%:2019-01-25 13:38:00№%:№%:41682535
Российский инвестиционный форум пройдет с 14 по 15 февраля в Сочи. Главной темой РИФ-2019 станет «Национальные проекты: от стратегии к действию». №%:№%:2019-01-25 12:30:03№%:№%:41682535
В связи с обильными снегопадами на территории Ульяновской области введён режим повышенной готовности. Из-за сложных погодных условий глава региона поручил главам муниципальных образований региона в кратчайшие сроки навести порядок на дорогах и общественных пространствах, организовав круглосуточные уборку и вывоз снега.№%:№%:2019-01-25 11:30:04№%:№%:41682535
Ульяновский аграрный университет, согласно анализу базы данных Федерального института промышленной собственности, в 2018 году стал первым среди 54 вузов Минсельхоза России по количеству патентов. По информации вуза, за последние 5 лет сотрудники и студенты вуза получили 617 патентов.№%:№%:2019-01-25 10:22:00№%:№%:41682535
Доброе морозное утро! ☺№%:№%:2019-01-25 09:14:57№%:№%:41682535
Создание новой организации стало одной из тем первой региональной конференции молодых семей, которая прошла 23 января.В ассоциацию войдут представители от каждого муниципалитета, будет создан президиум, а целью новой структуры станет распространение опыта, поддержка и продвижение идей семьи, защита потребностей молодых семей, обозначение их проблем и попытки их решить в связи с различными структурными подразделениями и общественными организациями. Участие в конференции приняли около 150 человек со всех районов области.№%:№%:2019-01-25 08:16:00№%:№%:41682535
С 11 февраля 2019 года Ульяновская область переходит на цифровое вещание.👍🏻📺🇷🇺№%:№%:2019-01-25 08:00:05№%:№%:41682535
XXIX Всемирная зимняя Универсиада-2019 пройдёт в Красноярске со 2 по 12 марта. Ульяновская область присоединилась к всероссийской акции «Уроки Универсиады». Её мероприятия уже стартовали и продлятся до 28 января. В рамках акции школьники региона встретятся с знаменитыми атлетами Ульяновской области, пройдут мастер-классы, спортивные соревнования.№%:№%:2019-01-24 21:53:00№%:№%:41682535
Метёт сегодня ❄ №%:№%:2019-01-24 21:48:34№%:№%:41682535
Министерство образования распорядилось провести внеплановые проверки пропускного режима во всех общеобразовательных школах, детских садах и учреждениях дополнительного образования.№%:№%:2019-01-24 19:16:00№%:№%:41682535
В ульяновских вузах в Татьянин день пройдут около 30 мероприятий. С планом мероприятий ко Дню российского студенчества можно ознакомится по ссылке http://molpol.ulgov.ru/news/270.html№%:№%:2019-01-24 18:53:00№%:№%:41682535
Очередное внеочередное заседание Городской думы Димитровграда оказалось неожиданно продуктивным. Несмотря на то, что изначально заявлен был лишь один вопрос, в итоге депутаты приняли решение сразу по 3. И все они вызывают массу вопросов. №%:№%:2019-01-24 17:59:00№%:№%:41682535
Во дворце творчества детей и молодежи прошел финал регионального конкурса юных краеведов «Ульяновская область: прошлое, настоящее, будущее».№%:№%:2019-01-24 15:56:00№%:№%:41682535
Уже весной этого года на димитровградских дорогах появится 30 новых автобусов. 20 из них приобретут перевозчики. Ещё 10 — региональное правительство. Об этом было заявлено на специальном совещании под председательством губернатора Ульяновской области.№%:№%:2019-01-24 14:50:00№%:№%:41682535
Город под крылом самолета ✈№%:№%:2019-01-24 13:47:19№%:№%:41682535
С января по май 2019 года 1097 ульяновских старшеклассников будут получать по 800 рублей в месяц за отличную учебу. По словам министра образования и науки Ульяновской области Натальи Семеновой, такую стипендию могут получать старшеклассники, окончившие с пятёрками по всем предметам прошлый учебный год и первое полугодие текущего.№%:№%:2019-01-24 12:41:00№%:№%:41682535
26 января на площадке в Новом городе пройдут соревнования по стандартам «ИкаР»-старт. Это часть проекта «Инженерные кадры России»-2019: «Моя Россия. Создаем будущее, сохраняя традиции». Ожидается участие более 30 человек, в том числе команды по роботехнике из Димитровграда.№%:№%:2019-01-24 11:34:58№%:№%:41682535
Ульяновские археологи подвели итоги и представили самые яркие события полевого сезона 2018 года. Наиболее интересными находками стали артефакты, найденные в Сенгилеевском районе области. №%:№%:2019-01-24 10:18:28№%:№%:41682535
По оценкам специалистов Минсельхоза региона, в 2018 году валовой надой молока в хозяйствах всех форм собственности увеличился по сравнению с аналогичным периодом предыдущего года на 5,4% и составил 211 тысяч тонн. Показатели распределились следующим образом. В сельхозорганизациях произведено 43,1% от общего объёма молока, в КФХ – 11,7, ЛПХ – 45,2%.№%:№%:2019-01-24 09:02:01№%:№%:41682535
№%:№%:2019-01-24 08:04:53№%:№%:41682535
В этом году исполняется 70 лет со дня установления дипломатических отношений между Россией и Китаем. Как известно, Ульяновская область давно и успешно сотрудничает с китайскими провинциями во многих отраслях: на протяжении нескольких лет действует туристический проект «Красный маршрут», ставший одним из самых узнаваемых среди туристов брендов, на территории ульяновской особой экономической зоны создаётся российско-китайский кластер по производству медицинского оборудования, регулярно проходят перекрёстные культурные выставки.№%:№%:2019-01-24 07:53:00№%:№%:41682535
Морозное утро! ❄№%:№%:2019-01-24 06:13:00№%:№%:41682535
№%:№%:2019-01-23 19:54:00№%:№%:41682535
Тренерский штаб сборной России по биатлону опубликовал стартовый состав команды на этапы Кубка мира в Северной Америке. В состав мужской сборной включен и ульяновский спортсмен Юрий Шопин. В этом сезоне он выступал на Кубке IBU, на этап кубка мира он вызывается впервые.№%:№%:2019-01-23 18:50:00№%:№%:41682535
Вопрос реализации программы капитального ремонта МКД губернатор Ульяновской области поднял на минувшем аппаратном совещании. [id42660369|Сергей Морозов] рекомендовал руководителям органов местного самоуправления Ульяновской области строго соблюдать сроки предоставления информации о многоквартирных домах и обеспечить достоверность этих сведений, ведь от этого во многом зависит своевременность проведения работ.№%:№%:2019-01-23 17:54:00№%:№%:41682535
Закат в Ульяновской области ☀№%:№%:2019-01-23 16:49:00№%:№%:41682535
Ульяновская область продолжает укреплять связи с Китаем: проводятся переговоры, круглые столы и конференции, благодаря которым подписываются новые соглашения о сотрудничестве. Так, в Ульяновскую область планируют привлечь ряд китайский партнеров, специализирующихся на ветроэнергетике. №%:№%:2019-01-23 15:41:00№%:№%:41682535
В ночь с 23 на 24 января и утром 24 января в Ульяновской области ожидается морозная погода. В целях обеспечения сохранности жизни и здоровья школьников министерство образования рекомендует отменить учебные занятия 24 января 2019 года. №%:№%:2019-01-23 14:32:08№%:№%:41682535
№%:№%:2019-01-23 14:25:44№%:№%:41682535
Парк Победы 🎡№%:№%:2019-01-23 13:38:21№%:№%:41682535
Специалисты ульяновского покрасочного предприятия «Спектр-Авиа» завершили работу над очередным серийным военно-транспортным авиалайнером ИЛ-76МД-90А, производимым АО «Авиастар-СП». Покраска самолёта проходила в течение 18 суток при использовании специальной акрило-уретановой эмали.№%:№%:2019-01-23 12:30:03№%:№%:41682535
По информации ульяновского гидрометцентра, сегодня днем температура воздуха составит -15 -17 °С, ночью опустится до -24 -26 °С с усилением ветра до 12 метров в секунду. №%:№%:2019-01-23 11:18:56№%:№%:41682535
Маришкин родник ☺№%:№%:2019-01-23 10:11:00№%:№%:41682535
25 января Ульяновский Технический университет приглашает на лекцию научного обозревателя Ильи Кабанова «Самые значимые научные открытия и инженерные разработки 2018 года». Также гости смогут узнать, каким будет мир в середине 21 века и как человечестов будет жить в ближайшие тридцать лет.№%:№%:2019-01-23 09:10:01№%:№%:41682535
Ульяновск-Симбирск – многовековой город со своими преданиями, легендами и загадками. Очередной выпуск передачи - про главные часы Ульяновска. №%:№%:2019-01-23 08:11:42№%:№%:41682535
С 23 января по 28 февраля школы области будут организовывать у себя мероприятия месячника героико-патриотической и оборонно-массовой работы. В нем планируется задействовать более ста тысяч ульяновских школьников.№%:№%:2019-01-23 06:56:00№%:№%:41682535
Доброе утро! 🇷🇺№%:№%:2019-01-23 05:44:00№%:№%:41682535
Самый массовый хоккейный турнир стартовал в Ульяновске. Городские ТОС решили провести общегородские соревнования на первенство города среди дворовых команд территориальных самоуправлений. 21 января в отборочном туре уже сыграли 10 команд, матчи проходили по всему городу. Главными на мероприятиях оказались дворовые тренеры.№%:№%:2019-01-22 19:28:00№%:№%:41682535
На заснеженной Волге ❄№%:№%:2019-01-22 18:08:06№%:№%:41682535
Накануне Дня области глава правительства региона Александр Смекалин дал пресс-конференцию, рассказав журналистам о предварительных итогах 2018 года. Днем позже ulpravda.ru продолжила разговор с премьером в его кабинете. №%:№%:2019-01-22 17:02:02№%:№%:41682535
