В Кабардино-Балкарии после реконструкции открыли Дом культуры№%:№%:2019-02-01 18:07:57№%:№%:43044144
Казбек Коков принял участие и выступил на расширенном заседании коллегии прокуратуры КБР по итогам работы надзорного ведомства за 2018 год№%:№%:2019-01-22 17:04:00№%:№%:43044144
За неделю автоинспекторы Кабардино-Балкарии отстранили от управления 17 водителей, повторно управлявших автомобилем в состоянии опьянения№%:№%:2019-01-22 15:08:58№%:№%:43044144
Министр РФ по делам Северного Кавказа Сергей Чеботарев и врио Главы КБР Казбек Коков посетили ряд предприятий республики№%:№%:2019-01-21 15:05:02№%:№%:43044144
СПРАВКА  об итогах оперативно-служебной деятельности Отделения МВД России по Лескенскому району за 12 месяцев 2018 года№%:№%:2019-01-21 13:12:33№%:№%:43044144
Сотрудниками уголовного розыска задержан находившийся в розыске местный житель№%:№%:2019-01-19 15:03:26№%:№%:43044144
Не там хранил№%:№%:2019-01-19 14:01:39№%:№%:43044144
Министр РФ по делам Северного Кавказа Сергей Чеботарев и врио Главы КБР Казбек Коков посетили ряд предприятий республики№%:№%:2019-01-18 21:02:29№%:№%:43044144
В Кабардино-Балкарии с рабочей поездкой находится Министр РФ по делам Северного Кавказа С.В.Чеботарев№%:№%:2019-01-18 18:05:21№%:№%:43044144
Правоохранительные органы выясняют обстоятельства ДТП, в результате которого погибли 2 человека№%:№%:2019-01-18 14:06:10№%:№%:43044144
Приэльбрусье – в числе лидеров среди горнолыжных курортов России№%:№%:2019-01-18 10:04:32№%:№%:43044144
В Майском районе у местного жителя изъято оружие№%:№%:2019-01-17 20:02:00№%:№%:43044144
Ситуация с платежами населения за потребленные энергоресурсы взята под личный контроль врио Главы КБР№%:№%:2019-01-17 18:04:01№%:№%:43044144
Алий Мусуков провел заседание Межведомственной комиссии по обеспечению реализации проекта «Формирование современной городской среды» в КБР№%:№%:2019-01-17 10:03:40№%:№%:43044144
В г. Нальчик раскрыта кража из автомашины№%:№%:2019-01-16 19:02:37№%:№%:43044144
Сотрудниками наркоконтроля в Нальчике задержан распространитель наркотических средств№%:№%:2019-01-16 15:08:24№%:№%:43044144
Полицейские изъяли наркотические средства у жителя г. Нальчик№%:№%:2019-01-16 00:00:49№%:№%:43044144
В Кабардино-Балкарии в рамках реализации национальных проектов в течение 2019 года будут построены новые школы, обновлена материально-техническая база образовательных учреждений№%:№%:2019-01-15 20:02:00№%:№%:43044144
В Кабардино-Балкарии полицейскими за сутки задержаны двое жителей республики, находившиеся в федеральном розыске№%:№%:2019-01-15 18:05:24№%:№%:43044144
Алий Мусуков провел заседание Межведомственной комиссии по обеспечению реализации проекта «Формирование современной городской среды» в Кабардино-Балкарской Республике№%:№%:2019-01-14 20:01:19№%:№%:43044144
Техника безопасности на горнолыжных трассах№%:№%:2019-01-14 18:06:19№%:№%:43044144
В горах Кабардино-Балкарии проходят тренировки военнослужащих ЮВО№%:№%:2019-01-14 17:07:01№%:№%:43044144
Уважаемые  работники и  ветераны  прокуратуры Баксанского  района!№%:№%:2019-01-14 13:10:08№%:№%:43044144
Полицейскими Майского района задержан находившийся в розыске местный житель№%:№%:2019-01-12 17:02:58№%:№%:43044144
Врио Главы КБР выразил благодарность участникам спасательной операции при пожаре в г. Нальчик№%:№%:2019-01-12 16:03:39№%:№%:43044144
В Прохладненском районе возбуждено уголовное дело по факту телефонного мошенничества№%:№%:2019-01-11 23:00:41№%:№%:43044144
Полицейскими Баксанского района раскрыта кража№%:№%:2019-01-11 14:02:47№%:№%:43044144
Кабардино-Балкарии выделено более 90 миллионов рублей на льготные медикаменты, а также продукты лечебного питания для детей с ограниченными возможностями здоровья№%:№%:2019-01-11 13:07:51№%:№%:43044144
Проводится доследственная проверка по факту гибели лыжника при спуске с горы Эльбрус№%:№%:2019-01-11 00:00:49№%:№%:43044144
Кабардино-Балкария простилась с Героем Социалистического Труда Анатолием Ахоховым. Соболезнования родным и близким выразил руководитель региона Казбек Коков№%:№%:2019-01-10 21:02:25№%:№%:43044144
Полицейскими Баксанского района задержан мужчина, подозреваемый в Интернет-мошенничестве№%:№%:2019-01-10 13:03:32№%:№%:43044144
В Баксанском районе поздравляют январских долгожителей№%:№%:2019-01-10 12:07:57№%:№%:43044144
Полицейскими МО МВД России «Баксанский» возбуждены уголовные дела по фактам повторного самовольного подключения к газораспределительной сети№%:№%:2019-01-08 17:02:39№%:№%:43044144
Экстренное предупреждение! В горах лавиноопасно№%:№%:2019-01-08 16:04:46№%:№%:43044144
Полицейскими Нальчика задержан мужчина, подозреваемый в совершении грабежа№%:№%:2019-01-07 16:03:58№%:№%:43044144
Казбек Коков провёл приём граждан по личным вопросам№%:№%:2019-01-07 15:03:43№%:№%:43044144
Турпоток на курорт «Эльбрус» вырос на десять процентов№%:№%:2019-01-04 15:02:30№%:№%:43044144
Полицейскими Кабардино-Балкарии за сутки раскрыты кражи трех мобильных телефонов и планшета№%:№%:2019-01-03 13:06:00№%:№%:43044144
Полицейский Дед Мороз поздравил с наступающим Новым годом детей Зольского района№%:№%:2019-01-03 03:01:10№%:№%:43044144
В Кабардино-Балкарии детей из реабилитационного центра г. Прохладного поздравил "Полицейский Дед Мороз"№%:№%:2019-01-02 13:04:06№%:№%:43044144
На горнолыжном курорте «Приэльбрусье» организовано круглосуточное дежурство сотрудников Главного управления МЧС России по КБР№%:№%:2019-01-01 22:01:48№%:№%:43044144
Учреждениям образования и здравоохранения Кабардино-Балкарии  передан новый специализированный автотранспорт - 63 единицы школьных автобусов и карет скорой медицинской помощи№%:№%:2019-01-01 21:02:05№%:№%:43044144
В канун Нового Года в Доме Правительства КБР состоялась торжественная церемония вручения государственных наград№%:№%:2018-12-29 18:09:17№%:№%:43044144
В Министерстве спорта КБР прошла пресс-конференция с командой «Инаркой»№%:№%:2018-12-29 13:07:35№%:№%:43044144
В Кабардино-Балкарии Дед Мороз в погонах пришел с подарками домой к нуждающимся детям№%:№%:2018-12-28 20:02:23№%:№%:43044144
Воспитанники школы-интерната из Терского района Кабардино-Балкарии стали участниками всероссийской акции "Полицейский Дед Мороз"№%:№%:2018-12-28 18:03:47№%:№%:43044144
Автоинспекторы Кабардино-Балкарии помогли получить 2-летнему мальчику своевременную медицинскую помощь№%:№%:2018-12-28 16:04:20№%:№%:43044144
Прокуратура Кабардино-Балкарской Республики приняла участие в заседании Президиума Верховного Суда КБР по рассмотрению кассационного представления прокуратуры республики по уголовному делу в отношении двух несовершеннолетних№%:№%:2018-12-28 13:05:17№%:№%:43044144
Полицейскими г. Нальчик задержан подозреваемый в причинении тяжкого вреда здоровью№%:№%:2018-12-27 16:06:59№%:№%:43044144
ПОЗДРАВЛЕНИЕ временно исполняющего обязанности Главы Кабардино-Балкарской Республики К.В.Кокова с Днём спасателя Российской Федерации№%:№%:2018-12-27 13:09:30№%:№%:43044144
К.В.Коков: «Только добившись прорывного развития, мы сможем обеспечить кардинальное повышение качества жизни и благополучия наших граждан»№%:№%:2018-12-26 19:06:03№%:№%:43044144
В Зольском районе полицейские изъяли 541 литров незаконно перевозимой алкогольной продукции№%:№%:2018-12-26 12:10:52№%:№%:43044144
Врио главы КБР велел усилить защищенность социально значимых объектов в Новый Год№%:№%:2018-12-25 20:01:34№%:№%:43044144
В Прохладненском  районе зарегистрировано два факта телефонного мошенничества№%:№%:2018-12-25 17:05:35№%:№%:43044144
Полицейскими Баксанского района  раскрыта кража№%:№%:2018-12-25 13:09:32№%:№%:43044144
Под председательством врио Главы КБР состоялось совместное заседание АТК и Оперативного штаба в КБР№%:№%:2018-12-25 11:08:59№%:№%:43044144
В Нальчике активисты ОНФ провели акцию «Новогоднее чудо» для детей, оказавшихся в трудной жизненной ситуации№%:№%:2018-12-24 18:04:34№%:№%:43044144
Казбек Коков в режиме видеоконференции принял участие в заседании Государственного антинаркотического комитета№%:№%:2018-12-24 17:04:32№%:№%:43044144
В Конкурсе «Новая высота» победили 50 человек№%:№%:2018-12-23 09:02:50№%:№%:43044144
Задержан подозреваемый по уголовному делу об убийстве главы селения Хасанья, совершенном в 2005 году№%:№%:2018-12-22 18:02:29№%:№%:43044144
В МКОУ СОШ №14 г.Нальчика полицейские провели благотворительную акцию «Полицейский Дед Мороз»№%:№%:2018-12-22 13:02:28№%:№%:43044144
Полицейскими Майского района раскрыта кража№%:№%:2018-12-22 12:02:58№%:№%:43044144
Новая высота№%:№%:2018-12-22 08:01:23№%:№%:43044144
Полицейскими Прохланенского района задержан подозреваемый в совершении особо тяжкого преступления№%:№%:2018-12-21 16:08:16№%:№%:43044144
Полицейскими Баксанского района раскрыта кража№%:№%:2018-12-21 12:09:29№%:№%:43044144
Правоохранительные органы Кабардино-Балкарии выясняют обстоятельства ДТП, в котором погибли 2 человека№%:№%:2018-12-20 20:02:41№%:№%:43044144
Кабардино-Балкарии из федерального бюджета выделены дополнительные средства на возмещение части затрат сельхозтоваропроизводителей№%:№%:2018-12-20 19:05:01№%:№%:43044144
В Нальчике стартовал финал кадрового Конкурса «Новая высота»№%:№%:2018-12-20 16:03:39№%:№%:43044144
В Грозном под председательством А.А.Матовникова состоялось заседание Совета при полномочном представителе Президента РФ в СКФО. В его работе принял участие врио Главы КБР К.В.Коков№%:№%:2018-12-20 11:07:12№%:№%:43044144
Хотел признания№%:№%:2018-12-19 19:03:43№%:№%:43044144
Условный пожар в пансионате «Чегет» потушен№%:№%:2018-12-19 18:04:25№%:№%:43044144
Казбек Коков посетил учреждения системы здравоохранения Кабардино-Балкарии№%:№%:2018-12-19 10:04:08№%:№%:43044144
Полицейскими г. Нальчик задержан находящийся в розыске местный житель№%:№%:2018-12-18 13:09:34№%:№%:43044144
На всей территории Кабардино-Балкарии в опытном режиме будет осуществлен запуск «Системы-112»№%:№%:2018-12-17 20:02:13№%:№%:43044144
Управление Росреестра по КБР сообщает№%:№%:2018-12-17 17:03:45№%:№%:43044144
В Сквере Памяти Прохладного открыт филиал парка «Патриот»№%:№%:2018-12-17 16:06:06№%:№%:43044144
Казбек Коков провел совещание с Правительством Кабардино-Балкарии№%:№%:2018-12-17 11:04:03№%:№%:43044144
ЗАВЕРШЕН ОБЩЕРОССИЙСКИЙ ПРИЕМ ГРАЖДАН№%:№%:2018-12-16 12:02:32№%:№%:43044144
12 декабря в налоговых органах КБР прошел Общероссийский день приема граждан№%:№%:2018-12-14 17:09:57№%:№%:43044144
В Прохладненском районе изъяты наркотики и раскрыта кража№%:№%:2018-12-14 13:09:20№%:№%:43044144
В соответствии с Указом Президента РФ 2019 год объявлен Годом театра№%:№%:2018-12-14 10:08:37№%:№%:43044144
Сегодня в Нарткале состоялось торжественное открытие новой школы на 825 учащихся№%:№%:2018-12-13 19:05:24№%:№%:43044144
Министерство сельского хозяйства России: Кабардино-Балкария – лидер по закладке многолетних насаждений№%:№%:2018-12-13 16:08:17№%:№%:43044144
Полицейскими за сутки задержаны двое мужчин, находившихся в розыске№%:№%:2018-12-13 13:04:48№%:№%:43044144
В Минэнерго КБР состоялся прием граждан№%:№%:2018-12-13 10:05:34№%:№%:43044144
С Днем Конституции!№%:№%:2018-12-12 18:06:26№%:№%:43044144
Поздравление Таймураза Ахохова с Днем Конституции Российской Федерации№%:№%:2018-12-12 12:08:44№%:№%:43044144
Участковые Чегемского района раскрыли кражу в магазине№%:№%:2018-12-12 08:01:15№%:№%:43044144
Информационное сообщение 10.12.2018№%:№%:2018-12-12 07:01:26№%:№%:43044144
Напоминаем: завтра общероссийского день приема граждан№%:№%:2018-12-11 17:07:40№%:№%:43044144
Казбек Коков поздравил Юрия Темирканова с 80-летием№%:№%:2018-12-10 15:03:16№%:№%:43044144
Врио Главы КБР Казбек Коков принял участие в работе XVIII Съезда Партии «Единая Россия»№%:№%:2018-12-10 10:06:38№%:№%:43044144
Завершился первый день XVIII Съезда «Единой России»№%:№%:2018-12-09 00:01:26№%:№%:43044144
Публичные слушания проекта бюджета на 2019 год прошли в Баксанском районе№%:№%:2018-12-08 11:02:32№%:№%:43044144
7 декабря 2018 года Начальник Управления Министерства юстиции Российской Федерации по Кабардино-Балкарской Республике Ж.А. Кужонов принял участие в очередном заседании Правительства Кабардино-Балкарской Республики.№%:№%:2018-12-08 00:01:02№%:№%:43044144
Врио Главы Кабардино-Балкарии Казбек Коков принял участие в VI Международном форуме СМИ Северного Кавказа№%:№%:2018-12-07 09:03:28№%:№%:43044144
К.В.Коков принял участие в бизнес-форуме «Инвестируй в Кавказ!»№%:№%:2018-12-07 00:00:55№%:№%:43044144
В Прохладненском районе раскрыта кража из автомашины№%:№%:2018-12-06 16:02:36№%:№%:43044144
Полномочный представитель Президента РФ в СКФО Александр Матовников представил вновь назначенного  главного федерального инспектора по КБР№%:№%:2018-12-06 11:03:44№%:№%:43044144
Казбек Коков провел совместное заседание постоянно действующего Координационного совещания по обеспечению правопорядка и Совбеза КБР№%:№%:2018-12-05 21:02:12№%:№%:43044144
Внимание розыск!№%:№%:2018-12-05 18:06:21№%:№%:43044144
Сотрудниками наркоконтроля Кабардино-Балкарии  изъято около 34 гр. гашиша№%:№%:2018-12-05 14:05:24№%:№%:43044144
С молодёжью нужно говорить о свободе и ответственности№%:№%:2018-12-05 01:01:02№%:№%:43044144
Благоустроены 9 дворовых территорий№%:№%:2018-12-04 21:01:57№%:№%:43044144
Баксанский район принял участие в семинаре  посвященному Всемирному дню борьбы  со СПИДом№%:№%:2018-12-04 17:05:55№%:№%:43044144
Родительская общественность Кабардино-Балкарии вместе с автоинспекторами обсудили проблему детского дорожно-транспортного травматизма№%:№%:2018-12-04 14:05:17№%:№%:43044144
Свобода и ответственность№%:№%:2018-12-03 20:05:48№%:№%:43044144
Казбек Коков встретился с Архиепископом Пятигорским и Черкесским Феофилактом№%:№%:2018-12-03 15:06:48№%:№%:43044144
Полицейскими г. Нальчик разысканы двое граждан, находившихся в розыске№%:№%:2018-12-01 00:02:16№%:№%:43044144
Татьяна Егорова провела прием граждан№%:№%:2018-11-30 18:03:56№%:№%:43044144
Кабардино-Балкария возглавила рейтинг регионов России  с наилучшими показателями здоровья детей№%:№%:2018-11-30 10:05:35№%:№%:43044144
Четыре региона Северного Кавказа в числе лидеров, Ингушетия - в аутсайдерах  рейтинга ОНФ по показателям детского здоровья№%:№%:2018-11-29 19:02:52№%:№%:43044144
В  Москве пройдет съезд ОНФ№%:№%:2018-11-29 16:09:26№%:№%:43044144
В Баксане состоялось мероприятие, посвященное Международному дню слепых№%:№%:2018-11-28 21:02:07№%:№%:43044144
Жителя Псыхурея поздравляют с 90-летним юбилеем№%:№%:2018-11-28 19:05:13№%:№%:43044144
В Москве состоялась двусторонняя рабочая встреча министра Российской Федерации по делам Северного Кавказа С.В.Чеботарева и врио Главы КБР К.В.Кокова№%:№%:2018-11-28 13:08:48№%:№%:43044144
Полицейскими Кабардино-Балкарии выясняются обстоятельства ДТП, в результате которого погибли шесть человек№%:№%:2018-11-27 19:02:50№%:№%:43044144
Сегодня в Москве состоялась двусторонняя рабочая встреча Министра Российской Федерации по делам Северного Кавказа С.В.Чеботарева и врио Главы КБР К.В.Кокова№%:№%:2018-11-27 18:05:56№%:№%:43044144
26.11.2018 в г. Ставрополе под председательством начальника Главного управления Минюста России по Ставропольскому краю Морозовой Г.М. в режиме видеоконференции проведено заседание Координационного совета при Главном управлении Минюста России по Ставропольскому краю.№%:№%:2018-11-26 23:01:35№%:№%:43044144
Полицейскими Зольского района раскрыта кража крупной денежной суммы№%:№%:2018-11-26 22:02:27№%:№%:43044144
Ко Дню матери лидер КБР вручил медали «Материнская слава» мамам 5-10 детей№%:№%:2018-11-26 11:07:41№%:№%:43044144
Полицейскими г. Нальчика раскрыта кража ювелирных изделий из частной квартиры№%:№%:2018-11-24 13:03:06№%:№%:43044144
Врио Главы КБР К.В.Коков провел рабочее совещание по вопросам перехода Кабардино-Балкарии на новую систему обращения с твердыми коммунальными отходами№%:№%:2018-11-24 11:02:44№%:№%:43044144
Врио Главы КБР К.В.Коков провел рабочее совещание по вопросам перехода Кабардино-Балкарии на новую систему обращения с твердыми коммунальными отходами№%:№%:2018-11-23 19:03:27№%:№%:43044144
К.В.Коков: «Новая высота» - перспективы для каждого, кому небезразлично будущее республики»№%:№%:2018-11-23 14:06:39№%:№%:43044144
Очередную информационно-разъяснительную встречу с застрахованными лицами провели в ФГУП «Почта России» Зольского района с.п. Камлюко№%:№%:2018-11-22 21:03:41№%:№%:43044144
Полицейскими Баксанского района раскрыта кража№%:№%:2018-11-22 15:07:45№%:№%:43044144
Руководитель МЧС России Евгений Зиничев и врио Главы КБР Казбек Коков обсудили вопросы предупреждения ЧС природного и техногенного характера на территории республики№%:№%:2018-11-22 10:06:53№%:№%:43044144
За сутки у трех жителей республики изъято более килограмма наркотиков№%:№%:2018-11-22 04:01:40№%:№%:43044144
Прокуратура Кабардино-Балкарской Республики объявляет о проведении конкурса рисунков, посвящённого Международному Дню противодействия коррупции№%:№%:2018-11-21 17:02:56№%:№%:43044144
21 ноября – День работника налоговых органов Российской Федерации •№%:№%:2018-11-21 14:07:47№%:№%:43044144
ОНФ в Кабардино-Балкарии подвел итоги всероссийской акции «Дорога в школу»№%:№%:2018-11-20 21:05:08№%:№%:43044144
Школьники Кабардино-Балкарии - лауреаты Всероссийского конкурса творческих работ «Белые журавлята России - 2018»№%:№%:2018-11-20 11:07:51№%:№%:43044144
Казбек Коков провел еженедельное рабочее совещание с Правительством и главами муниципалитетов республики№%:№%:2018-11-19 12:06:17№%:№%:43044144
Главный показатель работы – доверие№%:№%:2018-11-19 11:07:38№%:№%:43044144
Внимание, розыск!№%:№%:2018-11-17 19:02:43№%:№%:43044144
В Кабардино-Балкарии завершились оперативно-профилактические мероприятия по декриминализации топливно-энергетического комплекса№%:№%:2018-11-17 18:02:49№%:№%:43044144
Государственная поддержка социально ориентированных НКО будет продолжена№%:№%:2018-11-17 07:07:46№%:№%:43044144
Врио Главы КБР и представители «Ростех-Развитие бизнеса» обсудили ход практической реализации проекта по созданию современного горно-металлургического комплекса на базе Тырныаузского месторождения№%:№%:2018-11-16 11:08:25№%:№%:43044144
В Северной Осетии-Алании закрыли на время движение по направлению в Грузию№%:№%:2018-11-16 07:02:15№%:№%:43044144
К.В.Коков встретился с председателем Юго-Западного банка ПАО Сбербанк Е.В.Титовым№%:№%:2018-11-15 20:03:02№%:№%:43044144
В Прохладненском районе правоохранителями раскрыта кража из домовладения№%:№%:2018-11-15 13:12:13№%:№%:43044144
«Молодежка ОНФ» в Кабардино-Балкарии впервые выиграла «Уличного красаву»№%:№%:2018-11-15 02:01:37№%:№%:43044144
В Баксанском районе полицейские изъяли у местного жителя более 300 граммов марихуаны№%:№%:2018-11-15 01:00:56№%:№%:43044144
В Москве Министр транспорта России Евгений Дитрих и врио Главы КБР Казбек Коков обсудили вопросы развития транспортной инфраструктуры Кабардино-Балкарии№%:№%:2018-11-14 19:04:00№%:№%:43044144
«Севкаврентген-Д» запускает производство цифрового передвижного рентгеновского оборудования№%:№%:2018-11-14 12:03:40№%:№%:43044144
Отделением ПФР по КБР уделяется особенное внимание повышению доступности клиентских служб для всех категорий инвалидов№%:№%:2018-11-13 18:06:34№%:№%:43044144
Полицейские Кабардино-Балкарии за сутки задержали двоих граждан, находившихся в федеральном розыске№%:№%:2018-11-13 13:07:06№%:№%:43044144
В Нальчике завершено строительство новой автодороги№%:№%:2018-11-13 00:00:45№%:№%:43044144
Предприятие «Севкаврентген-Д» запускает серийное производство универсального цифрового передвижного рентгеновского оборудования№%:№%:2018-11-12 15:05:28№%:№%:43044144
К.В. Коков провел расширенное совещание с членами Правительства и главами муниципальных образований по вопросам реализации государственной социальной политики№%:№%:2018-11-12 12:08:08№%:№%:43044144
Казбек Коков провел рабочее совещание с главами администраций районов и городских округов Кабардино-Балкарии№%:№%:2018-11-12 11:08:46№%:№%:43044144
Поздравление Владимира Колокольцева с Днём сотрудника органов внутренних дел Российской Федерации№%:№%:2018-11-10 16:03:05№%:№%:43044144
Казбек Коков провел рабочее совещание с главами администраций районов и городских округов Кабардино-Балкарии№%:№%:2018-11-09 22:02:05№%:№%:43044144
В дошкольных образовательных организациях Нальчика проходят экспресс-курсы детской дорожной безопасности в условиях непогоды№%:№%:2018-11-09 16:09:32№%:№%:43044144
Высокогорные спасатели получили новую технику№%:№%:2018-11-09 12:05:47№%:№%:43044144
Александр Матовников посетил с рабочей поездкой Майский район Кабардино-Балкарии и провел совещание в Нальчике№%:№%:2018-11-08 11:07:15№%:№%:43044144
В Баксанском районе чествовали тысячного малыша№%:№%:2018-11-07 23:02:17№%:№%:43044144
В Урванском районе возбуждено уголовное дело в отношении двоих местных жителей, подозреваемых в причинении тяжкого вреда здоровью, повлекшего смерть потерпевшего№%:№%:2018-11-07 02:00:51№%:№%:43044144
Большой этнографический диктант в СКГИИ№%:№%:2018-11-06 17:04:06№%:№%:43044144
Две женщины погибли в ДТП с пассажирской «Газелью» в Кабардино-Балкарии№%:№%:2018-11-06 14:05:43№%:№%:43044144
Конкурс для журналистов «Я — Созидатель» принимает заявки№%:№%:2018-11-06 00:01:33№%:№%:43044144
В Нальчике отметили День народного единства№%:№%:2018-11-05 18:02:05№%:№%:43044144
В Перинатальном центре провели операцию на глазах новорожденному   с весом 495 грамм№%:№%:2018-11-05 17:02:13№%:№%:43044144
В Нальчике прошел «Большой этнографический диктант»№%:№%:2018-11-02 20:04:20№%:№%:43044144
В Терском районе мужчина подозревается в убийстве супруги№%:№%:2018-11-02 16:06:41№%:№%:43044144
Казбек Коков провел заседание Антинаркотической комиссии в Кабардино-Балкарской Республике№%:№%:2018-11-02 12:06:32№%:№%:43044144
Полицейскими Кабардино-Балкарии устанавливаются обстоятельства ДТП в Зольском районе№%:№%:2018-11-01 21:02:22№%:№%:43044144
В Кабардино-Балкарии устанавливаются обстоятельства ДТП, в результате которого погибли два человека№%:№%:2018-11-01 19:04:27№%:№%:43044144
Материнский капитал: о чём не стоит забывать№%:№%:2018-11-01 16:06:31№%:№%:43044144
В Москве состоялась рабочая встреча председателя Совета Федерации ФС РФ В.И.Матвиенко и врио Главы Кабардино-Балкарии К.В.Кокова№%:№%:2018-11-01 12:04:03№%:№%:43044144
В Прохладненском районе раскрыта кража телефона из автомашины№%:№%:2018-10-31 17:07:38№%:№%:43044144
Татьяна Саенко избрана секретарем местного отделения партии «Единая Россия» Майского района№%:№%:2018-10-31 16:06:23№%:№%:43044144
Казбек Коков принял участие в заседании Правительственной комиссии по региональному развитию в Российской Федерации№%:№%:2018-10-30 19:06:55№%:№%:43044144
Пенсионный фонд предупреждает о мошеннических услугах по оформлению СНИЛСа№%:№%:2018-10-30 18:06:44№%:№%:43044144
В Баксанском районе Кабардино-Балкарии состоялся памятный турнир по армрестлингу№%:№%:2018-10-30 15:10:37№%:№%:43044144
В Совете ветеранов г.о.Баксан совместно с учениками школ почтили память жертв терроризма№%:№%:2018-10-29 19:05:12№%:№%:43044144
Темирканов Борис Хатуевич№%:№%:2018-10-29 18:03:44№%:№%:43044144
ОНФ в Кабардино-Балкарии намерен усилить контроль за исполнением «майского указа» президента в регионе№%:№%:2018-10-29 15:08:54№%:№%:43044144
В Прохладненском районе полицейскими задержаны грабители№%:№%:2018-10-27 17:09:44№%:№%:43044144
Кабардино-Балкария прощается с дирижером, композитором и общественным деятелем Борисом Темиркановым№%:№%:2018-10-27 03:07:30№%:№%:43044144
Архиепископ Феофилакт выразил соболезнования родным и близким дирижёра Бориса Темирканова№%:№%:2018-10-27 01:02:59№%:№%:43044144
В Нальчике состоится церемония прощания с Борисом Темиркановым№%:№%:2018-10-27 00:02:07№%:№%:43044144
Казбек Коков выразил соболезнования родным и близким народного артиста России, председателя Союза композиторов КБР Бориса Темирканова, ушедшего из жизни 25 октября 2018 года№%:№%:2018-10-26 16:33:43№%:№%:43044144
Выявлено нарушение в области надзора карантина  растений, семеноводства и качества зерна№%:№%:2018-10-25 19:06:02№%:№%:43044144
Беззаветное служение Родине№%:№%:2018-10-25 14:19:20№%:№%:43044144
Беззаветное служение Родине№%:№%:2018-10-25 11:10:20№%:№%:43044144
Осторожно, мошенники!№%:№%:2018-10-24 18:03:41№%:№%:43044144
Врио Главы Кабардино-Балкарии принял участие в расширенном заседании коллегии МВД по КБР по результатам оперативно-служебной деятельности за 9 месяцев 2018 года№%:№%:2018-10-23 18:16:06№%:№%:43044144
В Кабардино-Балкарии введен в строй завод по розливу питьевой воды№%:№%:2018-10-22 19:05:14№%:№%:43044144
